ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,884,24,27,103,115,125,134,129,111,79,37,0,0 to 118,49,495,381,8,884,0,0,26,695,2,223,3,191,693,0,0,884,165,26,0,0,76,115,0,191,8,9,27,30,31,31,26,16,12,1,0,0 to 94,40,135,15,17,24,33,128,30,11,0,3,0,0,0,191,115,76,191,0,0,2662,0,2858,2662,191,0,299,282,40,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4072,89,176,445,615,521,616,655,460,314,168,13,0 to 118,48,2463,1546,63,4064,8,0,130,3611,133,694,22,897,3171,1,3,4060,517,380,0,0,447,422,28,897,20,82,163,161,133,116,103,59,39,19,2,0 to 100,36,424,251,99,123,163,588,146,141,0,84,0,0,8,897,422,447,897,0,0,8630,8,9540,8638,897,8,243,174,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1094,35,36,118,168,150,146,181,153,77,26,4,0 to 118,47,624,443,27,1086,8,0,35,794,3,343,28,192,901,1,0,1085,159,31,2,0,104,85,1,190,0,8,40,47,33,22,21,9,10,2,0,6 to 91,35,90,65,21,14,26,144,20,35,0,10,0,0,2,192,85,106,190,2,0,1934,6,2134,1940,192,2,446,345,35,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8372,228,190,819,1320,1199,1095,1204,911,766,596,44,0 to 119,48,4960,3322,90,8220,151,1,289,7045,137,891,102,1698,6649,0,25,8196,1542,136,15,5,901,740,37,1678,22,49,314,367,257,218,191,131,85,60,4,0 to 103,38,876,150,124,528,264,781,633,153,3,89,1,0,12,1698,749,912,1677,20,1,18614,131,20464,18745,1698,12,1723,1292,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,706,8,14,61,75,99,102,125,103,78,41,0,0 to 99,54,416,275,15,706,0,0,19,479,4,166,9,201,504,0,1,705,185,16,0,0,125,76,0,201,1,5,21,26,18,24,30,26,27,23,0,1 to 99,56,150,23,12,16,12,156,33,28,0,20,0,0,7,201,76,125,201,0,0,1352,0,1560,1352,201,7,361,299,56,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,84663,1392,2175,7437,11304,10812,12029,13745,11689,8077,4376,1627,0 to 119,52,45949,38392,322,83780,881,2,4497,71312,465,14818,467,24361,59933,176,193,83416,23906,213,236,6,12227,11812,80,24119,416,885,3551,4618,4014,3633,3080,1840,1281,1014,29,0 to 105,41,8965,3809,3404,7941,6927,8788,8404,3026,42,2182,27,14,659,24361,11938,12340,24117,242,2,177520,635,202906,178155,24361,659,7035,6770,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13334,252,323,1078,1752,1770,2097,2217,1916,1225,665,39,0 to 119,52,7736,5327,271,13186,148,0,795,10575,188,2648,97,3411,9700,7,216,12963,3289,106,16,0,1849,1509,37,3395,60,129,466,618,558,575,434,298,161,104,8,0 to 104,42,1080,605,336,1374,641,1161,1593,332,2,258,2,1,78,3411,1518,1856,3395,16,0,27953,129,31536,28082,3411,78,2251,2236,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18093,353,467,1745,2444,2550,2870,2981,2513,1503,637,30,0 to 119,50,10227,7755,111,18005,88,0,863,14762,223,3043,164,4654,13389,2,48,17955,4542,89,22,1,2310,2266,55,4631,75,131,763,883,763,734,576,404,219,105,1,0 to 99,41,2559,299,444,1329,754,2297,1580,519,9,318,4,1,40,4654,2277,2322,4631,23,0,46298,65,51057,46363,4654,40,3356,2804,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3362,66,138,288,562,578,574,502,407,158,86,3,0 to 119,45,2256,1090,16,3342,19,1,71,2884,46,544,22,736,2624,1,1,3341,711,19,6,0,449,275,6,730,14,47,93,140,152,120,74,50,30,15,1,0 to 98,39,214,291,39,186,106,399,225,128,0,79,0,0,9,736,275,455,729,6,1,6948,13,7713,6961,736,9,594,399,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15244,219,399,2473,2573,2159,2183,2320,1816,706,354,42,0 to 119,43,7925,7170,149,14986,257,1,380,13761,201,1273,115,2817,12413,2,12,14973,2725,37,52,3,1445,1287,30,2762,23,106,1117,558,316,258,255,120,39,15,10,0 to 105,26,793,809,112,1048,179,1202,1381,170,13,72,11,7,10,2817,1314,1473,2761,55,1,39640,198,42735,39838,2817,10,1235,817,26,2.42861632663576,0.170704044186268
