"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/8/2020 12:49:56","674","16","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x",""
"Contra Costa","4/8/2020 12:50:08","462","7","https://cchealth.org/coronavirus/","","6023","","","","","","","","","","","30","currently","","","","","","","BANG","","",""
"Marin","4/8/2020 16:31:22","149","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","1485","","","","","","","","","","","16","","","","","","","","BANG","","",""
"Napa","4/8/2020 12:51:49","25","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","627","109","493","25","","","","","","","","","","","","","1","41","","BANG","","",""
"San Francisco","4/8/2020 12:54:22","676","10","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","5994","","","","","","","","","","","83","current (4/4)","37","current (4/4)","","","","","BANG","","",""
"San Mateo","4/7/2020 14:42:21","617","21","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","88","current (4/4)","30","current (4/4)","","","","","BANG","","",""
"Santa Clara","4/8/2020 12:59:05","1380","46","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","11607","208","10175","1224","","","","","","","","276","current","91","current","","","","","BANG","","",""
"Santa Cruz","4/8/2020 17:19:39","76","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","1469","","","","","","","","29","14","required hospitalization","","","","","","","BANG","","",""
"Solano","4/8/2020 16:37:32","112","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","27","cumulative","","","","","","","BANG","","x",""
"Sonoma","4/8/2020 16:57:52","123","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","2791","","","","","","","","","","38","20","","","","","","","","BANG","","",""
"Los Angeles","4/8/2020 17:06:53","7530","198","http://publichealth.lacounty.gov/media/Coronavirus/","","36000","","","","","","","","","","","1714","ever","","","","","","","SCNG","","x",""
"Orange","4/8/2020 17:07:19","1016","17","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","11791","","","","","","","","","","","99","current","59","current","","","","","SCNG","","x",""
"Riverside","4/8/2020 17:08:52","1179","32","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","74","","","","","","","","","SCNG","","x",""
"San Benito","4/8/2020 17:11:24","33","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","420","31","356","33","","","","","","","17","","","","","","","","","SCNG","","",""
"Alpine","4/8/2020 17:12:13","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","6","1","3","2","","","","","","","1","0","","","","","1","","","","","",""
"Amador","4/8/2020 17:12:29","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","2","2","","","","","","","","","","",""
"Butte","4/8/2020 17:12:54","13","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/6/2020 16:43:26","5","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","2","","","","","","","","","","","",""
"Colusa","4/8/2020 17:22:26","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","4/8/2020 17:22:52","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","142","4","136","2","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/8/2020 17:23:44","29","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1000","120","970","29","","","","","","","","","","","","","","","","","","",""
