OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,74,4,3,5,10,8,15,12,10,5,1,1,0,0,0,1,1,0,0,0,0,0,49,0 to 100,33,27 to 39,2,0,43,20,11,74,0,0,2,71,1,0,0,2,2,0,0,0,66,2,64,0,8,0,3,0,2,2,0,2,0,0,64,0,74,64,2,0,3,3,1251550190.83949,175658.620344926,0,0,2,0
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,955,14,11,49,93,123,151,189,172,108,45,0,0,0,6,11,5,20,30,17,18,1,56,0 to 99,58,19 to 90,105,0,532,399,24,952,3,0,54,867,34,41,35,32,63,23,22,1,950,108,842,0,5,45,23,34,108,61,46,105,3,0,842,0,955,842,108,1,58,51,1686613017.08661,308980.48751506,21,1,30,2
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,9662,280,244,904,1773,1678,1538,1441,1059,521,219,5,7,14,80,111,110,118,98,57,29,7,44,0 to 110,44,0 to 93,615,0,5758,3852,52,9567,95,0,354,9095,213,212,242,177,443,89,99,7,9652,631,9012,9,10,325,257,250,631,310,319,615,16,0,8938,78,9662,9016,631,7,644,320,2746844886.16013,358788.307034344,98,1,173,4
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,1176,16,18,75,145,166,213,215,169,108,50,1,0,2,8,19,19,32,27,32,29,4,52,0 to 100,57,14 to 89,172,0,697,448,31,1168,8,0,126,1032,18,19,124,29,82,52,38,8,1175,172,1003,0,1,100,51,40,172,77,92,172,0,0,995,8,1176,1003,172,8,179,106,1945653927.12581,371198.171414394,38,0,29,0
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,1515,19,31,96,206,286,321,266,168,82,32,8,0,0,7,10,17,22,19,12,7,5,48,0 to 99,53,18 to 95,99,0,835,596,84,1512,3,0,127,1360,28,49,9,41,64,5,30,7,1510,99,1410,1,5,58,39,69,99,47,51,99,0,0,1407,3,1515,1410,99,7,42,30,1667659896.51059,183856.484298748,30,0,41,0
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,48,2,1,5,9,6,5,9,9,1,1,0,0,0,0,0,1,0,0,1,0,0,48,0 to 89,56,39 to 73,1,0,29,19,0,46,2,0,2,44,2,1,0,1,1,0,1,0,48,2,46,0,0,2,2,0,2,0,2,1,1,0,45,1,48,46,2,0,0,0,1653184151.65315,165534.73009074,0,1,0,1
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,1562,29,23,131,178,209,244,274,282,133,57,2,0,0,3,11,16,15,13,8,1,1,53,0 to 118,48,19 to 88,65,0,939,591,32,1556,6,0,72,1428,62,49,3,16,60,2,6,2,1284,68,1214,2,278,266,430,87,68,28,40,65,3,0,1213,1,1562,1214,68,2,103,81,4305055841.62241,350920.190673371,6,0,14,2
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,1809,36,35,100,248,253,270,336,301,163,63,4,0,0,9,25,22,26,24,41,15,3,53,0 to 101,55,17 to 89,160,0,1071,719,19,1798,11,0,115,1602,92,80,30,55,96,29,40,3,1800,165,1633,2,9,75,40,99,165,85,80,160,5,0,1628,6,1809,1634,165,3,294,158,3125661534.15881,560414.737839251,37,3,52,3
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,81,3,4,6,7,21,7,8,18,6,0,1,0,0,0,0,0,0,0,1,0,0,44,0 to 82,66,66 to 66,1,0,44,37,0,81,0,0,7,74,0,0,0,1,0,0,1,0,81,1,80,0,0,7,2,0,1,0,1,1,0,0,80,0,81,80,1,0,0,0,1823798262.39212,235232.973119088,1,0,1,0
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,2287,66,42,159,305,295,367,376,328,272,75,2,0,2,6,5,18,25,28,31,23,1,52,0 to 101,61,11 to 86,132,0,1339,912,36,2269,18,0,106,2129,52,35,44,60,72,35,32,2,2272,139,2129,4,15,61,43,106,139,67,71,132,7,0,2121,11,2287,2132,139,2,213,158,2995995460.71371,331014.242454318,30,2,53,7
