OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,245,12,5,23,23,40,53,40,31,12,6,0,0,0,3,3,3,6,3,3,4,1,48,0 to 97,50,20 to 90,18,0,132,109,4,233,12,0,46,170,29,18,1,7,20,1,5,0,245,26,219,0,0,17,46,12,26,10,16,18,8,0,215,4,245,219,26,0,27,19,2708101782.46999,370154.781284707,3,2,5,2
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,156,1,2,13,33,25,28,22,17,12,3,0,0,0,0,3,1,0,0,0,0,0,47,2 to 94,32,28 to 38,3,0,90,64,2,153,3,0,18,122,16,3,0,1,4,0,0,0,156,4,151,1,0,18,13,8,4,1,3,3,1,0,150,2,156,152,4,0,11,5,2452499072.79567,223828.324060307,0,0,1,0
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,83,1,1,3,11,18,15,16,11,6,1,0,0,0,0,0,0,2,0,0,0,0,49,3 to 86,51,49 to 53,2,0,49,25,9,83,0,0,20,57,6,0,2,0,1,0,1,0,81,2,79,0,2,21,2,3,2,2,0,2,0,0,79,0,83,79,2,0,15,14,1594396648.51196,243766.072259733,1,0,0,0
54,54,45,089,NASSAU,2000-05-16T00:00:00.000Z,17668341931.5773,1275144.97327404,45,Nassau,FL,54,45,89,532,7,11,46,83,84,83,98,64,47,9,0,0,0,2,4,4,4,5,7,3,0,48,0 to 92,58,21 to 84,29,0,316,186,30,528,4,0,18,496,18,8,10,11,21,2,6,0,532,29,503,0,0,22,8,13,29,12,17,29,0,0,499,4,532,503,29,0,21,18,1641620662.32831,388721.737801268,6,0,11,0
55,55,22,043,GLADES,2000-05-16T00:00:00.000Z,27470534483.1281,776973.436241095,22,Glades,FL,55,22,43,19,0,0,0,6,2,4,1,3,1,2,0,0,0,0,1,0,0,0,1,1,1,46,26 to 90,74,30 to 89,4,0,7,12,0,19,0,0,4,15,0,0,1,3,1,0,3,1,19,4,15,0,0,1,1,3,4,3,1,4,0,0,15,0,19,15,4,1,11,10,2551976411.00452,236757.936928168,3,0,3,0
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,779,10,11,42,69,86,112,136,160,96,55,2,0,0,2,4,2,14,8,24,13,9,59,0 to 98,68,24 to 94,75,0,468,299,12,770,9,0,46,723,10,23,37,16,30,30,16,1,773,76,696,1,6,27,1,33,76,29,46,75,1,0,689,7,779,696,76,1,77,66,1825525431.11919,398247.923422686,16,0,16,0
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,1634,27,21,78,147,170,220,266,289,246,169,1,2,0,5,16,15,23,27,43,36,17,61,0 to 115,66,0 to 99,171,0,922,695,17,1598,36,0,442,1128,64,83,17,84,112,6,66,8,1630,184,1444,2,4,321,97,122,184,80,104,171,13,0,1422,23,1634,1445,184,8,218,122,1509311882.53409,264158.506465067,59,7,75,9
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,224,6,2,8,38,27,23,40,36,33,11,0,0,0,0,5,0,1,5,3,3,2,57,0 to 92,64,27 to 92,19,0,139,83,2,223,1,0,59,162,3,10,3,6,13,0,6,3,222,19,203,0,2,8,74,24,19,11,8,19,0,0,202,1,224,203,19,3,3,0,1654926851.96404,168390.780925558,6,0,6,0
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,498,4,5,21,60,73,68,91,108,52,15,1,0,0,1,3,2,4,14,9,3,0,57,0 to 98,63,17 to 77,34,0,270,191,37,493,5,0,25,448,25,23,3,10,28,2,6,1,498,36,460,2,0,7,63,17,36,19,17,34,2,0,458,3,498,461,36,1,57,31,1294754947.55994,220559.838719988,5,1,9,1
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,156,2,4,7,28,30,19,31,19,10,6,0,0,0,0,3,4,1,2,1,0,0,48,1 to 90,40,28 to 70,11,0,89,64,3,155,1,0,16,139,1,6,0,5,7,0,4,0,156,11,144,1,0,11,8,3,11,5,6,11,0,0,143,1,156,144,11,0,29,27,3080878042.06929,290231.154940413,4,0,5,0
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,845,12,14,54,75,77,125,163,179,103,42,1,0,1,3,6,3,10,13,18,9,2,58,0 to 105,62,8 to 94,59,0,504,336,5,835,10,0,74,720,51,27,2,36,46,1,18,0,819,65,754,0,26,59,20,47,65,38,27,59,6,0,752,2,845,754,65,0,141,77,1319798862.49319,234087.653130679,17,1,34,2
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,19944,160,227,1335,3476,3686,3805,3373,2242,1084,528,28,2,13,180,366,396,445,456,300,137,68,47,0 to 106,50,0 to 98,2302,0,10213,8237,1494,19757,187,0,1473,17840,631,839,829,697,1310,725,330,60,19884,2365,17500,19,60,812,1104,1115,2365,1291,1056,2302,63,0,17384,121,19944,17505,2365,60,930,684,3142374056.01305,291881.846057183,311,19,667,30
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,2732,113,96,324,515,432,417,391,264,127,53,0,1,1,28,30,28,26,24,21,16,7,42,0 to 100,45,2 to 95,166,0,1671,1048,13,2442,290,0,111,2571,50,85,73,24,113,53,16,3,2731,182,2548,1,1,76,74,48,182,91,89,166,16,0,2274,274,2732,2548,182,3,124,74,1767890300.40206,439974.169549806,16,0,24,0
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,147,5,8,14,20,22,22,26,14,12,3,1,0,0,0,1,1,0,1,2,0,0,47,0 to 97,61,33 to 74,4,0,73,62,12,144,3,0,26,114,7,1,4,0,3,0,2,0,145,5,140,0,2,28,2,1,5,2,3,4,1,0,138,2,147,140,5,0,7,6,2307690905.70045,272539.677334045,1,1,0,0
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,45,1,2,5,4,1,5,13,9,5,0,0,0,0,0,1,0,0,1,0,0,0,57,3 to 84,42,25 to 60,1,0,19,25,1,44,1,0,5,37,3,2,0,0,2,0,0,0,45,2,43,0,0,8,2,0,2,0,2,1,1,0,43,0,45,43,2,0,3,3,1445840682.56789,446544.245992026,0,0,0,0
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,2826,79,41,398,579,433,352,372,320,158,56,38,1,0,28,32,16,19,23,16,6,2,41,0 to 118,41,2 to 91,136,0,1659,1098,69,2781,45,0,171,2617,38,51,65,28,62,63,19,0,2818,144,2665,9,8,90,91,27,144,64,78,136,8,0,2629,37,2826,2666,144,0,62,50,2510756491.26947,272135.471452184,17,2,24,4
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,2653,50,74,180,349,478,496,463,336,167,58,2,0,3,10,15,12,35,41,31,8,1,48,0 to 96,56,9 to 91,151,0,1471,1077,105,2645,8,0,180,2390,83,94,15,47,119,5,32,2,2629,156,2471,2,24,148,141,147,156,85,70,151,5,0,2469,3,2653,2472,156,2,137,116,1658206648.51031,344848.248220385,28,4,43,4
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,87,0,1,5,10,6,11,8,17,12,15,2,0,0,1,0,0,0,0,1,0,0,65,9 to 96,48,24 to 72,0,0,38,46,3,59,28,0,0,86,1,0,1,1,1,1,0,0,67,2,65,0,20,0,0,1,2,0,2,0,2,0,48,17,87,65,2,0,14,12,426757389.663452,73231.2921286601,0,0,0,1
