ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,24,1919,2,130,14,543,184,108,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,73,17653,10,1515,63,2920,1366,885,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,99,4217,11,261,26,1153,563,204,2,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,110,5923,12,299,26,1012,296,215,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,10,545,1,46,0,0,0,0,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,53,1921,1,61,7,191,141,30,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,107,17014,9,1585,46,1959,817,527,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,30,2031,3,132,14,417,185,98,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,89,17897,13,1134,15,698,380,166,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,10,938,0,55,4,206,159,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,91,6295,6,443,23,1020,464,285,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,62,7695,4,543,51,1483,610,397,4,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,69,8285,16,678,49,1664,696,388,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,124,15604,18,881,25,1024,585,312,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,39,523,2,26,4,50,26,14,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,29,4416,4,392,32,941,538,274,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,6,1075,1,141,5,242,118,101,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,37,15191,13,1018,29,1258,558,443,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,9,1118,0,123,7,400,104,103,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,17,6171,4,587,42,1201,560,437,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,102,15165,16,935,42,1552,675,465,7,1.62072838209013,0.0871537443231625
