ï»¿OBJECTID,CORR_NOMB,SHAPE_Leng,CORR_FEAC,ID1,CORR_LEY,ORDEN_CORR,PROV_ID,DIST_ID,CORR_ID,CODIGO,CAMPO,ID2,TIPO,Cantidad,Hospitalizado,Aislamiento_domiciliario,Fallecido,UCI,Recuperado,ORIG_FID
39,CORDILLERA,53280.39715,1185840000000,486,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,04,03,03,040303,2016,39, ,,,,,,,39
40,BREÃON,38837.16102,1188604800000,14,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,02,041002,2017,40, ,,,,,,,40
41,DOMINICAL,57688.3721,1188604800000,33,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,07,041007,2017,41,R,,,,,,,41
42,SANTA CRUZ,49655.94404,1188604800000,54,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,06,041006,2017,42, ,,,,,,,42
43,PLAZA CAISAN,67676.72539,1188432000000,6,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,05,041005,2017,43, ,1,0,1,0,0,0,43
44,MONTE LIRIO,48097.59093,1191110400000,965,LEY 30 DE ABRIL DE 2003,0,04,10,04,041004,2017,44, ,,,,,,,44
45,SANTA CLARA,71307.37763,1191110400000,76,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,08,041008,2017,45, ,,,,,,,45
46,VELADERO,53916.81014,1225411200000,1,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,04,13,09,041309,2017,47,R,,,,,,,46
47,EL CRISTO,43962.12236,1225411200000,36,LEY 10 DEL 7 DE MARZO DE 1997,0,04,13,04,041304,2017,48,R,,,,,,,47
48,JUSTO FIDEL PALACIOS,36749.90573,1162252800000,253,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,04,13,05,041305,2017,49,R,,,,,,,48
49,CERRO VIEJO,116145.31652,1225411200000,291,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,04,13,03,041303,2017,50,R,,,,,,,49
50,CAÃAS GORDAS,48937.32839,1188604800000,3,LEY 41 DEL 30 DE ABRIL DE 2003,0,04,10,03,041003,2017,51, ,1,0,1,0,0,0,50
51,RIO SERENO (CABECERA),92437.90291,1188432000000,327,LEY 58 DEL 29 DE JULIO DE 1998,0,04,10,01,041001,2017,52, ,,,,,,,51
52,EL COPE,42342.62277,1136592000000,4,LEY 58 DEL 29 DE JULIO DE 1998,0,02,05,02,020502,2017,53, ,,,,,,,52
53,EL PALMAR,61772.11033,1148947200000,1,LEY 58 DEL 29 DE JULIO DE 1998,0,02,05,03,020503,2016,54, ,,,,,,,53
54,OLA  (CABECERA),71165.80945,1151625600000,38,LEY 58 DEL 29 DE JULIO DE 1998,0,02,05,01,020501,2017,55, ,2,0,2,0,0,0,54
55,EL PICACHO,33328.68508,1149120000000,2,LEY 58 DEL 29 DE JULIO DE 1998,0,02,05,04,020504,2017,56, ,,,,,,,55
56,LA PAVA,47929.89413,1154217600000,22,LEY 58 DEL 29 DE JULIO DE 1998,0,02,05,05,020505,2017,57, ,,,,,,,56
57,EL CACAO,59724.15087,1154304000000,2,LEY 58 DEL 29 DE JULIO DE 1998,0,02,04,03,020403,2018,58,R,,,,,,,57
58,GUZMAN,48029.61638,1149033600000,19,LEY 58 DEL 29 DE JULIO DE 1998,0,02,04,04,020404,2017,59, ,,,,,,,58
59,LAS LOMAS,51737.43842,1180569600000,15,LEY 56 DEL 5 DE DICIEMBRE DE 2002,0,02,03,06,020306,2016,60, ,,,,,,,59
60,RIO GRANDE,58206.89848,1256947200000,25,LEY 58 DEL 29 DE JULIO DE 1998,0,02,06,07,020607,2018,61,R,,,,,,,60
61,COCLE,74361.48448,1256601600000,1,LEY 58 DEL 29 DE JULIO DE 1998,0,02,06,03,020603,2018,62,R,1,0,0,1,0,0,61
62,EL POTRERO,42504.06744,1172620800000,75,LEY 56 DEL 5 DE DICIEMBRE DE 2002,0,02,03,03,020303,2018,63,R,,,,,,,62
63,LA PINTADA (CABECERA),51909.75563,1170288000000,1,LEY 58 DEL 29 DE JULIO DE 1998,0,02,03,01,020301,2018,64,R,3,1,2,0,0,0,63
64,CAÃAVERAL,50744.22927,1231545600000,10,LEY 58 DEL 29 DE JULIO DE 1998,0,02,06,02,020602,2018,65,R,4,2,1,0,0,1,64
65,EL COCO,88583.90922,1255564800000,7,LEY 58 DEL 29 DE JULIO DE 1998,0,02,06,05,020605,2018,66,U,2,1,1,0,0,0,65
66,CHIGUIRI ARRIBA,76408.38495,1168128000000,292,LEY 58 DEL 29 DE JULIO DE 1998,0,02,06,04,020604,2016,67, ,,,,,,,66
67,SAN JUAN DE DIOS,57659.31298,1130716800000,33,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,08,020208,2018,68,R,,,,,,,67
68,JUAN DIAZ,93182.64181,1130716800000,27,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,06,020206,2016,69, ,,,,,,,68
69,ANTON (CABECERA),106147.91838,1130716800000,40,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,01,020201,2018,70,U,5,0,5,0,0,0,69
70,EL CHIRU,87602.73412,1143763200000,156,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,03,020203,2016,71, ,1,0,1,0,0,0,70
71,EL RETIRO,78385.54496,1146355200000,90,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,04,020204,2018,72,R,,,,,,,71
72,TOABRE,128866.48008,1183248000000,37,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,02,06,09,020609,2018,73,R,,,,,,,72
73,LAS HUACAS,64583.71289,1149033600000,67,LEY 58 DEL 29 DE JULIO DE 1998,0,02,04,05,020405,2017,74, ,,,,,,,73
74,RIO HATO,94701.47673,1154304000000,533,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,07,020207,2018,75,U,11,0,11,0,0,0,74
75,CABUYA,59267.19566,1149033600000,48,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,02,020202,2018,76,R,,,,,,,75
76,EL VALLE,31387.64791,1136678400000,91,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,05,020205,2018,77,U,,,,,,,76
77,CABALLERO,55201.36595,1143763200000,19,LEY 58 DEL 29 DE JULIO DE 1998,0,02,02,10,020210,2018,78,R,1,1,0,0,0,0,77
78,EL HARINO,100954.68698,1167696000000,1,LEY 56 DEL 5 DE DICIEMBRE DE 2002,0,02,03,02,020302, ,79, ,,,,,,,78
79,BARRIO NORTE,5950.11697,1234915200000,1,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,01,01,030101, ,80,U,4,0,3,0,1,0,79
80,PLAYA CHIQUITA,89601.41827,1233360000000,9,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,05,06,030506,2018,81,R,,,,,,,80
