ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,28,1895,2,128,14,533,183,106,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,93,17583,8,1508,63,2915,1347,880,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,35,4097,Â 0,249,26,1129,558,201,2,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,93,5818,4,290,26,985,294,212,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,7,534,3,44,7,170,129,34,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,42,1869,3,60,6,191,148,30,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,78,16906,7,1576,46,1936,799,526,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,37,2002,2,129,14,413,184,97,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,83,17814,15,1121,15,696,374,163,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,7,925,Â 0,55,4,206,159,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,45,6205,7,438,23,1024,445,283,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,103,7637,7,537,51,1470,599,392,4,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,49,8214,5,661,49,1647,690,384,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,86,15497,9,864,25,1000,572,311,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,5,484,1,24,4,48,24,14,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,42,4390,3,387,32,920,534,273,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,11,1077,Â 0,140,5,242,117,100,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,54,15176,11,1005,29,1269,556,440,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,12,1111,1,123,7,400,102,103,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,25,6155,2,583,42,1162,556,431,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,115,15057,8,921,42,1491,659,443,7,1.62072838209013,0.0871537443231625
