ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,862,23,25,100,112,122,129,125,111,78,37,0,0 to 118,49,479,375,8,862,0,0,23,692,2,205,3,169,693,0,0,862,144,25,0,0,60,109,0,169,6,7,24,27,27,28,22,16,11,1,0,0 to 94,42,120,16,15,18,29,116,24,11,0,3,0,0,0,169,109,60,169,0,0,2600,0,2774,2600,169,0,271,254,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4035,89,174,440,611,513,608,650,458,313,166,13,0 to 118,48,2436,1536,63,4027,8,0,126,3582,133,681,22,855,3176,1,3,4023,490,365,0,0,421,406,28,855,20,81,156,156,126,108,96,57,36,17,2,0 to 100,35,408,242,96,109,157,570,128,129,0,73,0,0,7,855,406,421,855,0,0,8412,8,9280,8420,855,7,239,170,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1035,33,27,110,157,145,138,175,146,75,25,4,0 to 118,47,582,422,31,1027,8,0,25,785,3,280,28,158,876,1,0,1026,127,29,2,0,80,75,1,156,0,5,35,39,27,18,19,6,8,1,0,6 to 91,35,79,42,20,15,26,113,17,33,0,10,0,0,1,158,75,82,156,2,0,1686,6,1853,1692,158,1,397,296,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8191,222,187,781,1280,1172,1061,1185,901,763,595,44,0 to 119,48,4866,3231,94,8038,152,1,272,6956,137,830,99,1532,6634,0,25,8014,1375,136,16,5,817,654,40,1511,19,46,278,328,231,189,171,124,82,60,4,0 to 103,38,809,135,104,463,246,700,565,145,3,82,1,0,10,1532,664,828,1510,21,1,17498,131,19183,17629,1532,10,1596,1165,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,680,7,12,59,70,97,99,123,97,76,40,0,0 to 99,54,407,260,13,680,0,0,18,468,4,161,8,184,495,0,1,679,168,16,0,0,119,65,0,184,1,5,21,21,18,23,28,20,25,22,0,1 to 99,55,141,19,10,14,12,150,22,28,0,20,0,0,7,184,65,119,184,0,0,1186,0,1376,1186,184,7,341,279,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,82952,1350,2098,7169,10994,10532,11781,13523,11547,8002,4327,1629,0 to 119,52,45016,37629,307,82084,866,2,4261,70280,465,14015,450,22788,59791,181,192,81716,22366,196,220,6,11382,11117,63,22562,388,825,3298,4320,3750,3395,2878,1722,1213,968,31,0 to 105,41,8486,3626,3206,7244,6613,8294,7655,2936,42,2121,27,14,634,22788,11238,11484,22560,226,2,169179,636,192961,169815,22788,634,6744,6479,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13020,237,319,1048,1702,1731,2033,2176,1894,1212,629,39,0 to 119,52,7536,5220,264,12871,149,0,774,10392,188,2526,96,3209,9617,7,187,12677,3088,105,16,0,1740,1421,32,3193,59,124,441,576,533,528,408,278,154,100,8,0 to 104,42,1036,558,311,1288,613,1101,1479,324,2,255,2,1,70,3209,1430,1747,3193,16,0,26925,130,30303,27055,3209,70,2115,2100,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,17785,358,462,1707,2395,2491,2818,2931,2488,1482,623,30,0 to 119,50,10072,7614,99,17697,88,0,805,14684,223,2827,159,4363,13373,2,47,17648,4256,84,22,1,2171,2125,44,4340,73,127,730,837,713,687,530,379,197,89,1,0 to 99,40,2366,276,404,1294,706,2087,1547,485,8,295,4,1,36,4363,2136,2183,4340,23,0,44914,65,49380,44979,4363,36,3247,2695,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3308,65,131,278,553,565,569,495,407,157,85,3,0 to 119,46,2229,1063,16,3288,19,1,69,2850,46,526,21,687,2619,1,1,3287,665,16,6,0,425,250,6,681,14,41,84,131,141,115,68,49,29,14,1,0 to 98,39,205,267,36,173,98,379,204,118,0,76,0,0,9,687,250,431,680,6,1,6783,13,7500,6796,687,9,569,374,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15031,215,389,2414,2533,2134,2158,2289,1803,703,351,42,0 to 119,43,7816,7070,145,14770,260,1,321,13670,201,1149,111,2606,12412,2,11,14758,2517,31,55,3,1337,1184,27,2548,21,97,1057,518,291,231,225,109,35,12,10,0 to 105,26,700,725,97,1026,149,1084,1315,156,13,70,11,7,10,2606,1212,1367,2547,58,1,38256,198,41141,38454,2606,10,1166,748,,2.42861632663576,0.170704044186268
