ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,13,3060,1,219,15,17,690,317,155,1,10,631,258,138,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,26,19927,2,1761,268,62,3319,1755,931,11,54,3161,1632,882,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,6,5419,2,412,42,30,1366,767,281,5,25,1259,698,250,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,31,7775,1,500,56,31,1324,498,305,3,28,1312,485,304,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,4,744,1,76,4,11,237,179,52,0,9,148,94,29,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,2,3068,1,140,13,7,390,252,68,1,6,286,223,41,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,43,19100,1,1830,255,46,2211,1073,570,20,29,1670,821,429,16,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,15,2797,2,188,7,17,700,275,141,3,13,632,257,121,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,26,19219,0,1309,185,15,1009,586,254,8,14,940,564,226,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,0,1098,0,70,56,5,216,179,37,2,5,216,179,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,7,7815,2,561,43,24,1197,603,344,4,16,1025,510,283,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,60,9605,1,744,101,53,1884,911,508,7,37,1471,745,395,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,28,9890,2,927,73,50,1992,934,515,4,27,1572,712,392,1,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,19,17127,2,1069,158,27,1319,767,398,15,19,969,531,322,6,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,3,821,0,73,5,6,185,114,61,0,5,172,108,55,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,23,5057,4,468,82,33,1070,693,297,8,30,1013,673,276,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,3,1236,0,158,37,7,260,152,110,4,5,259,136,110,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,39,16563,1,1161,179,29,1491,737,475,11,29,1491,737,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,1,1267,0,153,17,9,411,141,122,1,6,254,103,78,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,4,6926,1,667,157,45,1431,731,478,3,23,867,436,294,1,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,36,17119,3,1174,221,42,1729,902,512,8,42,1729,902,512,8,1.62072838209013,0.0871537443231625
