County,Cases,Deaths,Recovered,ReportDate
TULSA,5626,79,4435,2020-07-15
OKLAHOMA,5591,76,4076,2020-07-15
CLEVELAND,1526,40,1165,2020-07-15
TEXAS,1007,6,993,2020-07-15
MCCURTAIN,651,12,508,2020-07-15
CANADIAN,594,3,414,2020-07-15
COMANCHE,570,9,446,2020-07-15
PAYNE,493,2,439,2020-07-15
WASHINGTON,474,39,407,2020-07-15
WAGONER,410,19,313,2020-07-15
ROGERS,368,7,259,2020-07-15
MCCLAIN,271,4,219,2020-07-15
DELAWARE,270,17,199,2020-07-15
GRADY,264,5,204,2020-07-15
CREEK,231,9,176,2020-07-15
OSAGE,228,8,185,2020-07-15
MUSKOGEE,228,14,130,2020-07-15
CADDO,214,11,183,2020-07-15
CARTER,203,2,152,2020-07-15
BRYAN,199,1,125,2020-07-15
OKMULGEE,196,0,91,2020-07-15
OTTAWA,190,2,115,2020-07-15
POTTAWATOMIE,178,4,126,2020-07-15
ADAIR,160,4,125,2020-07-15
MAYES,148,5,88,2020-07-15
GARVIN,140,3,108,2020-07-15
CHEROKEE,138,1,106,2020-07-15
GARFIELD,138,2,95,2020-07-15
KAY,133,9,103,2020-07-15
CHOCTAW,131,1,114,2020-07-15
JACKSON,128,3,48,2020-07-15
LOGAN,111,1,69,2020-07-15
STEPHENS,102,1,71,2020-07-15
CUSTER,93,0,71,2020-07-15
PONTOTOC,93,2,57,2020-07-15
MCINTOSH,88,1,63,2020-07-15
PITTSBURG,83,3,64,2020-07-15
SEMINOLE,80,3,41,2020-07-15
LE FLORE,75,1,45,2020-07-15
PAWNEE,75,3,61,2020-07-15
SEQUOYAH,73,3,56,2020-07-15
GREER,71,7,58,2020-07-15
NOBLE,55,1,45,2020-07-15
KINGFISHER,54,0,35,2020-07-15
MARSHALL,49,0,36,2020-07-15
LINCOLN,49,2,33,2020-07-15
LOVE,49,0,46,2020-07-15
ATOKA,42,0,26,2020-07-15
NOWATA,41,1,37,2020-07-15
PUSHMATAHA,35,0,18,2020-07-15
BEAVER,32,0,32,2020-07-15
CRAIG,29,0,22,2020-07-15
MURRAY,28,0,25,2020-07-15
TILLMAN,27,1,24,2020-07-15
BECKHAM,25,0,10,2020-07-15
LATIMER,25,1,11,2020-07-15
BLAINE,22,0,17,2020-07-15
JOHNSTON,21,0,13,2020-07-15
OKFUSKEE,20,0,15,2020-07-15
HASKELL,19,0,11,2020-07-15
JEFFERSON,19,0,14,2020-07-15
KIOWA,18,1,11,2020-07-15
HUGHES,16,0,14,2020-07-15
MAJOR,16,1,13,2020-07-15
WOODWARD,15,0,13,2020-07-15
COTTON,13,2,7,2020-07-15
WASHITA,12,0,4,2020-07-15
COAL,12,0,10,2020-07-15
WOODS,11,0,8,2020-07-15
DEWEY,4,0,4,2020-07-15
HARMON,4,0,2,2020-07-15
GRANT,3,0,2,2020-07-15
HARPER,2,0,1,2020-07-15
ELLIS,2,0,2,2020-07-15
CIMARRON,1,0,1,2020-07-15
ALFALFA,1,0,1,2020-07-15
