ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,65,2702,0,188,17,674,299,145,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,14,19010,4,1696,63,3257,1707,915,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,27,5023,1,371,28,1339,730,269,5,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,19,7135,0,416,30,1287,472,290,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,5,688,0,62,11,216,162,42,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,6,2847,0,124,7,379,232,60,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,35,18551,1,1760,46,2170,1021,566,20,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,9,2467,0,171,17,521,254,120,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,22,18744,3,1262,15,998,542,248,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,1,1054,0,67,4,212,174,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,51,7541,0,524,24,1175,585,333,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,23,8942,1,695,53,1847,872,495,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,20,9425,3,847,50,1990,1005,494,3,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,29,16769,1,1014,25,1266,769,376,15,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,2,750,0,64,6,184,110,54,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,7,4813,0,438,33,1031,655,288,8,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,0,1176,0,152,7,259,147,107,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,26,16322,0,1135,29,1466,721,472,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,5,1216,0,142,7,407,135,117,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,9,6699,2,641,42,1404,701,467,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,25,16605,1,1101,42,1692,847,500,8,1.62072838209013,0.0871537443231625
