ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,742,12,12,81,101,106,111,116,98,69,36,0,0 to 118,50,419,311,12,742,0,0,9,672,2,94,2,75,667,0,0,742,74,1,0,0,14,61,0,75,1,0,11,16,17,13,13,3,1,0,0,1 to 79,39,48,10,12,5,14,57,4,3,0,0,0,0,0,75,61,14,75,0,0,2030,0,2106,2030,75,0,119,102,39,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3473,72,118,327,496,431,543,589,427,298,161,11,0 to 118,50,2181,1250,42,3465,8,0,86,3150,133,315,22,237,3233,1,2,3462,141,96,0,0,138,99,0,237,4,25,35,32,34,33,28,22,17,7,0,2 to 98,40,116,110,10,1,11,221,5,45,0,28,0,0,6,237,99,138,237,0,0,4973,8,5219,4981,237,6,185,116,40,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,888,33,19,77,133,114,112,160,142,71,23,4,0 to 118,50,488,369,31,880,8,0,16,763,3,139,28,65,822,1,0,879,53,11,1,0,19,45,0,64,0,1,12,23,13,2,7,3,4,0,0,6 to 84,32,41,4,17,2,26,36,2,17,0,6,0,0,0,65,45,20,64,1,0,1262,7,1336,1269,65,0,151,49,32,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7028,162,149,543,1025,997,918,1077,814,731,571,41,0 to 119,51,4269,2718,41,6886,141,1,152,6415,137,387,74,400,6628,0,0,6887,292,99,5,4,199,192,0,391,6,18,39,80,63,54,60,39,25,15,1,0 to 96,43,309,44,28,10,117,263,11,91,2,55,1,0,6,400,198,202,390,9,1,10743,132,11283,10875,400,6,919,488,43,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,536,5,4,43,49,79,75,90,83,71,36,1,0 to 99,56,319,199,18,536,0,0,4,442,4,55,3,69,467,0,0,536,53,16,0,0,52,17,0,69,0,0,6,6,5,2,3,7,20,20,0,20 to 99,78,51,10,0,8,1,55,13,11,0,6,0,0,6,69,17,52,69,0,0,672,0,743,672,69,6,111,49,78,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,70084,1036,1567,5107,8450,8406,9872,11944,10666,7494,3933,1609,0 to 119,54,38451,31341,292,69315,767,2,2345,63014,465,7732,353,10754,58974,195,161,68964,10485,143,120,6,5295,5306,27,10628,152,372,1360,1852,1709,1633,1424,933,757,548,14,0 to 104,44,4452,1864,1756,2556,3659,4297,2672,2104,34,1555,22,13,468,10754,5379,5348,10626,126,2,110900,638,122529,111538,10754,468,3040,2775,44,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10386,178,210,702,1262,1279,1588,1814,1694,1088,539,32,0 to 119,54,5966,4208,212,10239,147,0,422,9001,188,1235,74,1214,9085,5,82,10152,1128,75,11,0,638,563,2,1203,25,37,135,217,176,207,168,123,74,52,0,0 to 97,46,412,210,98,483,187,471,545,212,1,151,2,0,41,1214,568,644,1203,11,0,18111,136,19467,18247,1214,41,453,438,46,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,13899,270,331,1036,1645,1873,2196,2464,2166,1320,570,28,0 to 119,53,8120,5736,43,13823,76,0,252,12928,223,809,110,809,13066,2,22,13799,750,48,10,1,422,376,0,798,16,23,121,127,137,133,107,91,34,20,0,0 to 94,43,485,98,102,113,173,491,134,158,4,106,3,1,17,809,382,427,798,11,0,26915,65,27801,26980,809,17,1355,803,43,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2928,50,94,211,490,500,512,465,383,140,81,2,0 to 119,47,2032,884,12,2909,18,1,35,2662,46,325,16,322,2604,1,1,2908,308,9,5,0,229,88,0,317,3,9,20,66,74,62,37,27,14,10,0,0 to 98,43,130,133,15,39,39,225,53,64,1,57,0,0,6,322,88,234,316,5,1,5076,13,5417,5089,322,6,403,209,43,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,12977,189,307,1568,2122,1907,1987,2113,1735,676,342,31,0 to 119,47,6728,6117,132,12742,234,1,186,12143,201,600,90,573,12374,3,27,12713,531,10,31,1,288,253,0,541,3,20,195,100,68,68,67,37,11,4,0,0 to 91,30,176,273,17,75,27,424,90,91,11,44,9,7,8,573,269,304,540,32,1,22417,202,23197,22619,573,8,799,380,30,,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,568,12,13,22,44,76,80,117,121,65,17,1,0 to 101,58,339,224,5,563,5,0,7,488,41,78,7,36,532,0,0,563,13,21,2,0,20,14,0,34,1,1,2,3,3,4,7,7,4,4,0,1 to 95,58,10,17,7,0,5,28,1,7,2,9,0,0,4,36,16,20,34,2,0,964,3,1004,967,36,4,68,30,58,,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1085,47,39,91,121,136,148,161,179,107,49,7,0 to 99,52,693,386,6,1062,23,0,26,904,53,261,15,123,961,1,0,1061,70,49,4,0,72,47,0,119,5,4,13,11,19,16,27,12,5,11,0,0 to 98,50,30,73,9,7,7,88,24,24,0,4,0,1,3,123,48,75,119,4,0,1570,19,1714,1589,123,3,240,137,50,,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,221,1994,0,0,2215,218,3,0,0,5,216,0,221,0,0,13,58,55,54,36,5,0,0,0,20 to 73,41,115,98,5,3,7,133,81,5,0,1,0,0,1,221,216,5,221,0,0,2078,0,2301,2078,221,1,39,14,41,,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1979,14,23,158,533,411,318,239,168,69,42,4,0 to 118,41,434,1517,28,1973,6,0,32,1865,9,290,5,289,1689,0,1,1972,278,8,2,1,40,246,0,286,3,6,28,83,60,53,42,11,3,0,0,0 to 84,39,129,125,28,4,47,92,147,26,1,8,0,0,2,289,248,41,286,3,0,2176,3,2470,2179,289,2,16,14,39,,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3266,37,31,217,403,435,548,622,443,289,186,55,0 to 119,53,1822,1389,55,3230,36,0,80,3080,28,208,50,190,3043,0,33,3203,149,31,9,1,81,98,1,180,3,1,24,41,28,43,23,13,13,1,0,2 to 93,44,141,18,11,10,57,108,15,56,3,24,2,1,4,190,102,87,180,10,0,6184,20,6399,6204,190,4,62,54,44,,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3440,88,104,239,416,426,447,671,551,288,201,9,0 to 119,54,1940,1400,100,3424,16,0,201,3074,63,310,16,227,3210,0,3,3421,190,34,3,0,110,114,0,224,7,14,24,51,32,35,35,17,7,5,0,0 to 97,40,102,90,21,11,24,182,18,8,0,18,0,0,3,227,117,110,224,3,0,5014,13,5259,5027,227,3,27,25,40,,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,895,30,16,97,132,123,147,147,103,66,32,2,0 to 99,48,495,347,53,835,60,0,24,841,16,72,3,41,854,0,0,835,19,22,0,0,23,18,0,41,0,2,5,4,6,5,5,6,5,3,0,10 to 97,48,27,10,2,2,1,37,3,10,0,12,0,0,4,41,18,23,41,0,0,1412,60,1513,1472,41,4,26,25,48,,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,795,12,13,58,95,96,133,151,152,63,21,1,0 to 119,54,441,339,15,785,10,0,5,742,5,56,5,47,748,0,0,785,31,15,0,1,17,29,0,46,1,0,2,10,12,12,4,5,1,0,0,1 to 79,43,36,4,1,5,2,38,6,7,0,4,0,0,0,47,29,18,46,1,0,1120,9,1177,1129,47,0,59,53,43,,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7591,149,176,562,773,879,983,1356,1353,949,388,23,0 to 100,56,3728,3399,464,7497,94,0,335,6481,82,1140,75,1525,6045,1,20,7477,1498,13,14,0,682,821,8,1511,55,81,239,271,282,260,163,74,58,39,3,0 to 99,38,511,62,529,409,847,336,328,236,2,143,1,1,20,1525,830,687,1511,14,0,12872,78,14484,12950,1525,20,110,99,38,,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,55150,1262,1528,4798,8446,7986,8520,9284,7399,3977,1826,124,0 to 119,49,31590,23303,257,54736,414,0,758,52368,458,2525,312,5580,49475,23,72,54642,5381,131,65,3,2957,2548,7,5512,101,198,908,1300,862,758,614,398,250,173,18,0 to 104,37,1831,1013,882,1786,1243,2190,2079,834,11,573,8,3,114,5580,2578,2995,5512,68,0,92434,345,98434,92779,5580,114,1712,1365,37,,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,16065,273,342,962,1529,1681,2090,2999,3291,2044,751,103,0 to 119,58,9143,6609,313,15815,250,0,753,14534,177,1506,46,1890,14171,4,0,15811,1817,59,14,0,992,872,12,1876,38,77,220,300,295,272,252,184,158,94,0,0 to 101,45,1107,234,176,359,603,858,415,177,2,247,2,2,126,1890,878,1000,1876,14,0,29984,236,32123,30220,1890,126,329,231,45,,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8282,120,203,628,958,1147,1350,1482,1306,761,306,21,0 to 101,53,4786,3387,109,8261,21,0,118,7776,130,525,48,494,7787,1,0,8260,428,63,3,0,289,202,0,491,1,7,43,57,63,72,83,80,55,33,0,0 to 100,55,269,96,48,78,46,353,92,133,0,96,0,0,32,494,203,291,491,3,0,14177,18,14693,14195,494,32,301,268,55,,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,1044,26,64,141,189,134,130,145,125,64,26,0,0 to 94,42,581,446,17,1037,7,0,48,640,2,323,6,289,755,0,0,1037,269,15,5,0,139,145,0,284,6,25,47,63,45,34,27,26,11,5,0,0 to 88,35,184,51,27,22,173,88,23,47,3,31,3,1,1,289,148,141,284,5,0,1592,2,1884,1594,289,1,474,375,35,,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,14666,163,207,921,1648,1676,2123,2533,2777,1840,752,26,0 to 168,57,9007,5604,55,14639,27,0,4289,9856,177,3246,145,395,13768,0,503,14137,367,23,4,1,220,170,0,390,7,10,47,66,64,60,68,40,25,8,0,0 to 97,45,276,82,21,11,71,306,13,76,3,51,0,0,10,395,171,224,390,5,0,20004,21,20427,20025,395,10,518,353,45,,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,20530,172,300,1115,2092,2217,2950,4247,3962,2163,1027,285,0 to 119,58,11485,8337,708,20433,97,0,317,19391,230,1038,142,1218,19312,0,0,20433,1057,146,14,1,611,592,0,1203,5,26,163,191,151,185,193,163,79,62,0,0 to 102,49,649,245,188,121,151,863,189,271,5,190,4,0,53,1218,599,619,1203,15,0,31461,82,32775,31543,1218,53,1112,497,49,,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,806,21,27,65,88,133,106,137,120,68,40,1,0 to 118,52,476,312,18,806,0,0,11,696,6,76,1,61,745,0,0,806,45,16,0,0,29,32,0,61,0,3,12,2,11,11,11,3,5,3,0,6 to 91,48,45,14,1,1,1,58,2,13,0,10,0,0,3,61,32,29,61,0,0,1202,0,1263,1202,61,3,120,65,48,,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,15438,217,248,845,1433,1507,1912,2500,2835,2019,665,1257,0 to 103,58,8072,6297,1069,15300,138,0,171,14726,222,620,95,733,14693,0,12,15290,701,16,16,0,321,396,0,717,9,21,109,129,103,111,97,72,67,15,0,0 to 103,44,363,103,144,107,144,429,144,153,12,95,5,1,19,733,406,327,717,16,0,27034,120,27899,27154,733,19,636,344,44,,3.13721776582964,0.276793966603692
