County,Cases,Deaths,Recovered,ReportDate
TULSA,2349,66,1408,2020-06-21
OKLAHOMA,2099,65,1502,2020-06-21
TEXAS,980,6,964,2020-06-21
CLEVELAND,677,40,506,2020-06-21
WASHINGTON,375,38,312,2020-06-21
COMANCHE,365,5,312,2020-06-21
MCCURTAIN,302,2,116,2020-06-21
PAYNE,242,1,63,2020-06-21
WAGONER,210,17,144,2020-06-21
CANADIAN,197,3,148,2020-06-21
CADDO,180,10,161,2020-06-21
OSAGE,140,8,102,2020-06-21
MCCLAIN,130,4,108,2020-06-21
ROGERS,126,5,91,2020-06-21
GRADY,125,5,112,2020-06-21
CREEK,123,7,99,2020-06-21
DELAWARE,117,16,89,2020-06-21
ADAIR,107,4,89,2020-06-21
CHOCTAW,107,1,98,2020-06-21
MUSKOGEE,94,9,53,2020-06-21
POTTAWATOMIE,85,4,64,2020-06-21
KAY,80,7,55,2020-06-21
BRYAN,71,1,43,2020-06-21
CARTER,69,1,56,2020-06-21
MAYES,69,4,37,2020-06-21
CHEROKEE,66,1,37,2020-06-21
GREER,66,7,57,2020-06-21
GARFIELD,55,1,46,2020-06-21
CUSTER,49,0,38,2020-06-21
STEPHENS,49,1,42,2020-06-21
PITTSBURG,48,3,40,2020-06-21
PAWNEE,48,2,35,2020-06-21
OKMULGEE,45,0,31,2020-06-21
GARVIN,45,1,22,2020-06-21
OTTAWA,44,2,35,2020-06-21
MCINTOSH,38,1,14,2020-06-21
SEMINOLE,35,3,30,2020-06-21
JACKSON,32,3,25,2020-06-21
BEAVER,30,0,30,2020-06-21
NOBLE,28,0,11,2020-06-21
NOWATA,28,1,23,2020-06-21
LOGAN,28,1,20,2020-06-21
PONTOTOC,27,2,19,2020-06-21
LE FLORE,27,1,16,2020-06-21
LOVE,26,0,22,2020-06-21
LINCOLN,26,2,21,2020-06-21
SEQUOYAH,25,3,16,2020-06-21
TILLMAN,23,1,22,2020-06-21
MARSHALL,22,0,13,2020-06-21
KINGFISHER,19,0,12,2020-06-21
CRAIG,18,0,16,2020-06-21
BLAINE,14,0,10,2020-06-21
ATOKA,13,0,6,2020-06-21
MURRAY,13,0,10,2020-06-21
WOODWARD,12,0,8,2020-06-21
PUSHMATAHA,8,0,5,2020-06-21
MAJOR,8,1,5,2020-06-21
BECKHAM,8,0,7,2020-06-21
JOHNSTON,8,0,5,2020-06-21
HASKELL,7,0,6,2020-06-21
OKFUSKEE,7,0,6,2020-06-21
LATIMER,7,1,5,2020-06-21
KIOWA,6,0,5,2020-06-21
COAL,6,0,4,2020-06-21
WOODS,5,0,5,2020-06-21
COTTON,5,2,3,2020-06-21
HUGHES,5,0,3,2020-06-21
JEFFERSON,4,0,4,2020-06-21
DEWEY,4,0,2,2020-06-21
WASHITA,3,0,2,2020-06-21
GRANT,2,0,2,2020-06-21
HARPER,1,0,1,2020-06-21
ELLIS,1,0,0,2020-06-21
ALFALFA,1,0,1,2020-06-21
CIMARRON,1,0,1,2020-06-21
