ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
35930,Autauga,01001,East Central,155,3,0.150198352049983,2.1379328255407,9452ee66-98c3-4439-a89e-c6becee77ef5,1775
35931,Baldwin,01003,Southwestern,273,9,0.400159431601878,6.69300034847276,ba1f2af0-f403-4274-9079-6638255aa388,7042
35932,Barbour,01005,Southeastern,105,1,0.223267704174077,2.69097505269632,25ac8cf3-d92b-4f8f-b271-50f49455a59a,685
35933,Bibb,01007,West Central,58,1,0.156476914356972,1.8951692775798,0a763e71-994f-488a-baf7-866db141121d,1193
35934,Blount,01009,Northeastern,49,1,0.164406638341006,2.45274784751908,5662b27f-654d-4461-bc3c-46ecdefdc8b9,1320
35935,Bullock,01011,East Central,105,1,0.154671563531792,2.06480197165101,ceceaf9f-ad1e-4ee8-bc1d-196572e704bf,376
35936,Butler,01013,Southeastern,335,11,0.191776547733298,1.83587954870993,867504d5-c1de-49c5-b1a0-4d4bdc6bb3a2,1298
35937,Calhoun,01015,Northeastern,138,3,0.154366224232035,2.21070839394633,ba878379-30dc-4463-bd2c-68f4dc44e97d,3141
35938,Chambers,01017,East Central,330,23,0.150563980768084,1.72306516183319,749c6241-e996-40b9-b026-7059617067c3,1356
35939,Cherokee,01019,Northeastern,33,2,0.151975822791428,1.89808177880757,65105cea-44bb-4512-896f-c696a9aa6aaa,605
35940,Chilton,01021,West Central,86,1,0.174837510280213,2.09165532433194,95b23443-8f3d-48d7-8e3b-870aa7fbca2c,1210
35941,Choctaw,01023,Southwestern,140,4,0.227681129400253,2.68700551554037,7225820b-8d25-4306-9bc5-00355ac9419c,425
35942,Clarke,01025,Southwestern,97,2,0.308508819690587,3.78655552072513,91fd1d55-21f2-4aa3-8eed-ef97f9583380,995
35943,Clay,01027,Northeastern,27,2,0.151874743437702,2.02332180215824,ffc3530e-3092-4018-a084-cdcdcdc2b347,437
35944,Cleburne,01029,Northeastern,13,1,0.141259985723536,2.17578212063938,ac185558-0e78-4217-822f-61b38f3f2472,206
35945,Coffee,01031,Southeastern,196,1,0.167143203828118,1.67989540600381,caeb28f9-2d2d-4ebe-8c18-bb43718616c4,1611
35946,Colbert,01033,Northern,125,2,0.15857369348987,2.31239229125845,579b3082-b830-4beb-9f76-5c587a9d4c46,2256
35947,Conecuh,01035,Southwestern,25,1,0.209509978242295,2.59686142559656,02245768-6d54-421c-93fc-3476e5b4a17c,288
35948,Coosa,01037,East Central,33,1,0.16640708911109,1.7505584986585,17940b8f-9fe9-49d2-b9bf-872b96100ae4,252
35949,Covington,01039,Southeastern,63,1,0.255971892285061,2.38709591035509,89ddd196-c991-4d56-8864-e32e77a657b2,1024
35950,Crenshaw,01041,Southeastern,58,2,0.150571897113878,2.31806123117494,4b76c464-715a-476c-bec2-24738865e38b,642
35951,Cullman,01043,Northern,74,0,0.191087821164047,2.50218505547441,1afe4080-46bf-4096-a8a5-79543608c0aa,2384
35952,Dale,01045,Southeastern,81,0,0.138259666605563,1.65151999951547,311257fa-4783-434e-8f46-57bfaf264783,987
35953,Dallas,01047,Southwestern,191,3,0.246497505086154,3.13752996820932,447a3eae-29ef-4006-8295-7a2e0a661d9c,1696
35954,DeKalb,01049,Northeastern,216,3,0.197848401841384,2.21695752803772,d38d9788-d3b7-41e4-8002-4254cb405ed2,1676
35955,Elmore,01051,East Central,255,7,0.163505782545826,2.27519521591255,85d046e1-4f0d-412f-a711-a4dbbfdb30b2,2637
35956,Escambia,01053,Southwestern,40,3,0.233446648119298,2.50306921694382,cae02e9e-5865-4c43-9621-b40df98895b3,1022
35957,Etowah,01055,Northeastern,228,10,0.138757597037284,2.10053621990475,d015266f-56f5-4e45-af7d-5518c9748276,3861
35958,Fayette,01057,West Central,11,0,0.158552104918499,1.83779224583562,4f217d95-95e3-409a-b3e6-c54aaf31d880,504
35959,Franklin,01059,Northern,435,6,0.164243463038702,1.78358559509712,63680a0d-af76-4eba-af43-904a8992d8db,1786
35960,Geneva,01061,Southeastern,31,0,0.141768015065281,1.83488097279248,24e16a67-6e07-47f9-a0df-f2f41cfcd159,564
35961,Greene,01063,West Central,90,4,0.164666965815741,3.57766804402764,b09a83a7-31ad-4289-ad66-6f392aa309f7,450
35962,Hale,01065,West Central,124,3,0.163613340422671,2.4799010938001,d3411ef0-0797-4aa5-bd3f-a5242a6d095b,774
35963,Henry,01067,Southeastern,52,1,0.139761467476774,1.63725823418183,750792c7-dca9-4fc5-996b-402524462e78,434
35964,Houston,01069,Southeastern,161,4,0.142463779205855,2.10452810210549,a80afe20-1fd9-4b7c-ad0c-0e2cfcaf505a,2884
35965,Jackson,01071,Northern,69,2,0.287410215888713,2.67694940746419,f5626502-868e-4c8a-9f18-742a30526b9c,2193
35966,Jefferson,01073,Jefferson,1575,88,0.282606031405749,2.91318939557353,07859ea3-72c7-45bc-8d4f-05e6ecce74c5,33352
35967,Lamar,01075,West Central,18,0,0.15263540616661,1.64069081755141,54147db0-2001-4b86-aacc-26240db9f6a7,441
35968,Lauderdale,01077,Northern,126,2,0.184043571131042,2.55716948814366,3dfe9be1-8fc0-441a-8c07-57fe8f594dd3,3502
35969,Lawrence,01079,Northern,41,0,0.182392737623559,1.92975383451283,9b115d71-2a60-4571-b9b4-b8f3068c750f,599
35970,Lee,01081,East Central,488,32,0.153274187500529,2.0496448391292,46379cd6-1b18-4350-8b06-6e681973459a,5538
35971,Limestone,01083,Northern,72,0,0.155003206122046,1.71814668265853,110dc44f-2205-45de-9d68-3cd736087875,2009
35972,Lowndes,01085,East Central,182,10,0.179493868658938,2.34426217715912,3d314572-6e18-424c-b889-64bc263b0509,507
35973,Macon,01087,East Central,59,2,0.152225727451423,2.0876916570357,4bbb0735-cc30-4f75-90ac-a859b551e522,618
35974,Madison,01089,Northern,292,4,0.207245811581288,2.4192510631746,67045f93-59c8-453f-b435-44221cd62ce1,13797
35975,Marengo,01091,Southwestern,132,6,0.243586589216875,2.64368581241414,02b808d7-cd4a-4b96-8d08-facdd18aac54,1384
35976,Marion,01093,Northern,109,10,0.188224455607951,1.90243452461428,1381850a-cb5b-421c-abf3-58f8353b5877,1317
35977,Marshall,01095,Northern,645,9,0.158193819913322,2.22984018931076,685213d7-1e51-4784-bb65-ac8a9b1d7964,4951
35978,Mobile,01097,Mobile,1982,109,0.307697348295278,4.83629332281426,fdcf2758-4dd6-4424-8965-25d599486616,18964
35979,Monroe,01099,Southwestern,26,2,0.254517578378227,2.83753802882174,14469bdf-501c-48eb-bcfc-77615b695381,490
35980,Montgomery,01101,East Central,1147,30,0.198182172648103,2.60770290702687,e002e6c9-bdb3-4c15-94fc-76a8780e59ae,7621
35981,Morgan,01103,Northern,157,1,0.152203319983528,1.80617511452274,7b6e6f90-29c0-4507-bc71-c90eccd080de,3284
35982,Perry,01105,West Central,30,0,0.18021159047953,2.14838023913143,b39499c0-e584-4534-a091-a260ee8fd29b,528
35983,Pickens,01107,West Central,88,4,0.22311596802615,2.22345505777214,2344811a-99d8-47a9-b7fa-4dbf67253eb9,852
35984,Pike,01109,Southeastern,130,0,0.166038209106773,2.23104055343355,82072b1b-d8b0-49c9-b080-8eabafc298cf,1230
35985,Randolph,01111,Northeastern,124,7,0.14646191250813,1.58584516900329,875f5b35-8921-443e-bdc0-df66a0a8da20,876
35986,Russell,01113,East Central,125,0,0.160426072907967,2.13411394127528,34f25dc6-25f7-4ce3-a7d0-c2ad146b198a,1230
35987,St. Clair,01115,Northeastern,100,1,0.164611790120262,2.46182521198285,66fec8c0-3e44-42f1-8659-f854a5bfab02,2785
35988,Shelby,01117,Northeastern,427,19,0.202879219246825,2.52559193618872,78116a45-73bb-4f93-a5f2-3f8edab715be,8075
