ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,15,1936,13,143,15,545,185,111,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,26,17668,6,1521,63,2917,1382,884,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,34,4252,5,266,26,1201,573,207,3,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,28,5953,4,303,26,1020,301,218,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,12,558,2,48,7,179,129,38,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,7,1924,1,62,7,200,147,30,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,52,17065,2,1588,46,1977,830,527,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,14,2044,2,134,14,418,184,99,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,16,17910,4,1138,15,695,383,177,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,1,938,2,57,4,207,160,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,61,6351,4,447,23,1026,469,287,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,21,7720,8,551,52,1527,634,405,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,38,8316,8,686,49,1659,711,398,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,14,15610,8,888,25,1046,596,314,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,12,535,1,27,4,95,44,16,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,5,4425,5,397,32,942,545,277,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,4,1077,4,145,5,242,116,102,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,5,15186,4,1022,29,1262,569,443,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,1,1119,3,126,7,400,105,105,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,17,6192,3,590,42,1249,566,438,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,48,15215,7,942,42,1588,690,472,7,1.62072838209013,0.0871537443231625
