ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,935,31,31,110,123,130,139,135,112,84,40,0,0 to 118,48,525,401,9,935,0,0,29,717,2,241,4,230,705,0,0,935,204,26,0,0,101,128,1,230,10,12,34,37,36,36,30,17,15,3,0,0 to 94,40,152,17,19,42,36,145,49,14,0,4,0,0,0,230,128,101,230,0,0,2756,0,2990,2756,230,0,362,345,40,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4157,91,182,461,628,536,626,669,464,317,171,12,0 to 118,48,2502,1593,62,4149,8,0,184,3621,133,765,22,984,3169,1,3,4145,569,415,0,0,488,469,27,984,21,88,180,174,148,126,118,63,43,22,1,0 to 100,36,466,275,105,138,178,644,162,185,0,106,0,0,8,984,469,488,984,0,0,8977,8,9974,8985,984,8,259,190,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1116,34,37,122,171,156,152,183,154,77,26,4,0 to 118,47,637,454,25,1108,8,0,35,794,3,368,28,214,902,0,0,1108,178,34,2,0,116,96,0,212,0,9,43,49,37,29,25,10,10,2,0,5 to 91,36,101,74,23,14,27,164,21,40,0,11,0,0,2,214,96,118,212,2,0,2062,6,2283,2068,214,2,511,411,35,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8659,237,208,878,1374,1249,1133,1241,922,774,600,43,0 to 119,48,5120,3445,94,8505,153,1,312,7199,137,968,102,1973,6662,0,24,8482,1815,136,17,5,1047,863,41,1951,25,63,368,423,308,257,228,143,90,65,3,0 to 103,38,951,175,150,675,287,887,777,163,3,97,1,0,15,1973,873,1059,1950,22,1,19774,131,21904,19905,1973,15,1904,1473,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,749,14,17,70,75,112,106,129,105,80,41,0,0 to 99,53,444,291,14,749,0,0,22,478,4,193,9,229,519,0,1,748,213,16,0,0,140,89,0,229,1,6,29,25,22,30,34,29,29,24,0,1 to 99,55,175,17,17,20,12,190,27,30,0,20,0,0,7,229,89,140,229,0,0,1622,0,1857,1622,229,7,400,338,55,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,86940,1434,2292,7790,11699,11198,12392,14024,11867,8181,4438,1625,0 to 119,51,47138,39477,325,86053,885,2,4929,72626,465,16022,499,26426,60137,175,202,85681,25955,225,240,6,13282,12809,89,26180,447,985,3887,5002,4365,3954,3325,1991,1371,1072,27,0 to 105,41,9576,4061,3674,8869,7338,9355,9487,3133,42,2271,27,14,685,26426,12938,13395,26178,246,2,188363,635,215864,188998,26426,685,7392,7127,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13632,261,350,1111,1806,1826,2132,2249,1937,1242,680,38,0 to 119,51,7896,5464,272,13483,149,0,824,10711,188,2799,98,3706,9704,6,216,13261,3583,106,17,0,2018,1628,43,3689,63,153,498,674,612,610,467,321,181,121,6,0 to 104,42,1157,670,394,1468,702,1281,1706,344,2,263,2,1,81,3706,1638,2025,3689,17,0,29242,129,33121,29371,3706,81,2413,2398,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18515,360,491,1788,2501,2612,2942,3039,2561,1524,668,29,0 to 119,49,10479,7944,92,18424,91,0,956,14888,223,3421,178,5052,13410,2,51,18371,4907,117,25,1,2540,2443,41,5024,79,152,803,939,815,802,630,452,240,137,1,0 to 105,41,2833,321,529,1341,851,2521,1652,573,9,359,4,1,56,5050,2456,2553,5024,26,0,48491,65,53646,48556,5050,56,3556,3004,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3473,71,145,306,579,595,593,517,412,163,89,3,0 to 119,45,2318,1137,18,3453,19,1,88,2950,46,592,24,854,2617,1,1,3452,819,29,6,0,515,325,8,848,19,54,111,158,170,141,91,56,35,18,1,0 to 98,39,247,311,59,231,132,437,279,134,0,81,0,0,10,854,325,521,847,6,1,7457,13,8348,7470,854,10,625,430,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15584,231,414,2569,2627,2210,2239,2352,1828,713,358,43,0 to 119,43,8128,7312,144,15318,265,1,468,13889,201,1424,120,3140,12428,2,14,15303,3038,39,60,3,1635,1416,26,3077,26,118,1209,613,366,314,286,131,47,19,11,0 to 105,27,869,886,180,1142,201,1333,1543,194,13,77,11,7,11,3140,1448,1666,3076,63,1,41595,198,45014,41793,3140,11,1369,953,27,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,672,20,17,40,64,89,96,129,128,68,20,1,0 to 101,55,392,276,4,665,7,0,18,510,41,153,11,113,558,0,1,664,72,37,4,0,58,51,0,109,3,3,15,18,14,17,15,14,7,7,0,0 to 95,48,52,43,11,3,10,94,5,25,2,17,0,0,5,113,54,59,109,4,0,1657,2,1773,1659,113,5,158,120,48,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1488,75,77,162,183,194,208,210,200,116,57,6,0 to 99,47,936,547,5,1462,26,0,57,971,53,599,37,451,1035,0,2,1460,277,167,7,0,269,175,0,444,27,32,62,64,68,74,62,31,12,19,0,0 to 98,40,106,302,24,12,26,380,38,83,0,22,0,1,4,451,177,274,444,7,0,3676,19,4171,3695,451,4,621,521,41,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2335,6,13,190,708,573,420,280,99,31,7,8,0 to 105,38,233,2094,8,2335,0,0,5,2013,1,156,5,311,2024,0,0,2335,307,4,0,0,39,271,1,311,2,4,41,76,61,70,46,8,2,1,0,0 to 85,39,181,108,8,14,14,203,94,10,0,5,0,0,2,311,271,39,311,0,0,2491,0,2803,2491,311,2,205,180,40,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,2197,32,51,205,573,438,343,255,180,74,43,3,0 to 118,40,570,1607,20,2191,6,0,59,1912,9,499,11,516,1680,0,1,2190,481,32,2,1,183,330,0,513,21,34,75,124,89,79,59,25,8,2,0,0 to 86,35,204,262,35,12,82,274,157,70,1,18,0,0,2,516,332,184,513,3,0,3049,3,3570,3052,516,2,48,46,35,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,5118,65,72,546,789,760,851,868,579,334,199,55,0 to 119,48,2830,2233,55,5044,74,0,357,4233,28,1164,103,2105,3010,0,3,5041,1932,118,53,2,1106,938,6,2050,30,40,366,441,366,355,273,154,60,20,0,0 to 96,39,1121,231,111,587,187,1212,651,176,9,63,4,3,9,2105,969,1130,2050,55,0,16521,23,18675,16544,2105,9,175,167,39,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,4522,108,130,350,622,651,657,824,640,318,213,9,0 to 119,51,2198,2246,78,4503,19,0,395,3165,63,1281,20,1372,3147,0,3,4500,1277,89,6,0,381,985,0,1366,30,40,139,264,266,246,197,118,48,24,0,0 to 99,43,474,261,80,551,76,635,655,16,0,75,0,0,5,1372,990,382,1366,6,0,8126,13,9548,8139,1372,5,42,40,43,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,1124,36,24,137,175,164,178,180,117,78,33,2,0 to 99,46,633,463,28,1064,60,0,88,861,16,271,7,238,877,0,9,1055,165,72,1,0,116,119,2,237,3,8,37,40,41,35,36,17,17,4,0,1 to 97,42,165,42,17,13,7,210,20,33,0,24,0,0,4,238,120,116,237,1,0,3356,58,3652,3414,238,4,291,290,42,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,1097,23,24,98,163,160,183,182,164,72,27,1,0 to 119,49,528,555,14,1079,18,0,22,792,5,282,21,313,783,1,0,1078,264,40,6,3,77,227,0,304,4,2,42,76,68,58,32,17,9,5,0,1 to 93,39,178,78,20,28,18,230,56,16,0,9,0,0,1,313,230,83,304,9,0,3150,9,3478,3159,313,1,291,285,38,1.73644592497981,0.117992933758262
