County,Cases,Deaths,Recovered,ReportDate
TULSA,6316,85,5021,2020-07-20
OKLAHOMA,6301,77,4764,2020-07-20
CLEVELAND,1693,40,1329,2020-07-20
TEXAS,1007,7,993,2020-07-20
MCCURTAIN,695,13,551,2020-07-20
CANADIAN,674,4,513,2020-07-20
COMANCHE,594,9,485,2020-07-20
PAYNE,528,2,468,2020-07-20
WASHINGTON,496,39,426,2020-07-20
WAGONER,464,19,351,2020-07-20
ROGERS,439,10,314,2020-07-20
GRADY,304,5,226,2020-07-20
DELAWARE,293,19,217,2020-07-20
MCCLAIN,289,4,241,2020-07-20
CREEK,272,9,205,2020-07-20
MUSKOGEE,247,14,163,2020-07-20
OSAGE,246,9,200,2020-07-20
BRYAN,240,1,165,2020-07-20
CADDO,226,11,189,2020-07-20
OKMULGEE,219,0,137,2020-07-20
OTTAWA,219,2,152,2020-07-20
CARTER,216,3,179,2020-07-20
JACKSON,215,3,74,2020-07-20
POTTAWATOMIE,211,5,142,2020-07-20
MAYES,177,5,107,2020-07-20
GARFIELD,176,2,115,2020-07-20
ADAIR,172,4,135,2020-07-20
CHEROKEE,150,1,121,2020-07-20
KAY,147,9,114,2020-07-20
GARVIN,146,3,120,2020-07-20
CHOCTAW,143,1,122,2020-07-20
STEPHENS,126,1,82,2020-07-20
LOGAN,120,1,88,2020-07-20
CUSTER,112,0,78,2020-07-20
PONTOTOC,103,2,70,2020-07-20
MCINTOSH,100,1,84,2020-07-20
LE FLORE,89,1,54,2020-07-20
PITTSBURG,87,3,69,2020-07-20
SEQUOYAH,86,3,66,2020-07-20
PAWNEE,85,3,66,2020-07-20
SEMINOLE,84,4,50,2020-07-20
GREER,71,7,58,2020-07-20
KINGFISHER,63,0,45,2020-07-20
NOBLE,59,1,47,2020-07-20
LINCOLN,58,2,40,2020-07-20
LOVE,55,0,48,2020-07-20
MARSHALL,51,0,43,2020-07-20
ATOKA,47,0,36,2020-07-20
NOWATA,41,1,37,2020-07-20
PUSHMATAHA,39,0,21,2020-07-20
CRAIG,37,0,26,2020-07-20
BEAVER,32,0,32,2020-07-20
TILLMAN,32,1,25,2020-07-20
MURRAY,29,0,27,2020-07-20
BECKHAM,27,0,19,2020-07-20
LATIMER,25,1,15,2020-07-20
OKFUSKEE,23,0,17,2020-07-20
JOHNSTON,23,0,15,2020-07-20
BLAINE,22,0,17,2020-07-20
HUGHES,22,1,14,2020-07-20
HASKELL,21,0,17,2020-07-20
JEFFERSON,20,0,17,2020-07-20
KIOWA,18,1,15,2020-07-20
WOODWARD,18,0,14,2020-07-20
COAL,18,0,11,2020-07-20
MAJOR,16,1,14,2020-07-20
WASHITA,12,0,6,2020-07-20
COTTON,12,2,8,2020-07-20
WOODS,12,0,8,2020-07-20
DEWEY,6,0,4,2020-07-20
GRANT,5,0,2,2020-07-20
HARMON,4,0,2,2020-07-20
ROGER MILLS,3,0,0,2020-07-20
HARPER,2,0,1,2020-07-20
ELLIS,1,0,1,2020-07-20
CIMARRON,1,0,1,2020-07-20
ALFALFA,1,0,1,2020-07-20
