OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,Gilchrist,FL,188,5,3,20,29,30,27,33,23,15,3,0,0 to 89,46,115,72,1,188,0,0,3,183,2,11,176,1,4,183,0,1,187,4,0,0,0,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,183,0,188,183,4,0,12,8,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,Putnam,FL,1118,28,41,118,171,157,173,183,119,94,29,5,0 to 118,46,669,407,42,1115,3,0,57,928,133,147,955,16,68,1047,0,3,1112,33,35,0,0,38,30,0,68,0,9,9,8,12,12,6,9,3,0,0,6 to 82,40,35,32,1,0,1,65,2,18,0,12,0,0,1,68,30,38,68,0,0,1044,3,1118,1047,68,1,75,29,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,Taylor,FL,181,19,7,7,22,30,22,31,24,14,4,1,0 to 118,47,91,72,18,181,0,0,11,167,3,38,140,3,2,178,0,1,180,2,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 60,44,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,178,0,181,178,2,0,12,2,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,Okaloosa,FL,1782,67,47,128,255,283,262,306,217,134,80,3,0 to 118,48,1122,618,42,1718,63,1,88,1557,137,144,1583,55,134,1636,1,11,1707,80,49,3,2,72,57,0,129,1,2,4,19,18,12,26,24,18,10,0,3 to 96,59,87,18,16,8,12,104,13,42,1,23,0,0,3,134,61,73,128,5,1,1578,58,1782,1636,134,3,353,167,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,Calhoun,FL,97,1,2,9,16,20,12,13,10,12,1,1,0 to 88,44,54,41,2,97,0,0,3,90,4,5,89,3,6,91,0,0,97,4,2,0,0,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,91,0,97,91,6,0,27,3,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,Palm Beach,FL,19927,240,284,1238,2436,2707,3185,3655,2621,1442,845,1274,0 to 115,52,11098,8682,147,19711,214,2,203,19259,465,728,19060,139,2413,17184,278,52,19388,2235,123,49,6,1169,1188,1,2358,11,14,157,262,332,367,412,353,304,173,28,0 to 104,56,883,309,170,996,282,972,1104,507,24,379,15,3,135,2413,1219,1193,2356,55,2,17030,154,19927,17184,2413,135,684,427,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,St. Lucie,FL,2527,45,54,167,319,396,445,427,357,224,88,5,0 to 99,51,1468,983,76,2518,9,0,167,2172,188,305,2165,57,213,2258,2,54,2462,191,16,6,0,123,84,0,207,1,2,15,18,31,26,37,38,25,20,0,3 to 97,59,133,45,14,15,30,157,20,83,0,62,0,0,16,213,86,127,207,6,0,2255,3,2527,2258,213,16,72,57,1499679486.67142,252832.323289834
8,8,51,101,PASCO,Pasco,FL,4472,75,96,306,578,686,795,815,652,349,114,6,0 to 102,51,2710,1748,14,4443,29,0,114,4135,223,281,4106,85,220,4224,6,22,4415,183,30,6,1,108,105,0,213,2,3,18,25,47,42,34,35,8,6,0,1 to 94,48,143,20,35,15,49,142,22,72,3,46,2,0,3,220,109,111,213,7,0,4202,22,4472,4224,220,3,403,162,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,Gadsden,FL,367,8,8,34,61,74,72,50,41,13,5,1,0 to 96,44,231,133,3,365,1,1,7,314,46,48,312,7,59,308,0,0,366,51,7,1,0,37,21,0,58,0,0,4,11,13,15,10,4,2,0,0,20 to 81,45,8,32,0,18,1,31,26,2,0,5,0,0,0,59,21,38,57,1,1,308,0,367,308,59,0,90,40,1367889846.39806,205127.330650714
10,10,37,073,LEON,Leon,FL,2582,63,55,333,478,441,439,405,248,88,31,1,0 to 95,43,1473,1050,59,2557,24,1,56,2325,201,182,2346,54,187,2384,2,9,2547,173,7,6,1,102,78,0,180,1,2,24,40,32,35,32,16,3,2,0,2 to 86,43,79,74,6,21,12,145,23,50,5,25,3,0,2,187,82,105,179,7,1,2367,17,2582,2384,187,2,349,210,1817477697.41779,246081.909627491
