OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,REPORTED_DEATH,GlobalID,LabTestCount
25118,Autauga,01001,East Central,32,1,0.150198352049983,2.1379328255407,2,d9ae3f0b-8c15-44b4-b208-c215cb4204a2,400
25119,Baldwin,01003,Southwestern,132,3,0.400159431601878,6.69300034847276,3,ff8ebd55-c62b-4d1e-add7-01c52d8f3368,1752
25120,Barbour,01005,Southeastern,29,0,0.223267704174077,2.69097505269632,0,2ae43d9c-e2d5-4613-9da0-878f83068be9,176
25121,Bibb,01007,West Central,34,0,0.156476914356972,1.8951692775798,0,82b33500-5b73-4d37-850f-780d38be6c6c,343
25122,Blount,01009,Northeastern,29,0,0.164406638341006,2.45274784751908,0,49802545-7049-4252-95f3-04f83b4667ac,287
25123,Bullock,01011,East Central,11,0,0.154671563531792,2.06480197165101,0,d7e7b747-46ce-4fdb-a675-6ba6fb40cc4a,70
25124,Butler,01013,Southeastern,15,0,0.191776547733298,1.83587954870993,0,ff0b2980-03a6-4a2d-a7cc-1d09a7c6ecad,140
25125,Calhoun,01015,Northeastern,85,3,0.154366224232035,2.21070839394633,3,2586092e-8900-44f5-8f36-abe54c0baa5a,820
25126,Chambers,01017,East Central,268,16,0.150563980768084,1.72306516183319,16,ad348482-2483-4fe1-9d65-a0fd07487f2a,796
25127,Cherokee,01019,Northeastern,13,0,0.151975822791428,1.89808177880757,0,da490aec-80f3-4946-9c9d-6bc083a3f61a,108
25128,Chilton,01021,West Central,46,0,0.174837510280213,2.09165532433194,1,cf743fb7-21bd-439f-9a3b-014fc0804f39,337
25129,Choctaw,01023,Southwestern,21,0,0.227681129400253,2.68700551554037,0,64b0aa4a-7bda-4211-97fc-aa598bbd0f3b,91
25130,Clarke,01025,Southwestern,25,1,0.308508819690587,3.78655552072513,1,086519cd-d527-43ce-9d70-ed95f1e1cebb,252
25131,Clay,01027,Northeastern,19,0,0.151874743437702,2.02332180215824,0,6b05000e-eed8-4418-a68e-ab9cde612214,128
25132,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,1,f8272f5c-60b1-4930-b8c4-d1a48bc374c8,52
25133,Coffee,01031,Southeastern,73,0,0.167143203828118,1.67989540600381,1,4ca69ec1-fac3-4019-88be-11b2a710d29b,424
25134,Colbert,01033,Northern,20,1,0.15857369348987,2.31239229125845,1,9e3f6a3b-21bb-46b9-9e6e-e25bca069e34,565
25135,Conecuh,01035,Southwestern,9,0,0.209509978242295,2.59686142559656,0,de6441da-fd06-49b2-9905-24764f7f0fdd,77
25136,Coosa,01037,East Central,24,1,0.16640708911109,1.7505584986585,1,9d3b7490-6cad-4ca9-8246-fdb0c96cf17f,72
25137,Covington,01039,Southeastern,27,0,0.255971892285061,2.38709591035509,0,41fe3fce-5d43-4e95-898d-7a6f5d8b1d71,248
25138,Crenshaw,01041,Southeastern,6,0,0.150571897113878,2.31806123117494,0,e75b756c-656a-46de-b3be-6f5464d270a6,186
25139,Cullman,01043,Northern,44,0,0.191087821164047,2.50218505547441,0,e454b5dc-861b-4d6a-b4b7-01fd16ad7a4e,551
25140,Dale,01045,Southeastern,22,0,0.138259666605563,1.65151999951547,0,0122839c-03e5-41a4-a7ed-649336cd49b9,199
25141,Dallas,01047,Southwestern,30,2,0.246497505086154,3.13752996820932,2,a7f851b7-b786-47bb-972c-680fb63a6781,309
25142,DeKalb,01049,Northeastern,57,2,0.197848401841384,2.21695752803772,2,015423fb-0b3a-4010-a919-48a262edd557,650
25143,Elmore,01051,East Central,74,1,0.163505782545826,2.27519521591255,1,981a9c7d-5831-4a75-9556-9b38441414b5,815
25144,Escambia,01053,Southwestern,18,1,0.233446648119298,2.50306921694382,1,2c14599c-4c5a-46d8-8656-82531e354188,246
25145,Etowah,01055,Northeastern,116,8,0.138757597037284,2.10053621990475,8,905e1aa5-24a5-492b-afaf-2ee0a79b0a6a,785
25146,Fayette,01057,West Central,4,0,0.158552104918499,1.83779224583562,0,c913ebf6-ccd2-44b4-8110-90bf37368b34,180
25147,Franklin,01059,Northern,21,0,0.164243463038702,1.78358559509712,0,9650887b-4117-49af-ae28-439659030104,305
25148,Geneva,01061,Southeastern,5,0,0.141768015065281,1.83488097279248,0,3f965f92-1922-44d3-9601-4abef7cb3ed5,114
25149,Greene,01063,West Central,40,0,0.164666965815741,3.57766804402764,0,be83f1f1-89cb-494b-85ed-f275065243a7,89
25150,Hale,01065,West Central,36,1,0.163613340422671,2.4799010938001,1,9d84f33f-5514-4d1f-9bc2-0d92f17d424c,167
25151,Henry,01067,Southeastern,20,0,0.139761467476774,1.63725823418183,0,9b6c576a-61e7-44be-89b7-2cf76bcb9587,118
25152,Houston,01069,Southeastern,75,3,0.142463779205855,2.10452810210549,3,a344e78c-396b-43f9-ad62-d14a88a83bed,558
25153,Jackson,01071,Northern,42,2,0.287410215888713,2.67694940746419,2,fafaabe2-9116-43a2-827b-ff56528aed27,577
25154,Jefferson,01073,Jefferson,723,30,0.282606031405749,2.91318939557353,31,b8c10931-128e-40a0-a179-85ee0ae47cda,9094
25155,Lamar,01075,West Central,8,0,0.15263540616661,1.64069081755141,0,b569cd80-63ec-496f-bd46-1e41260088e5,167
25156,Lauderdale,01077,Northern,25,3,0.184043571131042,2.55716948814366,3,549cc25d-4ad9-458f-8787-ca92e2c96bdc,1100
25157,Lawrence,01079,Northern,10,0,0.182392737623559,1.92975383451283,0,094e05ec-d552-4169-a9b4-f0d841cca9e7,229
25158,Lee,01081,East Central,328,16,0.153274187500529,2.0496448391292,19,5308d5bc-d88d-4bb4-8821-2a5e2113df1e,2102
25159,Limestone,01083,Northern,39,0,0.155003206122046,1.71814668265853,0,2060a501-5886-4657-8e39-b452813998c1,698
25160,Lowndes,01085,East Central,32,0,0.179493868658938,2.34426217715912,1,64276d51-5a24-4159-97b3-a9b8e395d5e2,102
25161,Macon,01087,East Central,28,2,0.152225727451423,2.0876916570357,2,d2b5d448-4500-413a-af92-8ecd64cce6fb,200
25162,Madison,01089,Northern,205,4,0.207245811581288,2.4192510631746,4,5de5e14b-e26e-47b8-ab02-9f50452711f9,2611
25163,Marengo,01091,Southwestern,40,2,0.243586589216875,2.64368581241414,3,7bb798f6-b986-4608-a657-5ce0aed24817,303
25164,Marion,01093,Northern,65,5,0.188224455607951,1.90243452461428,5,8546c8f7-272c-4e18-b736-4ce038e763d8,531
25165,Marshall,01095,Northern,238,4,0.158193819913322,2.22984018931076,4,32c3cf0f-35b2-478f-95a8-94ad16863b33,923
25166,Mobile,01097,Mobile,755,33,0.307697348295278,4.83629332281426,39,0304c2d9-bf94-4ebd-a638-5f3d823ee15e,3906
25167,Monroe,01099,Southwestern,9,1,0.254517578378227,2.83753802882174,1,a76f017b-7821-479a-b5ae-6650da028e09,124
25168,Montgomery,01101,East Central,253,3,0.198182172648103,2.60770290702687,3,9ad3a489-2b90-4d6c-be90-fb4a1ea965dd,1777
25169,Morgan,01103,Northern,52,0,0.152203319983528,1.80617511452274,0,f03bb5bd-c92b-46a3-ac18-6964523e652a,761
25170,Perry,01105,West Central,9,0,0.18021159047953,2.14838023913143,0,dcf785de-64ff-4cb2-b973-5086db4fafd2,135
25171,Pickens,01107,West Central,44,1,0.22311596802615,2.22345505777214,1,944a99fc-b205-4ff1-824c-57a17b50dc56,261
25172,Pike,01109,Southeastern,52,0,0.166038209106773,2.23104055343355,0,274fc96a-ae65-4651-a462-0d57071a37ad,402
25173,Randolph,01111,Northeastern,59,3,0.14646191250813,1.58584516900329,3,5ee16726-aac6-4882-9feb-ac1e4283b6b4,195
25174,Russell,01113,East Central,52,0,0.160426072907967,2.13411394127528,0,fa8f2d00-33d4-4f1a-8d4c-07e31afca427,328
25175,St. Clair,01115,Northeastern,62,0,0.164611790120262,2.46182521198285,0,48be108e-44de-488d-b90b-10b5b8f0bb02,604
25176,Shelby,01117,Northeastern,277,6,0.202879219246825,2.52559193618872,6,0bc3653b-d3d3-4954-86d8-f6b058e43c87,2268
25177,Sumter,01119,West Central,46,0,0.227210820567734,3.07842876540608,0,0aa98a11-b6cd-446a-9577-f5660911a5de,147
