ï»¿OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
42594,Autauga,01001,East Central,364,6,0.150198352049983,2.1379328255407,ca389270-4f26-4180-bb8d-3ff8df4d96e4,3200
42595,Baldwin,01003,Southwestern,368,9,0.400159431601878,6.69300034847276,e09349f2-31ee-45cd-b95f-7c0176a07d2c,10652
42596,Barbour,01005,Southeastern,237,1,0.223267704174077,2.69097505269632,44967318-fd16-429c-b6eb-1fa344d31297,1171
42597,Bibb,01007,West Central,108,1,0.156476914356972,1.8951692775798,92abb10c-cfdb-4062-9505-fdc6996d9b45,1720
42598,Blount,01009,Northeastern,114,1,0.164406638341006,2.45274784751908,97c4c54e-079c-4aa4-9817-c4f1c731a987,2263
42599,Bullock,01011,East Central,305,8,0.154671563531792,2.06480197165101,ca76f80c-11e1-4e61-b66f-9f5609a8ba01,898
42600,Butler,01013,Southeastern,541,25,0.191776547733298,1.83587954870993,de862f8f-cdf4-49f7-ab3c-a1a48a320479,2156
42601,Calhoun,01015,Northeastern,196,3,0.154366224232035,2.21070839394633,a25430ff-1b55-4a91-b1e4-e77a48a1e78d,5290
42602,Chambers,01017,East Central,461,26,0.150563980768084,1.72306516183319,107e3582-24c6-48f7-a92d-bcc20bf5a3cf,2269
42603,Cherokee,01019,Northeastern,51,5,0.151975822791428,1.89808177880757,146bd167-acb0-40ce-9dfd-87ec1d44d27a,1097
42604,Chilton,01021,West Central,135,2,0.174837510280213,2.09165532433194,a8bb534a-9e38-4b65-bf47-fe761b738f1d,1916
42605,Choctaw,01023,Southwestern,175,11,0.227681129400253,2.68700551554037,1fde5752-180e-4c77-9aec-79d7a6bd49c3,599
42606,Clarke,01025,Southwestern,191,3,0.308508819690587,3.78655552072513,66104138-a7c8-4e48-af65-1ff4fdd344b5,1723
42607,Clay,01027,Northeastern,30,2,0.151874743437702,2.02332180215824,c180214e-114c-484f-93de-67b50de1f0c9,590
42608,Cleburne,01029,Northeastern,22,1,0.141259985723536,2.17578212063938,2ec85d4b-c036-4991-a4fa-af8277bcc6bf,430
42609,Coffee,01031,Southeastern,290,1,0.167143203828118,1.67989540600381,6badb81f-d537-4a2f-910a-0e5e424d5b7c,2420
42610,Colbert,01033,Northern,265,5,0.15857369348987,2.31239229125845,ced0b060-70b1-411f-bc2d-40e366b565bf,3522
42611,Conecuh,01035,Southwestern,100,1,0.209509978242295,2.59686142559656,e29460fd-fdd2-406b-8c82-c2463531f374,642
42612,Coosa,01037,East Central,46,1,0.16640708911109,1.7505584986585,f2e0f2f5-568c-462e-8461-c2c4d0a0c927,378
42613,Covington,01039,Southeastern,171,1,0.255971892285061,2.38709591035509,62138fa5-0f29-49d9-a531-b1c73ff7ba4b,1714
42614,Crenshaw,01041,Southeastern,112,3,0.150571897113878,2.31806123117494,67e75f87-75f2-4a3d-925f-1119f3377efa,984
42615,Cullman,01043,Northern,273,1,0.191087821164047,2.50218505547441,e61918e5-9109-4b76-b1e6-5eab6d957348,4626
42616,Dale,01045,Southeastern,178,0,0.138259666605563,1.65151999951547,57744134-11c5-4c5f-86b6-525cdbbe620a,1734
42617,Dallas,01047,Southwestern,503,6,0.246497505086154,3.13752996820932,1651c155-add4-4085-a182-946b9cf4c2be,3226
42618,DeKalb,01049,Northeastern,322,5,0.197848401841384,2.21695752803772,e96a42a3-2dc7-477d-bf42-b7c4488d360b,3084
42619,Elmore,01051,East Central,547,9,0.163505782545826,2.27519521591255,1dba83f5-7d8c-4fa4-afad-77d6b6f1898f,4842
42620,Escambia,01053,Southwestern,107,3,0.233446648119298,2.50306921694382,10851b95-7185-49b4-8ec3-6df5be5b9ef8,1630
42621,Etowah,01055,Northeastern,330,12,0.138757597037284,2.10053621990475,21b7d213-6b4d-49d3-8f6e-f50bb097dbc5,6527
42622,Fayette,01057,West Central,45,0,0.158552104918499,1.83779224583562,39992c72-12b1-4b9d-8a71-73c0d1f2ae02,864
42623,Franklin,01059,Northern,730,10,0.164243463038702,1.78358559509712,3d573b15-4024-4493-85d4-660083d32409,3055
42624,Geneva,01061,Southeastern,46,0,0.141768015065281,1.83488097279248,63abf39c-865b-4f7f-b5ce-f84101605a86,846
42625,Greene,01063,West Central,132,5,0.164666965815741,3.57766804402764,fb7bc842-95f2-4e3d-a57d-f9ff1a872c58,674
42626,Hale,01065,West Central,235,15,0.163613340422671,2.4799010938001,23179d3e-61c0-4498-b322-7abe639dda1e,1722
42627,Henry,01067,Southeastern,108,2,0.139761467476774,1.63725823418183,2e675446-99d8-416b-87ec-c5802ce2179c,804
42628,Houston,01069,Southeastern,315,5,0.142463779205855,2.10452810210549,127639e6-5196-43b7-b542-5fc9340144ae,4886
42629,Jackson,01071,Northern,122,3,0.287410215888713,2.67694940746419,f5dff3c3-9cca-4ea8-9b2e-d1aaaff514bd,2914
42630,Jefferson,01073,Jefferson,2537,117,0.282606031405749,2.91318939557353,e922af77-7bcf-416c-9714-045175c1d346,51383
42631,Lamar,01075,West Central,45,0,0.15263540616661,1.64069081755141,82ebf542-f1c8-40f6-a3b7-b69e39860922,701
42632,Lauderdale,01077,Northern,249,3,0.184043571131042,2.55716948814366,89b4c61d-7986-4fec-a18d-f61cfdde275e,5178
42633,Lawrence,01079,Northern,65,0,0.182392737623559,1.92975383451283,788aab50-fdd5-4940-b3b3-3f661772e303,994
42634,Lee,01081,East Central,710,35,0.153274187500529,2.0496448391292,ebfdc7a5-4eba-4521-8d2b-4b684180458f,8550
