ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,27,1075,1,49,12,442,35,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,204,16185,9,1210,63,3763,714,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,166,3043,3,149,23,1060,113,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,195,3973,3,163,25,843,125,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,7,344,1,24,7,149,18,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,73,881,1,17,5,112,3,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,274,14521,16,1282,46,1920,430,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,52,1384,1,51,11,247,35,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,375,15769,13,845,15,858,169,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,40,661,2,37,4,291,23,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,219,4504,4,255,21,901,148,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,88,6290,10,382,49,1468,230,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,140,6871,14,440,44,1505,201,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,309,13364,10,632,25,1069,187,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,8,270,1,13,3,32,7,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,89,3703,6,295,31,1094,180,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,19,969,0,115,5,327,83,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,247,13225,8,738,29,1333,296,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,15,957,2,86,7,484,65,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,111,5517,9,449,41,1357,312,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,392,12597,23,639,42,1586,359,1.62072838209013,0.0871537443231625
