ï»¿OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,LastUpdate,Shape__Area,Shape__Length,Deaths
224,224,Throckmorton,48447,447,194488.069951,,1588523396286,2363611627.22949,194488.069951407,
225,225,Titus,48449,449,205166.305887,20,1588523396286,1098985395.66699,205166.305886587,
226,226,Tom Green,48451,451,352368.927856,54,1588523396286,3973064305.37305,352368.927856305,1
227,227,Travis,48453,453,253764.713344,1714,1588523396286,2639028209.07422,253764.713343593,51
228,228,Trinity,48455,455,229117.079346,8,1588523396286,1841323692.96777,229117.079346211,
229,229,Tyler,48457,457,272189.390198,6,1588523396286,2413136637.15234,272189.390197612,
230,230,Upshur,48459,459,184848.560419,15,1588523396286,1529288336.9248,184848.560418694,
231,231,Upton,48461,461,227158.304033,,1588523396286,3201820887.6499,227158.304033345,
232,232,Uvalde,48463,463,254347.720354,6,1588523396286,4024142072.2207,254347.7203542,
233,233,Val Verde,48465,465,459537.15076,13,1588523396286,8341902767.53662,459537.150759916,
234,234,Van Zandt,48467,467,245959.774146,16,1588523396286,2218031986.54492,245959.774145654,1
235,235,Victoria,48469,469,286809.831767,139,1588523396286,2296523987.8252,286809.831766525,5
236,236,Walker,48471,471,223034.379166,298,1588523396286,2067237033.42383,223034.379166156,2
237,237,Waller,48473,473,255108.326614,33,1588523396286,1336087055.16797,255108.326614353,
238,238,Ward,48475,475,297556.825613,,1588523396286,2155649807.53564,297556.825612992,
239,239,Washington,48477,477,264449.690263,145,1588523396286,1604018941.02539,264449.690262634,18
240,240,Webb,48479,479,492375.207414,385,1588523396286,8737964172.65039,492375.207413847,16
241,241,Wharton,48481,481,255365.93611,37,1588523396286,2825747501.26367,255365.936109605,
242,242,Wheeler,48483,483,194979.291646,9,1588523396286,2373415284.1084,194979.291645823,
243,243,Wichita,48485,485,186931.240736,65,1588523396286,1636470348.90137,186931.240736272,2
244,244,Wilbarger,48487,487,256039.137516,1,1588523396286,2528055460.12695,256039.137516328,
245,245,Willacy,48489,489,229070.703875,13,1588523396286,2036545320.64648,229070.703875205,1
246,246,Williamson,48491,491,251701.215058,313,1588523396286,2926035555.75391,251701.215057596,10
247,247,Wilson,48493,493,198041.012195,33,1588523396286,2087641279.93555,198041.012194764,3
248,248,Winkler,48495,495,196049.973375,3,1588523396286,2169858505.67188,196049.973374818,
249,249,Wise,48497,497,195554.705584,24,1588523396286,2382057130.58105,195554.705583542,2
250,250,Wood,48499,499,228468.101431,10,1588523396286,1795486922.07813,228468.101430885,
251,251,Yoakum,48501,501,181929.789143,1,1588523396286,2064762801.71045,181929.789142625,
252,252,Young,48503,503,196408.347885,4,1588523396286,2403310053.3457,196408.347885176,1
253,253,Zapata,48505,505,238464.539484,7,1588523396286,2743549674.73633,238464.539483662,
254,254,Zavala,48507,507,235294.528994,1,1588523396286,3363003176.97656,235294.528994164,
