ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,269,5,6,26,42,37,43,45,35,23,7,0,0 to 98,48,168,98,3,269,0,0,3,264,2,12,1,6,262,0,1,268,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,262,0,269,262,6,0,12,3,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1688,39,58,161,228,222,271,267,206,153,78,5,0 to 118,49,1047,598,43,1683,5,0,70,1474,133,196,17,120,1565,0,3,1680,76,44,0,0,73,47,0,120,0,11,13,13,19,18,11,19,8,8,0,6 to 98,47,70,47,3,0,2,116,2,31,0,19,0,0,2,120,47,73,120,0,0,1560,5,1688,1565,120,2,89,34,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,235,19,9,12,32,33,33,40,32,19,5,1,0 to 118,48,118,95,22,235,0,0,14,204,3,63,3,3,230,0,2,233,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,230,0,235,230,3,0,16,6,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2908,93,66,232,492,491,417,470,321,190,105,31,0 to 118,46,1756,1118,34,2781,126,1,88,2635,137,169,58,160,2746,1,1,2780,83,70,3,4,81,72,0,153,2,3,5,21,20,19,32,27,20,11,0,0 to 96,58,111,26,15,1,21,128,4,44,1,25,0,0,5,160,76,84,152,7,1,2627,119,2908,2746,160,5,401,151,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,164,1,2,15,23,30,21,20,19,22,10,1,0 to 94,48,90,68,6,164,0,0,3,146,4,12,3,15,147,1,1,162,7,8,0,0,10,4,1,15,0,0,2,2,2,1,1,2,1,4,0,20 to 89,58,7,6,1,1,0,14,1,8,0,3,0,0,0,15,4,10,15,0,0,147,0,164,147,15,0,48,21,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,30450,449,475,1896,3622,3878,4616,5550,4403,2725,1486,1350,0 to 115,54,16854,13416,180,30118,330,2,276,29522,465,1016,141,3130,27031,232,57,29836,2945,125,54,6,1523,1545,2,3070,15,29,215,374,450,469,518,445,376,232,7,0 to 104,55,1367,473,297,933,610,1437,1023,611,24,462,15,3,196,3130,1581,1547,3068,60,2,26766,265,30450,27031,3130,196,698,436,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3639,65,78,241,446,530,630,637,520,337,148,7,0 to 102,52,2104,1424,111,3624,15,0,202,3131,188,444,62,257,3337,2,43,3579,232,17,8,0,146,103,0,249,2,4,17,22,39,34,41,44,30,24,0,3 to 97,58,147,59,17,26,34,184,31,97,0,73,0,0,24,257,105,152,249,8,0,3330,7,3639,3337,257,24,72,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,6161,104,138,444,770,911,1057,1098,903,529,201,6,0 to 102,51,3716,2420,25,6126,35,0,122,5766,223,376,88,278,5853,5,25,6096,229,41,7,1,146,124,0,270,5,6,24,31,55,56,40,37,13,11,0,1 to 94,48,174,30,40,26,60,179,31,76,3,51,2,0,8,278,128,150,270,8,0,5826,27,6161,5853,278,8,491,180,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,587,18,15,51,85,105,114,90,70,27,11,1,0 to 96,47,362,214,11,585,1,1,9,490,46,95,8,107,480,0,0,586,99,7,1,0,69,36,1,106,1,1,7,16,23,30,14,10,5,0,0,4 to 83,46,12,65,2,27,3,67,36,19,0,19,0,0,0,107,36,70,105,1,1,480,0,587,480,107,0,132,52,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,3585,74,71,428,644,598,600,580,379,141,66,4,0 to 97,44,1971,1497,117,3539,45,1,81,3254,201,235,62,234,3337,2,12,3526,211,9,13,1,121,99,0,220,1,2,28,49,40,41,45,20,5,3,0,2 to 87,44,91,108,6,15,13,190,17,62,8,32,8,1,4,234,107,127,219,14,1,3306,31,3585,3337,234,4,394,182,43,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,174,7,4,7,17,29,22,35,26,15,11,1,0 to 96,55,108,62,4,171,3,0,5,108,41,55,6,28,145,0,1,170,6,20,2,0,13,13,0,26,0,0,1,1,1,3,7,7,4,4,0,22 to 95,66,11,11,4,0,3,21,2,4,2,7,0,0,2,28,15,13,26,2,0,144,1,174,145,28,2,43,9,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,457,31,24,41,47,56,50,55,69,45,30,9,0 to 99,50,284,163,10,445,12,0,17,353,53,196,6,60,393,0,4,441,27,29,4,0,32,24,0,56,2,0,6,4,6,7,13,10,4,8,0,0 to 98,57,17,32,1,6,1,42,13,8,0,4,0,0,2,60,25,35,56,4,0,385,8,457,393,60,2,90,38,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,139,2,3,10,28,31,27,24,10,3,1,0,0 to 89,42,36,101,2,139,0,0,1,126,1,8,0,60,79,0,0,139,58,2,0,0,1,59,0,60,0,0,2,13,17,16,12,0,0,0,0,20 to 63,42,41,16,2,1,0,12,48,3,0,0,0,0,0,60,59,1,60,0,0,79,0,139,79,60,0,19,7,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,182,5,3,27,26,19,27,29,27,9,9,1,0 to 118,49,97,67,18,179,3,0,9,165,9,17,3,7,175,0,0,179,2,4,0,1,6,0,0,6,0,0,0,2,2,0,3,0,0,0,0,32 to 64,43,4,2,0,0,0,6,0,3,0,0,0,0,0,7,0,7,6,1,0,173,2,182,175,7,0,3,1,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,1696,16,20,123,210,242,319,322,205,120,72,47,0 to 101,51,913,731,52,1691,5,0,37,1619,28,80,30,76,1618,2,0,1689,58,17,1,0,30,45,0,75,1,1,3,13,13,19,13,9,3,1,0,2 to 93,48,58,9,4,4,18,50,7,22,1,9,1,0,3,76,46,30,75,1,0,1614,4,1696,1618,76,3,35,30,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,1342,41,41,88,174,184,191,268,214,94,42,5,0 to 118,52,648,614,80,1332,10,0,145,1120,63,166,17,92,1245,0,5,1328,71,20,1,0,38,53,0,91,2,1,8,18,13,23,18,7,2,0,0,0 to 80,46,56,30,4,1,5,63,23,5,0,8,0,0,2,92,54,38,91,1,0,1237,8,1342,1245,92,2,8,6,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,420,12,10,44,69,52,72,66,43,30,22,0,0 to 99,48,248,150,22,416,4,0,18,383,16,55,3,22,398,0,0,416,5,17,0,0,15,7,0,22,0,0,1,2,3,0,4,4,5,3,0,24 to 97,68,17,4,1,0,0,21,1,6,0,8,0,0,3,22,7,15,22,0,0,394,4,420,398,22,3,3,2,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,514,10,6,31,60,55,82,97,107,50,16,0,0 to 92,56,291,205,18,509,5,0,1,508,5,11,1,10,504,0,0,509,4,6,0,0,4,6,0,10,1,0,0,2,3,2,1,1,0,0,0,1 to 73,42,7,1,1,1,0,9,1,2,0,0,0,0,0,10,6,4,10,0,0,499,5,514,504,10,0,5,4,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,1951,34,26,114,203,244,304,409,332,205,75,5,0 to 99,56,1078,840,33,1939,12,0,84,1758,82,155,60,202,1745,0,4,1936,184,7,11,0,82,109,0,191,2,1,15,22,23,36,44,23,30,6,0,2 to 92,55,125,5,32,29,55,107,29,65,2,41,1,0,6,202,116,86,191,11,0,1745,0,1951,1745,202,6,61,51,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,23805,587,581,2078,3937,3812,3846,3943,2886,1422,670,43,0 to 119,47,13865,9829,111,23569,236,0,436,22734,458,789,280,1281,22478,32,14,23524,1153,78,47,3,639,592,0,1231,13,27,135,207,211,220,202,138,85,43,0,0 to 100,47,588,226,246,171,334,684,213,317,10,226,7,2,27,1281,616,665,1231,50,0,22293,185,23805,22478,1281,27,668,321,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,4331,113,110,270,530,584,689,766,604,450,213,2,0 to 101,53,2610,1669,52,4305,26,0,328,3743,177,575,35,619,3710,2,0,4303,559,56,4,0,359,256,0,615,4,14,27,58,78,106,90,97,103,42,0,1 to 101,57,404,106,48,57,97,421,97,102,2,162,2,1,59,619,258,361,615,4,0,3688,22,4331,3710,619,59,183,92,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,4173,65,93,329,538,684,770,706,540,312,127,9,0 to 99,49,2413,1640,120,4164,9,0,74,3927,130,302,41,279,3893,1,0,4163,245,32,2,0,167,109,1,277,0,1,16,23,37,44,49,53,37,19,0,6 to 95,58,154,54,17,52,22,198,57,85,0,63,0,0,18,279,110,168,277,2,0,3886,7,4173,3893,279,18,164,135,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,225,6,6,25,43,25,35,34,35,8,8,0,0 to 94,47,130,92,3,221,4,0,8,182,2,28,3,32,193,0,0,221,19,11,2,0,19,11,0,30,0,2,4,7,2,6,4,6,1,0,0,10 to 83,46,12,16,2,0,5,25,0,10,2,6,2,0,0,32,12,20,30,2,0,191,2,225,193,32,0,27,27,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,4859,74,69,333,573,622,735,887,829,507,229,1,0 to 119,55,2965,1859,35,4845,14,0,593,4041,177,630,94,184,4598,2,75,4768,161,20,3,0,102,79,0,181,2,1,11,25,28,39,40,23,9,6,0,1 to 96,51,137,27,13,4,29,148,4,36,2,28,0,0,5,184,80,104,181,3,0,4587,11,4859,4598,184,5,230,110,51,3.40272879823586,0.399426438918717
