OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,39,3,0,7,4,9,3,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0 to 89,44,NA,0,0,23,16,0,39,0,0,5,34,0,0,0,0,0,0,0,0,39,0,39,0,0,1,2,0,0,0,0,0,0,0,39,0,39,39,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,284,11,3,24,37,39,42,51,33,32,12,0,0,0,2,0,2,4,0,4,1,0,0,0 to 97,50,22 to 82,13,0,176,106,2,283,1,0,93,179,12,10,1,2,12,0,1,0,279,13,265,1,5,52,19,87,13,6,7,13,0,0,265,1,284,266,13,0,7,7,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,35,0,0,2,4,7,7,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 81,50,NA,0,0,18,17,0,35,0,0,5,30,0,0,0,0,0,0,0,0,35,0,35,0,0,5,0,0,0,0,0,0,0,0,35,0,35,35,0,0,1,1,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,317,12,13,20,52,53,55,55,34,18,3,2,1,0,2,6,4,6,5,7,7,1,0,0 to 93,45,3 to 87,36,0,185,120,12,312,4,1,60,222,35,21,2,16,32,1,6,1,275,39,236,0,42,45,11,54,39,19,20,35,3,1,235,1,317,236,39,1,141,88,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,14,0,0,2,0,3,0,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,19 to 84,56,73 to 73,1,0,9,5,0,14,0,0,0,11,3,0,1,0,0,0,1,0,14,1,13,0,0,1,2,0,1,0,1,1,0,0,13,0,14,13,1,0,1,0,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,3241,47,67,233,473,484,510,511,473,308,121,14,2,2,32,54,66,69,84,105,104,33,0,0 to 104,50,0 to 99,527,0,1809,1383,49,3205,34,2,173,2977,91,58,392,101,123,364,64,14,3182,551,2631,0,59,101,210,130,551,286,256,525,24,2,2621,10,3241,2631,551,14,549,458,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,550,14,15,38,72,78,83,93,87,53,17,0,0,0,2,4,3,5,9,8,5,2,0,0 to 95,50,18 to 95,36,0,301,211,38,546,4,0,53,476,21,18,1,19,26,1,11,2,536,38,498,0,14,53,9,20,38,17,20,36,2,0,496,2,550,498,38,2,60,56,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,1074,26,30,64,128,164,193,197,163,83,26,0,0,0,6,5,6,9,5,8,1,0,0,0 to 95,50,17 to 75,39,0,654,417,3,1061,13,0,75,961,38,19,12,9,30,4,6,2,1061,40,1020,1,13,70,42,37,40,17,23,39,1,0,1010,10,1074,1020,40,2,176,105,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,46,2,0,2,7,5,15,5,6,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0 to 90,48,54 to 54,1,0,28,18,0,45,0,1,3,40,3,0,1,0,0,1,0,0,46,1,45,0,0,1,3,2,1,1,0,0,0,1,45,0,46,45,1,0,2,2,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,620,21,15,87,114,92,85,98,71,28,9,0,0,0,2,8,8,2,4,2,0,0,0,0 to 95,44,19 to 71,24,0,383,234,3,615,4,1,15,579,26,12,2,12,20,2,4,0,617,26,591,0,3,11,18,19,26,14,12,23,2,1,589,2,620,591,26,0,124,86,1817477697.41779,246081.909627491
