"county","checked","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","more granular data avaialble?"
"San Luis Obispo","3/31/2020 14:29:16","80","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","30","10","current","2","current","","","","","x"
"San Mateo","3/31/2020 9:18:09","309","10","https://www.smchealth.org/coronavirus","cases are noted as ""provisional"" today","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","3/31/2020 17:09:19","99","0","https://publichealthsbc.org/","","799","99","600","99","1","","","","","","19","14","current","10","current","","","","","x"
"Santa Clara","3/31/2020 14:34:20","890","30","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz","3/31/2020 12:59:08","49","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","3/31/2020 14:33:56","6","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","230","6","","2","","1","","","","","","","","","","","",""
"Sierra","3/31/2020 17:28:47","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","6","0","6","0","","","","","","","","","","","","","","","",""
"Siskiyou","3/31/2020 17:10:39","3","0","https://www.co.siskiyou.ca.us/publichealth","","82","10","69","3","","","","","","","","","","","","","","","",""
"Solano","3/31/2020 16:46:58","49","0","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","13","cumulative","","","","","","",""
"Sonoma","3/31/2020 16:47:47","73","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","","1521","73","","9","","7","11","12","13","13","","","","","","","",""
"Stanislaus","3/31/2020 17:10:56","39","0","http://schsa.org/publichealth/pages/corona-virus/","","","","1171","","","","","","","","","","","","","","","","",""
"Sutter","3/31/2020 17:11:20","10","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","3","","","","","","","",""
"Tehama","3/30/2020 17:20:45","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","3/30/2020 17:20:55","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","3/31/2020 17:15:10","45","1","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","16","19","","","10","3","","","","","","","","",""
"Tuolumne","3/30/2020 17:21:58","2","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","185","26","158","2","","","","","","","","","","","","","1","","",""
"Ventura","3/31/2020 17:16:31","149","5","https://www.vcemergency.com/","","2987","","","","","18","","31","33","77","27","30","","","","","","","","x"
"Yolo","3/31/2020 17:17:58","25","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","3/30/2020 17:24:10","7","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","",""
