OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,REPORTED_DEATH,GlobalID
5409,Mobile,01097,Mobile,53,1,0.307697348295278,4.83629332281426,3,f22b1c93-abc3-43c2-86f2-8f71562590ff
5410,Monroe,01099,Southwestern,1,0,0.254517578378227,2.83753802882174,0,0f02afac-71f3-47d9-8325-c9a6de8f0741
5411,Montgomery,01101,East Central,31,1,0.198182172648103,2.60770290702687,1,2bba2589-e087-4fe9-bb9e-9cc98432383b
5412,Morgan,01103,Northern,20,0,0.152203319983528,1.80617511452274,0,51e84de0-c5a6-4a4b-8d84-fa5f0860c97d
5413,Perry,01105,West Central,0,0,0.18021159047953,2.14838023913143,0,d9a97b06-f49f-41eb-9797-53f2a1555a02
5414,Pickens,01107,West Central,4,0,0.22311596802615,2.22345505777214,0,943a128d-1ed4-476b-a5b0-4097d1ce3f4c
5415,Pike,01109,Southeastern,4,0,0.166038209106773,2.23104055343355,0,4169dd53-2a37-44b5-8663-2466a55ddd23
5416,Randolph,01111,Northeastern,2,0,0.14646191250813,1.58584516900329,0,af33aeb3-6041-4152-8cd8-5e9dbe2bfcd9
5417,Russell,01113,East Central,1,0,0.160426072907967,2.13411394127528,0,8af6b756-3e39-4613-a0c6-cbe3454fdd61
5418,St. Clair,01115,Northeastern,15,0,0.164611790120262,2.46182521198285,0,d946676b-ad04-4f6c-956a-e0a1e3cd028a
5419,Shelby,01117,Northeastern,86,2,0.202879219246825,2.52559193618872,3,8a2cc9e8-8b74-49e7-80e8-8e7a7b6b36d1
5420,Sumter,01119,West Central,1,0,0.227210820567734,3.07842876540608,0,278e477a-10b1-4af2-b1cd-1bfa380eddf6
5421,Talladega,01121,Northeastern,7,0,0.190828489604655,2.7296175303427,0,195136bd-ea3c-4a60-b1c2-5d943b631428
5422,Tallapoosa,01123,East Central,13,1,0.191182308914904,2.16459004269042,1,94560fcf-cdc7-46ea-968c-8f553e902c28
5423,Tuscaloosa,01125,West Central,29,0,0.338742577944004,2.90058009044742,0,b2183636-5627-4b08-9b5e-edcf69df8f32
5424,Walker,01127,West Central,32,0,0.20307720239839,2.39750884765462,0,68651fd5-2c99-42b1-8600-5cd5eb8223b5
5425,Washington,01129,Southwestern,3,0,0.26740407070929,2.63236527422465,1,4fe11633-77f6-4dfd-8d55-cece8c784f46
5426,Wilcox,01131,Southwestern,3,0,0.224284362669096,2.68126387368409,0,ad69953d-c6e0-4694-bd57-5c53870238b7
5427,Winston,01133,Northern,2,0,0.159972008442992,1.68720534678178,0,67c9079e-50f9-4537-9c2b-75d21005cc62
