Report Date,FIPS,Locality,Health District,Total Cases
3/31/2020,51003,Albemarle,Thomas Jefferson,21
3/31/2020,51009,Amherst,Central Virginia,3
3/31/2020,51011,Appomattox,Central Virginia,0
3/31/2020,51013,Arlington,Arlington,104
3/31/2020,51015,Augusta,Central Shenandoah,0
3/31/2020,51019,Bedford,Central Virginia,2
3/31/2020,51021,Bland,Mount Rogers,0
3/31/2020,51025,Brunswick,Southside,1
3/31/2020,51027,Buchanan,Cumberland Plateau,0
3/31/2020,51029,Buckingham,Piedmont,2
3/31/2020,51031,Campbell,Central Virginia,1
3/31/2020,51033,Caroline,Rappahannock,0
3/31/2020,51035,Carroll,Mount Rogers,1
3/31/2020,51036,Charles City,Chickahominy,1
3/31/2020,51037,Charlotte,Piedmont,0
3/31/2020,51043,Clarke,Lord Fairfax,1
3/31/2020,51047,Culpeper,Rappahannock Rapidan,3
3/31/2020,51049,Cumberland,Piedmont,0
3/31/2020,51053,Dinwiddie,Crater,0
3/31/2020,51057,Essex,Three Rivers,0
3/31/2020,51077,Grayson,Mount Rogers,0
3/31/2020,51079,Greene,Thomas Jefferson,1
3/31/2020,51081,Greensville,Crater,3
3/31/2020,51083,Halifax,Southside,1
3/31/2020,51085,Hanover,Chickahominy,6
3/31/2020,51087,Henrico,Henrico,62
3/31/2020,51091,Highland,Central Shenandoah,0
3/31/2020,51093,Isle of Wight,Western Tidewater,4
3/31/2020,51097,King and Queen,Three Rivers,1
3/31/2020,51105,Lee,Lenowisco,2
3/31/2020,51109,Louisa,Thomas Jefferson,9
3/31/2020,51111,Lunenburg,Piedmont,0
3/31/2020,51113,Madison,Rappahannock Rapidan,3
3/31/2020,51115,Mathews,Three Rivers,2
3/31/2020,51119,Middlesex,Three Rivers,0
3/31/2020,51127,New Kent,Chickahominy,1
3/31/2020,51131,Northampton,Eastern Shore,1
3/31/2020,51133,Northumberland,Three Rivers,3
3/31/2020,51141,Patrick,West Piedmont,0
3/31/2020,51143,Pittsylvania,Pittsylvania-Danville,1
3/31/2020,51145,Powhatan,Chesterfield,4
3/31/2020,51149,Prince George,Crater,7
3/31/2020,51153,Prince William,Prince William,94
3/31/2020,51155,Pulaski,New River,0
3/31/2020,51163,Rockbridge,Central Shenandoah,2
3/31/2020,51165,Rockingham,Central Shenandoah,5
3/31/2020,51167,Russell,Cumberland Plateau,0
3/31/2020,51185,Tazewell,Cumberland Plateau,2
3/31/2020,51187,Warren,Lord Fairfax,3
3/31/2020,51193,Westmoreland,Three Rivers,0
3/31/2020,51197,Wythe,Mount Rogers,1
3/31/2020,51199,York,Peninsula,14
3/31/2020,51510,Alexandria,Alexandria,30
3/31/2020,51520,Bristol,Mount Rogers,1
3/31/2020,51550,Chesapeake,Chesapeake,23
3/31/2020,51590,Danville,Pittsylvania-Danville,4
3/31/2020,51600,Fairfax City,Fairfax,1
3/31/2020,51620,Franklin City,Western Tidewater,1
3/31/2020,51660,Harrisonburg,Central Shenandoah,6
3/31/2020,51680,Lynchburg,Central Virginia,5
3/31/2020,51685,Manassas Park,Prince William,1
3/31/2020,51690,Martinsville,West Piedmont,0
3/31/2020,51700,Newport News,Peninsula,23
3/31/2020,51710,Norfolk,Norfolk,27
3/31/2020,51775,Salem,Alleghany,0
3/31/2020,51820,Waynesboro,Central Shenandoah,2
3/31/2020,51830,Williamsburg,Peninsula,8
3/31/2020,51840,Winchester,Lord Fairfax,3
3/31/2020,51001,Accomack,Eastern Shore,7
3/31/2020,51005,Alleghany,Alleghany,1
3/31/2020,51007,Amelia,Piedmont,2
3/31/2020,51017,Bath,Central Shenandoah,0
3/31/2020,51023,Botetourt,Alleghany,5
3/31/2020,51041,Chesterfield,Chesterfield,43
3/31/2020,51045,Craig,Alleghany,0
3/31/2020,51051,Dickenson,Cumberland Plateau,0
3/31/2020,51059,Fairfax,Fairfax,244
3/31/2020,51061,Fauquier,Rappahannock Rapidan,7
3/31/2020,51063,Floyd,New River,0
3/31/2020,51065,Fluvanna,Thomas Jefferson,3
3/31/2020,51067,Franklin County,West Piedmont,5
3/31/2020,51069,Frederick,Lord Fairfax,12
3/31/2020,51071,Giles,New River,0
3/31/2020,51073,Gloucester,Three Rivers,7
3/31/2020,51075,Goochland,Chickahominy,7
3/31/2020,51089,Henry,West Piedmont,1
3/31/2020,51095,James City,Peninsula,89
3/31/2020,51099,King George,Rappahannock,3
