"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","recovered"
"Alameda","4/18/2020 16:43:17","1114","41","http://www.acphd.org/2019-ncov.aspx","","","","","",""
"Alpine","4/17/2020 17:46:19","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","10","0","8","2","1"
"Amador","4/17/2020 17:46:31","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","5"
"Butte","4/17/2020 17:46:49","16","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","672","","576","16",""
"Calaveras","4/17/2020 17:47:27","12","0","https://covid19.calaverasgov.us/","","288","","","","7"
"Colusa","4/17/2020 17:47:45","3","0","http://countyofcolusa.org/99/Public-Health","","","","","",""
"Contra Costa","4/18/2020 16:46:25","685","19","https://cchealth.org/coronavirus/","","8944","","","",""
"Del Norte","4/18/2020 16:47:14","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","238","6","230","2","2"
"El Dorado","4/17/2020 17:48:30","36","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1460","","1424","36","31"
"Fresno","4/18/2020 16:55:12","315","7","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","4747","","","","85"
"Glenn","4/17/2020 17:49:11","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","66","","62","4","3"
"Humboldt","4/18/2020 16:57:51","52","0","https://humboldtgov.org/2707/COVID-Test-Results","","1693","","","",""
"Imperial","4/17/2020","155","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","1123","","","","45"
"Inyo","4/17/2020 17:51:11","18","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","20","155","18",""
"Kern","4/18/2020 17:00:21","610","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","","3462","4479","610","223"
"Kings","4/18/2020 17:01:10","20","1","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","794","","742","","4"
"Lake","4/17/2020 14:37:08","6","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","324","","3"
"Lassen","4/17/2020 17:51:26","0","0","https://lassencares.org/","","93","8","85","0",""
"Los Angeles","4/18/2020 17:02:58","12021","576","http://publichealth.lacounty.gov/media/Coronavirus/","","76000","","","",""
"Madera","4/18/2020 17:03:45","34","2","https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised","pending tests only from the public health lab","742","","709","","24"
