OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,167,4,2,20,25,30,22,28,19,14,3,0,0 to 89,45,102,65,0,167,0,0,3,162,11,1,4,162,0,1,166,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,162,0,167,162,4,0,11,8,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,1018,25,39,103,151,139,162,168,109,90,27,5,0 to 118,47,600,376,42,1015,3,0,59,840,127,16,55,960,0,3,1012,30,25,0,55,0,9,6,5,8,11,4,9,3,0,0,6 to 82,42,32,22,1,0,1,52,2,15,0,10,0,0,1,55,25,30,55,0,0,957,3,1018,960,55,1,68,31,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,161,17,6,6,19,26,21,26,22,14,4,0,0 to 118,47,81,68,12,161,0,0,11,149,36,3,1,160,0,0,161,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,160,0,161,160,1,0,12,7,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1621,62,43,111,233,254,240,276,200,126,73,3,0 to 118,48,1016,561,44,1572,48,1,82,1408,136,53,127,1479,1,14,1558,70,52,0,122,1,2,4,19,16,12,24,23,17,9,0,3 to 96,59,87,17,8,10,10,101,11,39,1,23,0,0,1,127,56,71,121,5,1,1436,43,1621,1479,127,1,306,139,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,82,1,2,7,15,15,11,10,8,11,1,1,0 to 88,45,45,35,2,82,0,0,3,75,5,3,6,76,0,0,82,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,76,0,82,76,6,0,27,11,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,15930,198,233,1015,2036,2275,2603,2809,2125,1282,735,619,0 to 115,52,8946,6838,146,15758,170,2,191,15323,665,134,2138,13427,303,62,15401,1045,1027,12,2084,8,10,133,234,290,325,355,329,279,152,23,0 to 104,56,729,249,149,957,245,839,1000,454,23,342,15,3,114,2138,1056,1070,2082,54,2,13317,110,15930,13427,2138,114,681,428,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2270,41,49,148,289,361,401,375,321,204,78,3,0 to 99,51,1316,880,74,2263,7,0,144,1965,265,56,196,2030,2,42,2219,114,78,0,192,0,1,15,17,29,26,33,35,26,14,0,9 to 96,59,124,42,12,14,26,147,19,77,0,58,0,0,13,196,80,116,192,4,0,2027,3,2270,2030,196,13,71,56,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,4149,70,92,287,534,639,743,758,601,313,106,6,0 to 102,50,2517,1620,12,4122,27,0,112,3837,252,84,198,3918,6,27,4089,94,97,0,191,1,1,16,23,46,39,32,31,6,3,0,1 to 94,48,131,17,32,11,49,127,15,68,3,40,2,0,3,198,101,97,191,7,0,3898,20,4149,3918,198,3,385,188,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,313,8,8,28,52,58,61,45,39,9,4,1,0 to 96,45,204,106,3,311,1,1,3,266,40,7,48,265,0,0,312,33,14,0,47,0,0,4,8,10,12,9,4,1,0,0,20 to 81,46,7,22,0,18,1,25,21,1,0,4,0,0,0,48,14,34,46,1,1,265,0,313,265,48,0,71,33,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2340,58,45,309,433,392,403,368,226,79,26,1,0 to 95,43,1328,956,56,2323,16,1,46,2127,144,51,169,2164,2,5,2317,94,71,0,165,1,2,23,39,29,29,28,16,0,2,0,2 to 86,42,69,66,5,25,12,126,27,45,3,21,1,0,1,169,72,97,164,4,1,2152,12,2340,2164,169,1,300,185,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,116,6,4,2,9,15,14,22,18,14,11,1,0 to 96,58,75,39,2,113,3,0,4,74,30,5,24,90,0,2,111,12,10,0,22,0,0,1,1,1,2,5,6,4,4,0,22 to 95,66,10,8,3,1,3,16,3,4,2,5,0,0,1,24,12,12,22,2,0,89,1,116,90,24,1,43,22,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,177,26,15,14,18,26,24,16,22,13,3,0,0 to 89,39,92,81,4,174,3,0,12,137,63,4,20,155,0,2,172,11,8,0,19,2,0,3,2,2,3,5,2,1,0,0,0 to 77,50,6,9,1,3,1,15,3,5,0,1,0,0,0,20,8,12,19,1,0,153,2,177,155,20,0,52,19,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,37,2,2,4,9,6,4,5,4,1,0,0,0 to 76,36,20,15,2,37,0,0,1,35,2,0,2,35,0,0,37,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,35,0,37,35,2,0,9,7,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,94,1,2,14,12,12,11,18,14,7,3,0,0 to 93,50,51,38,5,92,2,0,8,79,12,3,3,90,0,1,92,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,32 to 62,56,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,3,3,0,0,89,1,94,90,3,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,778,9,12,55,107,123,167,144,93,50,18,0,0 to 99,50,417,311,50,776,2,0,30,725,53,27,48,729,1,0,775,19,28,0,47,0,0,2,8,11,11,7,7,1,1,0,21 to 93,47,33,5,3,6,10,29,8,16,1,7,1,0,2,48,29,19,47,1,0,728,1,778,729,48,2,31,26,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,557,22,26,43,80,86,73,112,75,28,9,3,0 to 118,48,298,230,29,550,7,0,114,393,98,17,36,509,0,12,541,20,15,0,35,1,0,5,7,3,5,11,3,1,0,0,1 to 76,46,29,4,1,1,4,29,2,1,0,4,0,0,0,36,16,20,35,1,0,506,3,557,509,36,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,270,6,6,27,46,33,51,38,24,26,13,0,0 to 99,48,169,83,18,266,4,0,15,239,50,3,17,253,0,0,266,10,7,0,17,0,0,1,1,0,0,3,4,5,3,0,24 to 97,72,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,249,4,270,253,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,134,5,3,10,19,18,21,25,21,9,3,0,0 to 100,50,75,46,13,133,1,0,0,131,5,1,5,125,0,4,129,1,4,0,5,0,0,0,1,2,1,0,1,0,0,0,27 to 73,44,4,0,0,1,0,4,1,2,0,0,0,0,0,5,4,1,5,0,0,124,1,134,125,5,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1323,21,12,76,133,169,207,272,225,149,58,1,0 to 99,56,745,548,30,1314,9,0,72,1183,103,55,148,1165,1,9,1305,60,79,1,140,0,0,11,12,13,22,37,20,27,6,0,19 to 92,60,99,6,10,25,17,98,25,52,2,36,1,0,4,148,85,62,140,8,0,1165,0,1323,1165,148,4,59,49,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,14888,369,351,1341,2707,2591,2506,2318,1586,752,333,34,0 to 119,45,8808,6009,71,14726,162,0,395,14071,535,261,943,13905,32,8,14687,457,444,0,901,10,21,108,160,165,172,152,90,44,21,0,0 to 100,45,454,143,187,117,264,494,143,254,8,147,4,2,19,943,463,480,901,42,0,13786,119,14888,13905,943,19,653,307,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,2348,42,48,150,298,333,404,429,318,228,97,1,0 to 100,52,1401,904,43,2330,18,0,160,2101,226,30,362,1982,2,2,2326,195,161,4,360,1,8,19,34,41,69,50,57,64,19,0,2 to 97,56,207,49,27,77,25,219,116,55,1,78,1,1,31,362,163,195,360,2,0,1966,16,2348,1982,362,31,182,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,2778,34,60,208,379,494,526,466,330,191,81,9,0 to 99,48,1582,1075,121,2773,5,0,68,2600,235,40,223,2553,1,1,2771,134,87,0,221,0,0,11,20,28,33,40,44,30,17,0,18 to 95,59,112,36,15,58,18,142,61,57,0,40,0,0,9,223,88,135,221,2,0,2550,3,2778,2553,223,9,55,37,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,91,2,1,11,17,11,13,14,17,4,1,0,0 to 89,48,47,42,2,88,3,0,3,86,3,3,4,87,0,0,88,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,39 to 73,70,2,0,0,0,0,2,0,0,2,0,2,0,0,4,2,2,2,2,0,86,1,91,87,4,0,0,0,1653184151.65315,165534.73009074
