Report Date,FIPS,Locality,Health District,Total Cases
4/18/2020,51003,Albemarle,Thomas Jefferson,56
4/18/2020,51009,Amherst,Central Virginia,10
4/18/2020,51011,Appomattox,Central Virginia,7
4/18/2020,51013,Arlington,Arlington,520
4/18/2020,51015,Augusta,Central Shenandoah,22
4/18/2020,51019,Bedford,Central Virginia,17
4/18/2020,51021,Bland,Mount Rogers,0
4/18/2020,51025,Brunswick,Southside,12
4/18/2020,51027,Buchanan,Cumberland Plateau,12
4/18/2020,51029,Buckingham,Piedmont,25
4/18/2020,51031,Campbell,Central Virginia,9
4/18/2020,51033,Caroline,Rappahannock,13
4/18/2020,51035,Carroll,Mount Rogers,3
4/18/2020,51036,Charles City,Chickahominy,11
4/18/2020,51037,Charlotte,Piedmont,8
4/18/2020,51043,Clarke,Lord Fairfax,6
4/18/2020,51047,Culpeper,Rappahannock Rapidan,39
4/18/2020,51049,Cumberland,Piedmont,10
4/18/2020,51053,Dinwiddie,Crater,7
4/18/2020,51057,Essex,Three Rivers,2
4/18/2020,51077,Grayson,Mount Rogers,0
4/18/2020,51079,Greene,Thomas Jefferson,8
4/18/2020,51081,Greensville,Crater,18
4/18/2020,51083,Halifax,Southside,8
4/18/2020,51085,Hanover,Chickahominy,79
4/18/2020,51087,Henrico,Henrico,559
4/18/2020,51091,Highland,Central Shenandoah,0
4/18/2020,51093,Isle of Wight,Western Tidewater,83
4/18/2020,51097,King and Queen,Three Rivers,2
4/18/2020,51105,Lee,Lenowisco,7
4/18/2020,51109,Louisa,Thomas Jefferson,33
4/18/2020,51111,Lunenburg,Piedmont,3
4/18/2020,51113,Madison,Rappahannock Rapidan,8
4/18/2020,51115,Mathews,Three Rivers,3
4/18/2020,51119,Middlesex,Three Rivers,3
4/18/2020,51127,New Kent,Chickahominy,17
4/18/2020,51131,Northampton,Eastern Shore,5
4/18/2020,51133,Northumberland,Three Rivers,5
4/18/2020,51141,Patrick,West Piedmont,0
4/18/2020,51143,Pittsylvania,Pittsylvania-Danville,6
4/18/2020,51145,Powhatan,Chesterfield,9
4/18/2020,51149,Prince George,Crater,28
4/18/2020,51153,Prince William,Prince William,700
4/18/2020,51155,Pulaski,New River,8
4/18/2020,51163,Rockbridge,Central Shenandoah,5
4/18/2020,51165,Rockingham,Central Shenandoah,100
4/18/2020,51167,Russell,Cumberland Plateau,2
4/18/2020,51185,Tazewell,Cumberland Plateau,4
4/18/2020,51187,Warren,Lord Fairfax,24
4/18/2020,51193,Westmoreland,Three Rivers,10
4/18/2020,51197,Wythe,Mount Rogers,8
4/18/2020,51199,York,Peninsula,38
4/18/2020,51510,Alexandria,Alexandria,354
4/18/2020,51520,Bristol,Mount Rogers,1
4/18/2020,51550,Chesapeake,Chesapeake,154
4/18/2020,51590,Danville,Pittsylvania-Danville,24
4/18/2020,51600,Fairfax City,Fairfax,3
4/18/2020,51620,Franklin City,Western Tidewater,12
4/18/2020,51660,Harrisonburg,Central Shenandoah,233
4/18/2020,51680,Lynchburg,Central Virginia,38
4/18/2020,51685,Manassas Park,Prince William,21
4/18/2020,51690,Martinsville,West Piedmont,0
4/18/2020,51700,Newport News,Peninsula,102
4/18/2020,51710,Norfolk,Norfolk,109
4/18/2020,51775,Salem,Alleghany,6
4/18/2020,51820,Waynesboro,Central Shenandoah,7
4/18/2020,51830,Williamsburg,Peninsula,19
4/18/2020,51840,Winchester,Lord Fairfax,25
4/18/2020,51001,Accomack,Eastern Shore,33
4/18/2020,51005,Alleghany,Alleghany,4
4/18/2020,51007,Amelia,Piedmont,13
4/18/2020,51017,Bath,Central Shenandoah,0
4/18/2020,51023,Botetourt,Alleghany,23
4/18/2020,51041,Chesterfield,Chesterfield,310
4/18/2020,51045,Craig,Alleghany,2
4/18/2020,51051,Dickenson,Cumberland Plateau,0
4/18/2020,51059,Fairfax,Fairfax,1633
4/18/2020,51061,Fauquier,Rappahannock Rapidan,36
4/18/2020,51063,Floyd,New River,1
4/18/2020,51065,Fluvanna,Thomas Jefferson,66
4/18/2020,51067,Franklin County,West Piedmont,15
4/18/2020,51069,Frederick,Lord Fairfax,81
4/18/2020,51071,Giles,New River,4
4/18/2020,51073,Gloucester,Three Rivers,21
4/18/2020,51075,Goochland,Chickahominy,55
4/18/2020,51089,Henry,West Piedmont,10
4/18/2020,51095,James City,Peninsula,139
4/18/2020,51099,King George,Rappahannock,18
4/18/2020,51101,King William,Three Rivers,2
4/18/2020,51103,Lancaster,Three Rivers,1
4/18/2020,51107,Loudoun,Loudoun,413
4/18/2020,51117,Mecklenburg,Southside,64
4/18/2020,51121,Montgomery,New River,42
4/18/2020,51125,Nelson,Thomas Jefferson,5
4/18/2020,51135,Nottoway,Piedmont,6
4/18/2020,51137,Orange,Rappahannock Rapidan,20
4/18/2020,51139,Page,Lord Fairfax,13
4/18/2020,51147,Prince Edward,Piedmont,17
4/18/2020,51157,Rappahannock,Rappahannock Rapidan,1
4/18/2020,51159,Richmond County,Three Rivers,8
4/18/2020,51161,Roanoke County,Alleghany,20
4/18/2020,51169,Scott,Lenowisco,4
4/18/2020,51171,Shenandoah,Lord Fairfax,39
4/18/2020,51173,Smyth,Mount Rogers,12
4/18/2020,51175,Southampton,Western Tidewater,9
4/18/2020,51177,Spotsylvania,Rappahannock,72
4/18/2020,51179,Stafford,Rappahannock,143
4/18/2020,51181,Surry,Crater,3
4/18/2020,51183,Sussex,Crater,11
4/18/2020,51191,Washington,Mount Rogers,27
4/18/2020,51195,Wise,Lenowisco,18
4/18/2020,51530,Buena Vista City,Central Shenandoah,5
4/18/2020,51540,Charlottesville,Thomas Jefferson,41
4/18/2020,51570,Colonial Heights,Chesterfield,23
4/18/2020,51580,Covington,Alleghany,1
4/18/2020,51595,Emporia,Crater,7
4/18/2020,51610,Falls Church,Fairfax,0
4/18/2020,51630,Fredericksburg,Rappahannock,15
4/18/2020,51640,Galax,Mount Rogers,1
4/18/2020,51650,Hampton,Hampton,79
4/18/2020,51670,Hopewell,Crater,16
4/18/2020,51678,Lexington,Central Shenandoah,3
4/18/2020,51683,Manassas City,Prince William,82
4/18/2020,51720,Norton,Lenowisco,1
4/18/2020,51730,Petersburg,Crater,21
4/18/2020,51735,Poquoson,Peninsula,6
4/18/2020,51740,Portsmouth,Portsmouth,65
4/18/2020,51750,Radford,New River,1
4/18/2020,51760,Richmond City,Richmond,211
4/18/2020,51770,Roanoke City,Roanoke,24
4/18/2020,51790,Staunton,Central Shenandoah,5
4/18/2020,51800,Suffolk,Western Tidewater,81
4/18/2020,51810,Virginia Beach,Virginia Beach,271
