OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
34,34,52,103,PINELLAS,Pinellas,FL,12975,172,177,834,1819,1789,2139,2412,1875,1052,678,28,0 to 120,53,7754,5184,37,12816,159,0,739,11756,411,1132,322,687,12211,10,67,12740,567,79,35,6,340,306,0,646,1,5,45,89,72,112,128,99,68,68,0,1 to 101,56,513,83,36,14,57,564,25,177,16,189,14,1,24,687,331,356,646,41,0,12094,117,12975,12211,687,24,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,567,21,8,38,80,74,74,94,82,46,38,12,0 to 118,53,373,178,16,567,0,0,49,397,110,137,5,116,449,0,2,565,32,84,0,0,84,32,0,116,0,3,10,12,13,12,14,17,18,17,0,5 to 102,62,76,35,0,5,3,107,6,24,0,30,0,0,11,116,32,84,116,0,0,449,0,567,449,116,11,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,21352,320,386,1993,3866,3480,3533,3580,2306,1152,635,101,0 to 119,46,11987,8650,715,21223,129,0,320,20532,454,355,81,984,20283,11,74,21138,854,106,15,9,517,442,1,960,9,15,81,164,164,153,180,113,67,35,3,0 to 97,49,262,211,56,431,45,445,470,129,9,95,5,0,18,984,454,526,960,24,0,20178,105,21352,20283,984,18,618,549,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,Lafayette,FL,67,3,0,6,6,17,4,4,11,9,7,0,0 to 118,47,36,30,1,67,0,0,8,59,0,8,0,1,66,0,0,67,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,66,0,67,66,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,Gulf,FL,123,3,4,5,19,14,20,23,23,10,2,0,1 to 91,53,74,47,2,121,2,0,15,107,1,32,8,1,122,0,0,121,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,120,2,123,122,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,Union,FL,209,4,5,20,30,47,33,27,29,9,5,0,1 to 118,43,115,88,6,209,0,0,13,192,4,17,4,4,204,0,1,208,3,1,0,0,2,2,0,4,0,0,0,1,0,0,3,0,0,0,0,25 to 60,55,3,0,0,1,0,3,1,1,0,0,0,0,0,4,2,2,4,0,0,204,0,209,204,4,0,8,7,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,Bradford,FL,716,7,8,70,88,86,87,116,84,89,77,4,0 to 107,56,466,239,11,716,0,0,25,654,34,124,0,43,672,0,1,715,14,29,0,0,35,8,0,43,0,2,3,1,5,3,3,6,11,9,0,8 to 107,73,40,3,0,0,0,42,1,4,0,10,0,0,2,43,8,35,43,0,0,672,0,716,672,43,2,112,80,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,Wakulla,FL,276,3,7,27,51,42,55,52,24,11,3,1,0 to 93,46,154,120,2,274,2,0,8,247,13,29,2,21,255,0,0,274,13,7,1,0,15,5,0,20,0,0,4,5,2,7,2,1,0,0,0,19 to 65,41,7,11,1,1,0,19,1,5,0,5,0,0,1,21,5,16,20,1,0,254,1,276,255,21,1,40,15,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,Brevard,FL,7438,107,137,422,860,912,1103,1670,1400,629,197,1,0 to 103,56,4340,3024,74,7429,9,0,95,7225,107,239,58,252,7182,2,2,7425,211,33,6,2,120,124,0,244,2,5,19,32,35,38,57,32,23,9,0,1 to 94,53,171,45,12,16,39,189,16,73,2,45,2,0,8,252,126,126,244,8,0,7181,1,7438,7182,252,8,207,156,2687643838.87906,793218.333609179
43,43,53,105,POLK,Polk,FL,6486,159,149,494,921,969,1051,1041,897,554,248,3,0 to 102,50,3745,2597,144,6462,24,0,223,6006,231,418,113,410,6066,2,8,6452,317,87,5,1,237,166,1,404,1,5,18,57,57,67,68,53,49,35,0,3 to 102,54,239,82,47,36,110,240,54,176,3,121,1,0,18,410,168,241,404,6,0,6048,18,6486,6066,410,18,369,173,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,Osceola,FL,4733,58,135,376,813,853,879,757,501,263,89,9,0 to 102,46,2676,2037,20,4702,31,0,317,3987,390,500,162,463,4219,3,48,4652,418,28,15,2,224,222,0,446,2,8,33,63,74,96,88,66,29,4,0,0 to 102,49,223,34,180,9,258,141,47,194,5,123,6,1,7,463,235,228,446,17,0,4206,13,4733,4219,463,7,359,80,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,Highlands,FL,1051,15,8,45,112,106,118,145,243,194,62,3,0 to 95,63,599,428,24,1019,32,0,30,973,47,60,15,76,974,1,0,1018,61,14,1,0,35,40,0,75,1,1,5,10,6,10,16,13,12,2,0,0 to 95,59,36,21,17,1,24,44,7,36,1,28,1,0,7,76,41,35,75,1,0,943,31,1051,974,76,7,79,32,2866885704.30579,296636.719911829
46,46,36,071,LEE,Lee,FL,10608,133,133,727,1438,1584,1800,1857,1524,962,446,4,0 to 119,52,6286,4125,197,10413,194,1,265,9612,613,703,132,961,9630,2,15,10397,823,104,30,4,474,452,1,927,8,8,59,112,141,156,166,146,102,63,0,0 to 100,54,501,114,28,284,166,477,284,254,12,198,10,1,37,961,472,488,926,34,1,9470,160,10608,9630,961,37,1384,409,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,Collier,FL,5137,80,88,319,633,699,782,855,828,615,235,3,0 to 103,54,2945,2173,19,4963,174,0,189,4540,356,529,137,552,4571,1,13,4949,329,156,50,17,246,238,1,485,6,10,35,66,57,80,111,75,82,30,0,0 to 101,56,343,24,36,82,152,246,87,117,16,73,7,2,15,552,276,275,485,67,0,4464,107,5137,4571,552,15,749,433,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,Dade,FL,76785,691,977,5273,12615,12772,14758,13238,8803,4653,2507,498,0 to 119,48,39485,36267,1033,76437,347,1,1586,71889,2785,4516,673,11351,64993,169,272,75999,10764,451,130,6,5297,5881,37,11215,45,89,860,1931,1843,2244,1892,1272,731,421,23,0 to 105,49,4907,1432,448,4428,4607,1987,4621,2463,24,1279,12,1,301,11351,5973,5339,11214,136,1,64784,209,76785,64993,11351,301,2088,1381,5114451079.58835,540836.793924443
49,49,44,087,MONROE,Monroe,FL,1152,12,16,61,131,166,215,258,187,81,24,1,0 to 97,54,605,541,6,1117,35,0,282,781,83,137,65,78,1058,0,16,1101,56,14,4,4,34,36,0,70,0,3,6,11,11,15,15,11,6,0,0,6 to 80,50,55,5,0,10,17,43,10,13,3,9,2,0,3,78,40,38,70,8,0,1031,27,1152,1058,78,3,209,82,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2484,119,112,224,395,409,381,353,261,127,97,6,0 to 102,44,1458,1006,20,2480,4,0,55,2325,99,123,44,149,2333,1,1,2478,108,40,1,0,45,103,0,148,3,0,15,21,26,27,23,20,7,7,0,0 to 94,49,106,21,2,19,7,123,18,21,0,21,0,0,6,149,103,46,148,1,0,2330,3,2484,2333,149,6,496,74,2596863920.94926,364280.718031263
51,51,66,131,WALTON,Walton,FL,552,22,11,44,54,93,100,92,79,29,26,2,0 to 97,49,293,238,21,538,14,0,19,515,15,58,29,35,516,1,0,537,22,5,6,2,18,9,0,27,0,0,3,5,6,7,5,3,5,1,0,20 to 90,49,23,3,0,1,1,25,1,7,2,6,2,0,0,35,13,22,27,8,0,510,6,552,516,35,0,37,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,Jackson,FL,392,8,8,30,58,56,75,66,44,35,12,0,0 to 96,50,222,159,11,384,8,0,18,352,19,27,16,13,379,0,0,384,7,5,0,1,9,3,0,12,0,2,1,4,3,1,2,0,0,0,0,11 to 60,34,4,8,0,0,1,11,0,3,0,0,0,0,0,13,4,9,12,1,0,372,7,392,379,13,0,36,12,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,Washington,FL,286,1,1,11,30,41,54,65,45,29,9,0,3 to 103,55,166,101,19,285,1,0,27,244,9,36,8,12,273,0,1,284,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,272,1,286,273,12,0,41,20,1594396648.51196,243766.072259733
