OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
27362,Baldwin,01003,Southwestern,161,3,0.400159431601878,6.69300034847276,928a4a30-cabf-4706-bf30-489441868500,2413
27363,Clarke,01025,Southwestern,25,1,0.308508819690587,3.78655552072513,f8ca1a9a-ef41-4a6b-97a4-9556e6904f80,328
27364,Conecuh,01035,Southwestern,9,0,0.209509978242295,2.59686142559656,2147f5ca-e112-495e-b79e-95c048265274,92
27365,Franklin,01059,Northern,41,0,0.164243463038702,1.78358559509712,a7f3777d-6067-4962-b2fe-1c5beadc71f8,401
27366,Hale,01065,West Central,41,2,0.163613340422671,2.4799010938001,30a17d68-2d1b-4401-bb63-edc5c4c7635e,225
27367,Autauga,01001,East Central,37,2,0.150198352049983,2.1379328255407,8c6c644b-edd7-434a-8909-cf35e17aef99,645
27368,Escambia,01053,Southwestern,25,1,0.233446648119298,2.50306921694382,7725089e-6f13-4f32-af91-80719dc61dff,313
27369,Marshall,01095,Northern,307,5,0.158193819913322,2.22984018931076,24451906-33f9-40d7-ba54-987fc63a1de8,1685
27370,Pickens,01107,West Central,48,1,0.22311596802615,2.22345505777214,567ed256-c199-4b3d-9db2-fd9dc5397e3f,340
27371,Cherokee,01019,Northeastern,14,0,0.151975822791428,1.89808177880757,d2e8b426-c892-4298-8d03-5f0ccde9fa93,135
27372,Crenshaw,01041,Southeastern,11,0,0.150571897113878,2.31806123117494,705e0134-469e-47d3-962f-81598be44ea5,216
27373,Marion,01093,Northern,74,5,0.188224455607951,1.90243452461428,55904c05-014c-4630-b001-c3a34b2c6d1c,635
27374,Unknown or Out of State,99999,Unknown,0,0,12.9086340951542,16.2873566339486,278a84fb-056d-46d6-b93f-d9cd2b8fc818,6556
27375,Blount,01009,Northeastern,34,0,0.164406638341006,2.45274784751908,b4e63595-431e-492e-b821-19e2306b059a,498
27376,Fayette,01057,West Central,5,0,0.158552104918499,1.83779224583562,de15f45a-5aab-49cb-ac8d-2f6730fbc404,240
27377,Lamar,01075,West Central,10,0,0.15263540616661,1.64069081755141,32b099c9-85a0-4e48-999a-dcf36b7d6399,205
27378,Coosa,01037,East Central,29,1,0.16640708911109,1.7505584986585,50057c6f-e464-4664-8222-a0197253da50,98
27379,Cullman,01043,Northern,50,0,0.191087821164047,2.50218505547441,9b7f7680-56c9-429d-af38-23a0cfa79092,766
27380,Elmore,01051,East Central,79,1,0.163505782545826,2.27519521591255,80d73711-0daf-44c4-afdf-27bf487b12c3,1024
27381,Calhoun,01015,Northeastern,91,3,0.154366224232035,2.21070839394633,8e626cbe-b0bb-456a-879c-6294980604f5,1132
27382,Chambers,01017,East Central,285,18,0.150563980768084,1.72306516183319,ed58861d-4c1c-4eb3-9a4a-ba2f4060bfbd,940
27383,Jackson,01071,Northern,45,2,0.287410215888713,2.67694940746419,2844f779-3418-4511-b957-05683c755ba0,930
27384,Pike,01109,Southeastern,62,0,0.166038209106773,2.23104055343355,891378bd-4b12-4cad-92fc-4674725418e6,545
27385,Covington,01039,Southeastern,33,1,0.255971892285061,2.38709591035509,4a7c38c1-1733-4338-97c5-24ff74517094,344
27386,Houston,01069,Southeastern,77,3,0.142463779205855,2.10452810210549,ed11fb8a-45f0-4409-af26-632494ff3e9c,661
27387,Lowndes,01085,East Central,38,1,0.179493868658938,2.34426217715912,57f0ad1f-d14c-48c3-96d9-f5bb97875703,120
27388,Macon,01087,East Central,34,2,0.152225727451423,2.0876916570357,a4b83776-03d2-4fa4-b092-42975d07ddf3,276
27389,Dale,01045,Southeastern,25,0,0.138259666605563,1.65151999951547,a5a3f99a-cb41-4a46-8568-030b53b2cbac,269
27390,Madison,01089,Northern,211,4,0.207245811581288,2.4192510631746,e1505119-80db-46a3-bb72-4818c8bfd09d,4761
27391,Washington,01129,Southwestern,26,1,0.26740407070929,2.63236527422465,836166d7-335e-44d2-b73d-f70c74faa609,152
27392,Wilcox,01131,Southwestern,56,1,0.224284362669096,2.68126387368409,f2e818f3-df01-47b5-aea0-395ce490756a,189
27393,Colbert,01033,Northern,23,2,0.15857369348987,2.31239229125845,101790fa-86c9-48dc-9cc4-cd477ded39e0,713
27394,Greene,01063,West Central,46,0,0.164666965815741,3.57766804402764,16b0509c-18be-4cd2-9e68-ad41397cc297,132
27395,Jefferson,01073,Jefferson,839,33,0.282606031405749,2.91318939557353,b7515286-d4a1-4c19-97d0-2240a19052c0,12918
27396,Lawrence,01079,Northern,12,0,0.182392737623559,1.92975383451283,932596c3-ed6e-4d30-a146-18f6cf7d4e1e,274
27397,Montgomery,01101,East Central,289,4,0.198182172648103,2.60770290702687,20162c46-45dd-46f7-ac7e-b1ef3f755f57,2343
27398,Russell,01113,East Central,53,0,0.160426072907967,2.13411394127528,05e8ba25-2fc5-4f21-b012-2477346a2e31,398
27399,Sumter,01119,West Central,53,2,0.227210820567734,3.07842876540608,cda6b430-fa02-4530-9096-5fb31ae67f5e,182
27400,Choctaw,01023,Southwestern,32,0,0.227681129400253,2.68700551554037,aeb33012-11b4-4075-80c3-59b344cc5024,120
