OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,162,4,2,19,24,30,21,27,18,14,3,0,0 to 89,45,98,64,0,162,0,0,3,157,11,1,4,157,0,1,161,2,2,0,4,0,0,0,0,1,2,1,0,0,0,0,38 to 56,50,4,0,0,0,0,4,0,0,0,0,0,0,0,4,2,2,4,0,0,157,0,162,157,4,0,3,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,985,25,36,99,148,135,157,163,104,87,26,5,0 to 118,47,578,364,43,982,3,0,59,812,125,16,52,930,0,3,979,29,23,0,52,0,8,5,6,6,11,4,9,3,0,0,6 to 82,46,32,19,1,0,1,49,2,13,0,8,0,0,1,52,23,29,52,0,0,927,3,985,930,52,1,68,31,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,152,13,5,6,17,25,21,25,22,14,4,0,0 to 118,49,78,63,11,152,0,0,11,140,35,3,1,149,1,1,150,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,149,0,152,149,1,0,12,7,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1573,60,41,106,228,248,231,269,194,123,71,2,0 to 118,48,987,543,43,1524,48,1,82,1364,132,53,124,1433,1,15,1509,70,49,0,119,1,1,4,19,16,12,23,23,16,9,0,3 to 96,58,86,16,7,10,10,98,11,37,1,22,0,0,1,124,53,71,118,5,1,1390,43,1573,1433,124,1,294,127,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,76,1,2,7,13,13,11,9,8,10,1,1,0 to 88,45,42,32,2,76,0,0,3,69,5,3,6,70,0,0,76,4,2,0,6,0,0,1,1,0,1,1,1,0,1,0,20 to 88,52,2,4,0,0,0,6,0,5,0,2,0,0,0,6,2,4,6,0,0,70,0,76,70,6,0,27,11,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,14059,179,215,901,1847,1998,2283,2418,1932,1234,700,352,0 to 115,52,7842,6042,175,13913,144,2,191,13459,655,134,2088,11597,312,62,13547,1019,1003,13,2035,8,10,129,228,281,319,348,321,273,146,25,0 to 104,56,701,234,137,963,228,803,1004,446,22,339,14,2,115,2088,1031,1044,2033,53,2,11512,85,14059,11597,2088,115,681,429,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,2191,38,44,143,279,341,388,370,312,199,75,2,0 to 99,51,1269,848,74,2185,6,0,143,1893,256,55,191,1953,2,45,2138,111,77,0,188,0,0,14,17,27,25,34,35,25,14,0,18 to 96,59,119,42,13,14,26,144,18,77,0,58,0,0,11,191,79,112,188,3,0,1950,3,2191,1953,191,11,71,56,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,4022,69,91,278,521,620,720,730,580,306,101,6,0 to 102,50,2435,1575,12,3995,27,0,112,3721,242,84,192,3800,5,25,3965,90,95,0,185,1,1,16,23,44,38,31,30,5,3,0,1 to 94,48,126,16,32,11,49,121,15,66,3,40,2,0,3,192,99,93,185,7,0,3780,20,4022,3800,192,3,381,202,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,291,7,8,26,47,55,55,43,36,9,4,1,0 to 96,45,190,99,2,289,1,1,3,245,36,7,47,244,0,0,290,33,13,0,46,0,0,3,8,10,12,9,4,1,0,0,20 to 81,46,6,22,0,18,0,25,21,1,0,4,0,0,0,47,13,34,45,1,1,244,0,291,244,47,0,70,33,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,2252,57,44,300,415,376,386,348,224,77,24,1,0 to 95,43,1275,916,61,2238,13,1,46,2043,142,51,174,2071,2,5,2232,92,76,2,170,1,2,23,37,29,31,28,20,1,2,0,2 to 86,44,71,63,5,31,12,124,34,45,3,21,1,0,1,174,77,95,169,4,1,2062,9,2252,2071,174,1,295,185,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,112,4,3,2,9,15,14,22,17,14,11,1,1 to 96,58,72,38,2,109,3,0,4,72,30,5,23,86,0,3,106,11,10,0,21,0,0,1,1,1,2,5,6,4,3,0,22 to 95,66,9,8,3,1,3,15,3,4,2,4,0,0,1,23,12,11,21,2,0,85,1,112,86,23,1,42,21,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,160,22,11,13,17,23,21,16,22,12,3,0,0 to 89,40,83,72,5,157,3,0,11,122,51,4,19,138,0,3,154,10,8,0,18,2,0,3,2,1,3,5,2,1,0,0,0 to 77,50,5,9,1,3,1,14,3,5,0,1,0,0,0,19,8,11,18,1,0,136,2,160,138,19,0,46,14,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,36,2,2,3,9,6,4,5,4,1,0,0,0 to 76,36,19,15,2,36,0,0,1,34,2,0,2,34,0,0,36,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,34,0,36,34,2,0,9,7,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,89,1,2,12,12,11,11,17,14,7,2,0,0 to 93,50,47,37,5,87,2,0,8,75,12,2,3,85,0,1,87,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,32 to 62,56,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,3,3,0,0,84,1,89,85,3,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,721,8,12,52,104,112,155,132,84,45,17,0,0 to 99,49,385,286,50,719,2,0,30,669,52,27,44,676,1,0,718,18,25,0,43,0,0,2,8,9,11,6,6,1,1,0,21 to 93,47,30,5,3,5,9,27,7,16,1,7,1,0,2,44,26,18,43,1,0,675,1,721,676,44,2,31,26,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,531,21,25,42,73,84,72,106,70,26,9,3,0 to 118,48,280,223,28,524,7,0,114,368,97,17,35,484,0,12,515,19,15,0,34,1,0,4,7,3,5,11,3,1,0,0,1 to 76,46,28,4,1,1,4,28,2,1,0,4,0,0,0,35,16,19,34,1,0,481,3,531,484,35,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,256,6,6,26,42,30,48,38,23,24,13,0,0 to 99,49,159,80,17,252,4,0,15,225,50,3,17,239,0,0,252,10,7,0,17,0,0,1,1,0,0,4,4,4,3,0,24 to 97,71,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,235,4,256,239,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,117,5,3,10,16,17,21,19,17,7,2,0,0 to 100,48,65,39,13,116,1,0,0,114,5,1,5,108,0,4,112,1,4,0,5,0,0,0,1,2,1,0,1,0,0,0,27 to 73,44,4,0,0,1,0,4,1,2,0,0,0,0,0,5,4,1,5,0,0,107,1,117,108,5,0,4,4,1251550190.83949,175658.620344926
