ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,37,1875,5,126,14,526,178,106,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,116,17518,26,1500,63,2873,1322,878,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,55,4058,2,249,26,1145,589,198,5,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,113,5738,7,286,26,976,288,200,2,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,15,531,Â 0,42,7,170,128,34,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,72,1830,1,57,6,190,146,29,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,191,16852,10,1569,46,1921,783,521,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,37,1966,2,127,14,381,167,95,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,138,17748,24,1106,15,698,370,163,6,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,36,920,2,55,4,203,159,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,158,6162,9,431,23,1021,442,282,1,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,78,7541,12,531,51,1426,589,384,4,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,105,8165,14,656,49,1618,682,379,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,113,15426,14,855,25,998,584,308,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,11,481,2,23,4,45,23,14,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,36,4349,2,384,32,913,528,272,6,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,9,1069,1,140,5,241,117,100,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,111,15122,17,994,29,1262,557,439,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,10,1100,1,122,7,400,101,103,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,41,6139,8,581,41,1156,552,430,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,129,14954,9,913,42,1483,652,442,7,1.62072838209013,0.0871537443231625
