County,Cases,Deaths,Recovered,ReportDate
TULSA,3103,66,1866,2020-06-26
OKLAHOMA,2486,69,1809,2020-06-26
TEXAS,984,6,968,2020-06-26
CLEVELAND,780,40,554,2020-06-26
MCCURTAIN,394,3,155,2020-06-26
WASHINGTON,391,38,325,2020-06-26
COMANCHE,386,5,345,2020-06-26
PAYNE,335,1,160,2020-06-26
CANADIAN,238,3,172,2020-06-26
WAGONER,234,18,167,2020-06-26
CADDO,184,10,167,2020-06-26
OSAGE,154,8,118,2020-06-26
ROGERS,152,5,102,2020-06-26
MCCLAIN,141,4,115,2020-06-26
CREEK,134,7,109,2020-06-26
GRADY,128,5,113,2020-06-26
DELAWARE,124,16,97,2020-06-26
ADAIR,111,4,92,2020-06-26
CHOCTAW,108,1,100,2020-06-26
MUSKOGEE,103,9,70,2020-06-26
POTTAWATOMIE,96,4,70,2020-06-26
KAY,86,7,60,2020-06-26
BRYAN,83,1,56,2020-06-26
CARTER,82,1,61,2020-06-26
MAYES,75,4,53,2020-06-26
CHEROKEE,73,1,53,2020-06-26
GREER,66,7,57,2020-06-26
GARFIELD,64,2,49,2020-06-26
GARVIN,58,1,31,2020-06-26
PITTSBURG,55,3,43,2020-06-26
STEPHENS,55,1,46,2020-06-26
CUSTER,54,0,43,2020-06-26
OKMULGEE,54,0,35,2020-06-26
PAWNEE,51,2,40,2020-06-26
MCINTOSH,49,1,23,2020-06-26
OTTAWA,44,2,40,2020-06-26
LOGAN,39,1,22,2020-06-26
NOBLE,36,0,17,2020-06-26
SEMINOLE,36,3,30,2020-06-26
JACKSON,35,3,26,2020-06-26
NOWATA,33,1,25,2020-06-26
PONTOTOC,32,2,19,2020-06-26
SEQUOYAH,31,3,18,2020-06-26
LE FLORE,30,1,20,2020-06-26
BEAVER,30,0,30,2020-06-26
LOVE,29,0,26,2020-06-26
LINCOLN,28,2,22,2020-06-26
MARSHALL,25,0,18,2020-06-26
KINGFISHER,25,0,15,2020-06-26
TILLMAN,23,1,22,2020-06-26
CRAIG,19,0,17,2020-06-26
ATOKA,16,0,9,2020-06-26
MURRAY,16,0,13,2020-06-26
BLAINE,15,0,11,2020-06-26
OKFUSKEE,12,0,6,2020-06-26
WOODWARD,12,0,10,2020-06-26
BECKHAM,11,0,8,2020-06-26
JOHNSTON,10,0,7,2020-06-26
PUSHMATAHA,10,0,7,2020-06-26
LATIMER,9,1,6,2020-06-26
HASKELL,8,0,7,2020-06-26
MAJOR,8,1,5,2020-06-26
HUGHES,7,0,3,2020-06-26
COAL,7,0,5,2020-06-26
KIOWA,6,1,5,2020-06-26
COTTON,6,2,3,2020-06-26
WOODS,5,0,5,2020-06-26
JEFFERSON,5,0,4,2020-06-26
DEWEY,5,0,4,2020-06-26
WASHITA,3,0,2,2020-06-26
GRANT,2,0,2,2020-06-26
CIMARRON,1,0,1,2020-06-26
HARPER,1,0,1,2020-06-26
ELLIS,1,0,1,2020-06-26
ALFALFA,1,0,1,2020-06-26
