ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,764,15,16,86,102,108,116,118,98,69,36,0,0 to 118,50,431,322,11,764,0,0,11,672,2,100,2,89,675,0,0,764,71,18,0,0,20,69,0,89,2,4,13,17,18,16,15,3,1,0,0,0 to 79,39,62,10,15,2,25,59,5,4,0,0,0,0,0,89,69,20,89,0,0,2147,0,2239,2147,89,0,140,123,39,,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3517,72,122,339,504,434,549,595,431,299,161,11,0 to 118,50,2207,1270,40,3509,8,0,87,3188,133,322,22,285,3229,1,2,3506,179,106,0,0,164,121,0,285,4,29,47,42,38,39,35,26,18,7,0,2 to 98,40,132,122,11,20,18,244,23,48,0,32,0,0,6,285,121,164,285,0,0,5796,8,6090,5804,285,6,186,117,40,,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,898,33,20,79,134,114,112,164,142,73,23,4,0 to 118,50,495,372,31,890,8,0,17,761,3,150,28,71,826,1,0,889,59,11,1,0,23,47,0,70,0,2,14,23,13,2,8,3,6,0,0,6 to 84,32,45,4,18,3,26,41,3,17,0,6,0,0,0,71,47,24,70,1,0,1307,7,1387,1314,71,0,186,84,32,,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7191,164,156,579,1059,1027,940,1090,828,735,572,41,0 to 119,51,4350,2801,40,7045,145,1,168,6495,137,448,77,541,6649,0,1,7045,419,109,8,5,265,263,0,528,6,24,75,115,88,74,70,44,29,15,1,0 to 96,40,383,47,46,52,147,327,54,98,2,58,1,0,6,541,271,270,527,13,1,11788,132,12470,11920,541,6,1021,590,43,,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,551,5,4,44,51,81,76,93,85,72,39,1,0 to 99,56,330,203,18,551,0,0,5,450,4,57,5,79,472,0,0,551,63,16,0,0,59,20,0,79,0,0,7,7,6,3,4,9,21,22,0,19 to 99,77,56,10,0,13,1,57,21,11,0,7,0,0,6,79,20,59,79,0,0,705,0,787,705,79,6,118,56,78,,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,71996,1079,1661,5443,8782,8712,10160,12170,10806,7572,4002,1609,0 to 119,54,39378,32325,293,71216,778,2,2594,63948,465,8786,368,12498,59148,190,160,70871,12211,148,133,6,6140,6191,28,12359,189,452,1665,2171,2003,1888,1617,1056,821,624,12,0 to 104,43,5111,2114,2004,3130,4217,4893,3249,2287,37,1690,23,13,490,12498,6275,6195,12357,139,2,120735,636,134103,121371,12498,490,3797,3532,44,,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,10649,182,219,744,1305,1323,1647,1855,1700,1096,545,33,0 to 119,54,6116,4322,211,10502,147,0,452,9126,188,1368,74,1441,9116,5,87,10410,1354,75,12,0,760,665,4,1429,28,43,173,252,215,252,202,132,83,59,2,0 to 98,45,504,243,119,563,245,531,653,221,1,156,2,0,45,1441,670,767,1429,12,0,19406,135,20990,19541,1441,45,610,595,46,,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,14500,281,342,1172,1768,1971,2287,2534,2206,1333,574,32,0 to 119,52,8429,6026,45,14423,77,0,312,13224,223,1056,117,1326,13134,2,38,14383,1261,53,11,1,685,629,0,1314,26,31,242,240,220,207,162,126,47,23,2,0 to 96,40,755,109,146,304,258,700,356,197,4,116,3,1,17,1326,635,691,1314,12,0,29843,65,31245,29908,1326,17,1865,1313,43,,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,2965,51,100,216,493,503,522,468,388,141,81,2,0 to 119,47,2049,904,12,2947,17,1,41,2680,46,352,16,352,2609,1,3,2944,339,9,4,0,244,104,0,348,4,14,24,69,76,69,39,32,15,10,0,0 to 98,43,138,149,17,44,42,246,60,72,0,59,0,0,6,352,104,248,347,4,1,5224,13,5595,5237,352,6,413,219,43,,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13230,190,315,1733,2153,1927,1999,2124,1739,677,342,31,0 to 119,46,6847,6231,152,12995,234,1,212,12311,201,708,96,695,12398,3,134,12859,653,10,31,1,347,316,0,663,3,28,269,118,78,71,72,40,12,4,0,0 to 91,27,232,299,27,105,48,491,124,101,11,45,9,7,8,695,332,363,662,32,1,23870,202,24772,24072,695,8,830,411,30,,2.42861632663576,0.170704044186268
