ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
238,,ADAIR,,,,88,0,,,,,,,,,,,,,,ec72a9a2-47e8-4231-b7fc-c3695d22cc3f,2020/06/26 21:14:03.707+00,H.Withrow,2020/06/26 22:49:54.786+00,H.Withrow,,,,,,,,,,,
239,,ANDREW,,,,45,0,,,1739,1525,1526,1581,1076,,,,712,1313,,87c708fb-c4c4-476b-a449-656768ad5b91,2020/06/26 21:14:03.926+00,H.Withrow,2020/06/26 22:49:55.051+00,H.Withrow,1603,1635,1419,1553,1452,882,1882,,,,
240,,ATCHISON,,,,3,0,,,,,,,,,,,,,,f556e7eb-3fc9-4c28-b2d2-e458399967c7,2020/06/26 21:14:04.214+00,H.Withrow,2020/06/26 22:49:55.314+00,H.Withrow,,,,,,,,,,,
241,,AUDRAIN,,,,139,1,,,,,,,,,,,,,,12430f68-9603-4023-b6bc-5dac30a0e798,2020/06/26 21:14:04.450+00,H.Withrow,2020/06/26 22:49:55.617+00,H.Withrow,,,,,,,,,,,
242,,BARRY,,,,36,0,,,,,,,,,,,,,,c8ff4efe-fbd7-4a98-b222-ca3c7864de13,2020/06/26 21:14:04.573+00,H.Withrow,2020/06/26 22:49:55.867+00,H.Withrow,,,,,,,,,,,
243,,BARTON,,,,21,0,,,,,,,,,,,,,,aa2a35eb-0c2d-4e98-b72a-6cfab652ba03,2020/06/26 21:14:04.719+00,H.Withrow,2020/06/26 22:49:56.039+00,H.Withrow,,,,,,,,,,,
244,,BATES,,,,12,1,,,,,,,,,,,,,,497cc730-617a-4c19-815a-0fae60756c96,2020/06/26 21:14:04.875+00,H.Withrow,2020/06/26 22:49:56.195+00,H.Withrow,,,,,,,,,,,
245,,BENTON,,,,17,0,,,,,,,,,,,,,,8d807494-2e2e-48bb-ba03-1b675b0931c9,2020/06/26 21:14:05.016+00,H.Withrow,2020/06/26 22:49:56.367+00,H.Withrow,,,,,,,,,,,
246,,BOLLINGER,,,,13,0,,,,,,,,,,,,,,05cbe797-9516-4a8f-8ca2-b04cf9a4d7b2,2020/06/26 21:14:05.172+00,H.Withrow,2020/06/26 22:49:56.601+00,H.Withrow,,,,,,,,,,,
247,,BOONE,,,,313,2,,,,,,,,,,,,,,a5e91ddd-0e40-4d43-9d7e-9d397e9dd9b1,2020/06/26 21:14:05.344+00,H.Withrow,2020/06/26 22:49:56.758+00,H.Withrow,,,,,,,,,,,
