ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,59,1649,11,99,13,653,85,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,61,17080,14,1423,63,4081,857,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,67,3782,14,228,25,1531,183,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,72,5172,11,256,26,1123,188,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,4,483,2,39,7,258,30,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,28,1471,5,48,5,287,24,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,69,15824,22,1496,46,2586,526,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,27,1756,5,98,14,521,80,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,97,17134,25,1032,15,1059,164,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,8,764,1,48,4,333,32,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,105,5612,15,374,23,1348,254,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,74,7164,14,480,51,1927,354,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,51,7742,23,595,48,2126,353,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,130,14887,20,802,25,1487,306,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,9,438,Â 0,18,4,50,11,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,28,4159,7,348,32,1408,269,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,5,1046,1,137,5,346,102,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,79,14385,22,930,29,1797,435,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,5,1068,1,115,7,491,96,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,29,5954,9,539,41,1734,411,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,94,14332,22,841,42,2007,408,1.62072838209013,0.0871537443231625
