"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Alameda","178","4","http://www.acphd.org/2019-ncov.aspx","100 in Alameda County (excluding Berkeley), plus 6 in Berkeley","","","","","","","","","","","","","","","","","","","",""
"Alpine","0","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","","",""
"Amador","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","",""
"Butte","5","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","",""
"Calaveras","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","",""
"Colusa","0","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","131","1","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","43","6","37","0","","","","","","","","","","","","","","","",""
"El Dorado","9","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","","",""
"Fresno","27","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","14","","3","3","7","","","","","","","","","",""
"Glenn","0","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","4","0","4","0","","","","","","","","","","","","","","","",""
"Humboldt","12","0","https://humboldtgov.org/2707/COVID-Test-Results","","351","","","","","","","","","","1","1","","","","","","","",""
