"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/7/2020 12:26:55","634","15","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","4/7/2020 17:05:26","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","","","","","","","","","","","1","","","","","","","","","","","",""
"Amador","4/7/2020 17:05:56","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","2","2","","","","","","","","","","",""
"Butte","4/7/2020 17:10:01","13","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/6/2020 16:43:26","5","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","2","","","","","","","","","","","",""
"Colusa","4/6/2020 16:43:37","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/7/2020 12:28:01","442","7","https://cchealth.org/coronavirus/","","5831","","","","","","","","","","","29","currently","","","","","","","BANG","","",""
"Del Norte","4/7/2020 17:11:13","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","126","4","120","2","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/7/2020 17:11:43","28","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","860","120","710","28","","","","","","","","","","","","","","","","","","",""
"Fresno","4/7/2020 17:12:27","146","3","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","","","","","","36","","25","37","48","6","14","","","","","","","","","","x",""
"Glenn","4/6/2020 16:45:50","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","36","2","32","2","","","","","","","","","","","","","","","","","","",""
"Humboldt","4/7/2020 17:13:43","50","0","https://humboldtgov.org/2707/COVID-Test-Results","","1189","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/7/2020 17:14:13","73","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","596","","","","","","","","","","11","","","","","","","","","","","",""
