ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
27,27,35,069,LAKE,Lake,FL,15327,210,240,819,1411,1496,1902,2487,2831,2010,664,1257,0 to 103,59,8006,6244,1077,15191,136,0,169,14666,222,586,95,646,14670,0,11,15182,615,16,15,0,271,359,1,631,3,16,87,112,93,105,87,68,60,15,0,0 to 103,45,333,92,128,78,135,391,105,147,12,89,5,1,19,646,368,277,631,15,0,25486,119,26263,25605,646,19,605,313,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1721,26,27,163,223,189,229,333,264,187,79,1,0 to 118,55,1001,703,17,1720,1,0,23,1471,16,293,3,137,1584,0,0,1720,134,3,0,0,45,92,0,137,1,1,28,35,26,12,19,8,4,3,0,3 to 99,36,40,8,81,8,82,47,8,12,0,7,0,0,1,137,92,45,137,0,0,2620,1,2760,2621,137,1,211,161,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,3848,28,27,90,172,183,297,512,1424,896,133,86,0 to 119,69,1885,1761,202,3773,75,0,117,3481,164,277,56,277,3548,0,23,3750,227,48,1,1,81,194,0,275,1,2,7,7,34,42,41,90,44,9,0,4 to 92,65,227,34,5,9,18,246,11,58,0,45,0,0,17,277,196,81,275,2,0,5814,73,6169,5887,277,17,64,52,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,17041,216,387,1477,2155,2272,2632,2849,2498,1179,505,871,0 to 119,50,9684,7229,128,17000,41,0,302,16180,246,671,99,1101,15931,1,8,16993,1038,54,9,0,580,512,0,1092,14,19,299,215,150,153,96,87,42,26,0,0 to 100,35,731,123,98,140,299,570,223,231,5,129,1,0,14,1101,515,586,1092,9,0,26966,30,28109,26996,1101,14,701,458,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,63631,1106,1440,5153,9173,9388,10090,10331,7416,3507,1342,4685,0 to 120,48,35048,28226,357,62555,1075,1,748,61264,585,2010,412,4274,59323,0,34,62522,4054,103,113,4,1946,2169,42,4157,61,106,859,1003,714,652,501,232,102,42,2,0 to 101,36,1307,686,952,1212,1109,1363,1685,758,45,389,37,5,48,4274,2237,1994,4156,117,1,99180,958,104473,100138,4274,48,1104,880,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,3927,38,70,183,364,352,459,723,906,625,198,9,0 to 222,61,2183,1543,201,3920,7,0,58,3587,119,253,26,168,3757,1,1,3919,97,71,0,0,83,85,0,168,2,5,16,15,12,26,41,22,18,11,0,0 to 97,58,123,11,8,26,16,126,26,32,0,34,0,0,12,168,85,83,168,0,0,7862,6,8039,7868,168,12,679,224,58,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,3800,65,60,284,490,450,557,692,558,404,236,4,0 to 102,54,2307,1472,21,3780,20,0,73,3548,66,187,42,158,3642,0,0,3780,100,52,5,1,74,78,0,152,1,7,12,33,21,25,29,18,10,2,0,1 to 88,46,118,20,6,8,32,109,11,49,2,29,2,1,5,158,80,78,152,6,0,7983,14,8156,7997,158,5,286,235,49,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,38116,362,502,2314,4579,4374,5495,7332,6746,4094,2224,94,0 to 120,57,22165,15844,107,37786,330,0,2009,34378,411,3959,379,3153,34909,1,53,37732,2955,141,50,7,1783,1299,14,3096,32,115,383,667,416,421,385,304,222,195,13,0 to 102,43,1441,758,160,737,250,1959,887,566,19,503,17,1,113,3153,1333,1806,3096,57,0,68461,273,71908,68734,3153,113,513,421,56,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2164,58,49,166,274,249,258,351,301,236,212,10,0 to 118,55,1377,705,82,2159,5,0,61,1879,110,539,15,229,1935,0,0,2159,115,109,2,3,141,83,0,224,4,9,23,24,33,35,28,23,30,20,0,0 to 102,51,138,46,17,23,47,156,21,42,1,43,0,0,18,229,85,144,224,5,0,2725,0,2956,2725,229,18,63,59,63,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,48574,784,1020,4315,7710,7073,7473,8730,6426,3287,1642,113,-6 to 119,49,26839,20989,746,47966,608,0,667,46176,454,2060,210,2484,46044,11,35,47920,2194,209,71,10,1268,1134,1,2403,41,68,333,518,418,343,354,228,116,64,1,0 to 101,41,971,728,354,350,412,1595,396,439,21,315,11,3,60,2484,1177,1304,2403,81,0,73740,527,76796,74267,2484,60,1575,1458,50,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,349,6,0,43,42,39,35,37,47,55,44,1,0 to 119,58,224,118,7,349,0,0,12,330,0,19,1,18,331,0,0,349,13,5,0,0,8,10,0,18,1,0,3,4,1,3,2,2,0,2,0,3 to 98,40,17,1,0,0,4,14,0,3,0,2,0,0,0,18,10,8,18,0,0,427,0,446,427,18,0,14,14,47,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,613,11,14,36,57,64,102,123,122,65,19,0,0 to 94,56,361,249,3,557,56,0,17,582,1,53,12,11,602,0,0,557,9,0,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,9 to 70,48,7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1203,54,1268,1257,11,0,23,20,42,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1166,11,17,54,76,108,139,399,277,71,14,0,0 to 118,59,316,843,7,1166,0,0,15,1125,4,73,4,39,1127,0,0,1166,36,3,0,0,6,33,0,39,0,0,0,5,1,3,17,11,2,0,0,25 to 80,62,24,11,2,2,1,36,2,8,0,8,0,0,2,39,33,6,39,0,0,2022,0,2061,2022,39,2,29,27,55,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1474,20,26,117,187,168,222,290,189,146,103,6,0 to 118,54,924,525,25,1472,2,0,29,1393,34,152,1,58,1415,0,1,1471,18,40,0,0,45,13,0,58,0,2,4,3,8,7,5,6,12,11,0,8 to 107,64,49,7,2,0,1,56,1,7,0,12,0,0,2,58,13,45,58,0,0,2092,2,2153,2094,58,2,141,109,74,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,1252,13,29,87,138,168,212,245,213,107,39,1,0 to 102,53,707,534,11,1248,4,0,12,1188,13,193,4,37,1215,0,0,1248,19,16,2,0,24,11,0,35,0,0,5,6,5,10,6,3,1,1,0,18 to 86,46,19,13,3,0,0,35,0,7,0,5,0,0,1,37,11,26,35,2,0,1765,2,1804,1767,37,1,101,26,43,2.72889764150517,0.147928217310253
42,42,5,009,BREVARD,Brevard,FL,19567,261,346,1092,1865,2110,2719,4417,3948,2102,557,150,0 to 119,58,11118,8343,106,19549,18,0,187,18957,107,664,86,748,18817,0,2,19547,676,60,10,2,378,354,4,736,14,23,109,111,120,106,124,71,40,29,1,0 to 99,44,517,69,58,92,198,440,98,171,3,88,3,0,16,748,358,386,736,12,0,32421,6,33177,32427,748,16,656,598,53,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,19005,446,500,1389,2363,2454,2730,3095,2985,1907,797,339,0 to 119,52,11010,7812,183,18912,93,0,391,17200,231,1557,141,1856,17137,1,11,18900,1663,179,13,1,1058,784,0,1842,24,56,210,271,304,263,248,197,165,117,1,0 to 103,46,1116,321,207,198,565,1033,244,568,9,401,5,0,77,1856,789,1067,1842,14,0,33295,79,35237,33374,1856,77,1236,666,56,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,13485,172,351,934,1836,1932,2231,2328,1782,885,322,712,0 to 155,50,7553,5861,71,13408,77,0,466,12141,390,936,211,960,12477,2,46,13361,875,36,47,2,457,454,0,911,12,22,95,188,146,174,143,100,62,17,1,0 to 102,45,443,84,344,40,542,286,83,271,8,165,7,2,23,960,490,470,911,49,0,18838,27,19841,18865,960,23,760,248,50,3.37526858197538,0.357928282021791
