County	Latitude (generated)	Longitude (generated)	Count
Yuma	32.7539	-113.9364	4
Yavapai	34.7064	-112.4429	13
Santa Cruz	31.5332	-110.812	2
Pinal	32.9849	-111.4931	41
Pima	31.9681	-111.7806	120
Navajo	35.3134	-110.2972	57
Mohave	35.6177	-113.9958	5
Maricopa	33.2798	-112.7681	454
La Paz	33.6724	-113.9329	2
Greenlee	33.1001	-109.2714	0
Graham	33.0361	-109.958	2
Gila	33.7446	-110.685	1
Coconino	35.6465	-112.0424	56
Cochise	31.8901	-109.7497	3
Apache	35.3025	-109.4451	13
