OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,699,7,7,33,52,51,84,102,132,146,85,0,0,0,2,1,3,4,5,13,16,6,0,0 to 99,62,21 to 90,42,0,367,329,3,672,27,0,306,360,33,18,12,20,22,9,19,2,672,50,622,0,27,257,44,61,50,26,24,42,8,0,607,15,699,622,50,2,158,80,0.137455100861871,2.51442395634828
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,98,2,1,5,23,15,9,16,11,13,3,0,0,0,0,4,0,0,2,0,0,1,0,2 to 91,50,27 to 91,7,0,37,27,34,98,0,0,37,61,0,4,2,1,4,2,1,0,59,7,52,0,39,8,18,15,7,5,2,7,0,0,52,0,98,52,7,0,4,4,0.150723124235356,1.62412905311109
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,150,1,1,10,19,18,21,28,35,13,4,0,0,0,1,1,1,1,5,3,1,0,0,1 to 93,53,17 to 77,12,0,89,61,0,148,2,0,17,122,11,10,1,2,12,0,1,0,150,13,137,0,0,3,40,11,13,7,6,12,1,0,136,1,150,137,13,0,51,29,0.120416345920148,2.09459077681281
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,39,0,2,2,6,9,4,10,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,7 to 86,48,39 to 39,1,0,21,18,0,39,0,0,3,35,1,0,1,0,1,0,0,0,38,1,37,0,1,4,3,0,1,0,1,1,0,0,37,0,39,37,1,0,4,4,0.279063453466733,2.75195800128411
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,222,4,3,16,15,21,26,50,44,30,12,1,0,0,0,3,0,2,3,4,4,0,0,0 to 105,56,25 to 84,15,0,133,85,4,220,2,0,19,175,28,12,0,4,15,0,1,0,215,16,199,0,7,27,8,12,16,7,9,15,1,0,198,1,222,199,16,0,70,49,0.12074147872454,2.23772404810418
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,8026,78,114,594,1354,1475,1531,1308,950,416,199,7,2,3,89,125,135,140,149,110,41,26,0,0 to 106,48,0 to 97,801,0,3872,3401,753,7938,88,0,701,6950,375,204,348,268,394,327,99,11,7875,820,7053,2,151,361,461,550,820,444,308,801,19,0,6989,65,8026,7054,820,11,695,505,0.283663156598777,2.79197632720633
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,483,27,20,46,102,63,74,78,51,17,5,0,0,0,3,4,3,8,7,1,1,1,0,0 to 94,42,22 to 94,27,0,311,170,2,452,31,0,27,440,16,12,12,4,24,2,2,0,482,28,454,0,1,22,19,8,28,13,15,27,1,0,424,30,483,454,28,0,49,27,0.166409867704033,4.36918307875198
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,44,0,3,6,4,4,6,9,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8 to 84,49,NA,0,0,23,21,0,43,1,0,21,16,7,0,0,0,0,0,0,0,43,0,43,0,1,24,2,1,0,0,0,0,0,0,42,1,44,43,0,0,2,1,0.210545212249372,2.58761126719217
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,15,0,1,1,0,1,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7 to 84,60,NA,0,0,6,9,0,15,0,0,4,10,1,0,0,0,0,0,0,0,15,0,15,0,0,5,1,0,0,0,0,0,0,0,15,0,15,15,0,0,1,1,0.135013808637041,4.43935170101401
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,1200,58,20,229,246,159,123,131,133,51,29,21,1,0,19,12,7,6,9,10,2,1,1,0 to 101,41,2 to 91,64,0,736,454,10,1186,14,0,175,997,28,11,48,9,17,44,7,0,1179,68,1111,0,21,43,33,9,68,30,37,64,4,0,1101,10,1200,1111,68,0,37,26,0.233996913312694,2.62533240184905
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,712,13,18,40,100,116,127,118,108,49,21,2,0,2,3,3,6,12,9,11,3,1,0,0 to 96,50,12 to 91,48,0,399,276,37,707,5,0,126,530,56,21,6,23,32,7,11,2,679,50,629,0,33,91,66,58,50,36,14,48,2,0,627,2,712,629,50,2,80,65,0.154879969133162,3.24633645633305
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,11,0,0,1,3,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21 to 95,49,NA,0,0,6,5,0,3,8,0,0,11,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,3,8,11,11,0,0,10,9,0.0365049482570612,0.677301450262072
