ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,277,5,6,27,43,39,44,47,35,23,8,0,0 to 98,48,172,102,3,277,0,0,4,271,2,12,1,6,270,0,1,276,6,0,0,0,4,2,0,6,0,0,0,1,1,2,2,0,0,0,0,25 to 61,50,5,1,0,0,0,6,0,1,0,0,0,0,0,6,2,4,6,0,0,270,0,277,270,6,0,12,2,50,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,1898,41,61,180,251,249,303,294,227,183,103,6,0 to 118,50,1215,640,43,1893,5,0,70,1686,133,196,17,120,1775,0,3,1890,76,44,0,0,72,48,0,120,0,11,13,13,19,18,10,18,10,8,0,6 to 98,47,69,48,3,0,2,116,2,29,0,17,0,0,4,120,48,72,120,0,0,1770,5,1898,1775,120,4,89,29,42,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,250,20,10,13,34,34,37,43,33,19,6,1,0 to 118,48,124,102,24,250,0,0,14,219,3,63,3,3,247,0,0,250,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,247,0,250,247,3,0,16,5,47,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,2944,96,66,236,495,494,421,481,323,191,110,31,0 to 118,46,1775,1133,36,2817,126,1,88,2661,137,170,59,161,2781,1,1,2816,84,70,3,4,81,73,0,154,2,3,5,21,21,19,32,27,20,11,0,0 to 96,58,121,26,6,1,24,129,1,46,1,26,0,0,5,161,77,84,153,7,1,2662,119,2944,2781,161,5,415,157,58,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,168,1,3,15,24,30,22,21,19,22,10,1,0 to 94,48,92,70,6,168,0,0,3,149,4,12,3,15,151,1,1,166,7,8,0,0,10,4,1,15,0,0,2,2,2,1,1,2,1,4,0,20 to 89,58,7,6,1,1,0,14,1,8,0,3,0,0,0,15,4,10,15,0,0,151,0,168,151,15,0,51,19,52,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,35059,485,577,2214,4202,4417,5288,6439,5232,3214,1644,1347,0 to 115,54,19450,15433,176,34671,386,2,331,33974,465,1199,145,3390,31391,218,60,34400,3204,125,55,6,1645,1682,2,3329,16,36,255,426,490,505,550,471,395,242,4,0 to 104,54,1503,529,327,970,697,1580,1052,671,24,498,15,9,205,3390,1719,1669,3327,61,2,31071,320,35059,31391,3390,205,701,438,55,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,3869,70,85,260,478,544,665,691,560,353,155,8,0 to 102,52,2241,1513,115,3826,43,0,210,3343,188,459,65,259,3556,3,51,3772,233,17,9,0,148,102,0,250,2,4,18,22,39,34,42,44,30,24,0,3 to 97,58,150,60,17,23,34,188,28,100,0,76,0,0,25,259,105,154,250,9,0,3522,34,3869,3556,259,25,72,58,58,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,6949,114,146,489,861,1012,1167,1229,1015,632,277,7,0 to 103,52,4179,2746,24,6904,45,0,128,6545,223,383,88,284,6637,6,22,6876,235,41,7,1,148,128,0,276,5,6,24,33,57,58,40,37,13,11,0,1 to 94,48,179,32,40,25,60,185,31,76,3,53,2,1,8,284,132,152,276,8,0,6600,37,6949,6637,284,8,516,182,48,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,731,20,25,63,103,120,145,113,94,36,11,1,0 to 96,48,457,264,10,729,1,1,9,627,46,104,9,115,616,0,0,730,107,7,1,0,75,39,0,114,1,2,8,16,25,31,15,12,5,0,0,4 to 83,46,18,67,2,27,4,75,35,19,0,19,0,0,0,115,39,76,113,1,1,616,0,731,616,115,0,140,58,45,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,4631,86,113,529,770,701,761,814,593,178,81,5,0 to 116,46,2572,1939,120,4561,69,1,86,4278,201,247,62,243,4377,2,9,4551,220,9,13,1,125,104,0,229,1,3,31,50,40,42,47,22,4,3,0,2 to 87,44,95,112,6,16,14,196,19,63,8,32,8,4,5,243,112,131,228,14,1,4322,55,4631,4377,243,5,412,182,43,2.42861632663576,0.170704044186268
