ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Number_COVID_Cases_Confirmed,Total_Number_of_COVID_Deaths_,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,56,1190,Â 0,51,12,475,42,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,179,16460,46,1261,63,3915,724,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,110,3207,15,164,23,1153,125,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,183,4251,18,180,25,871,136,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,14,369,2,26,7,156,18,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,47,985,4,23,5,125,7,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,211,14840,27,1319,46,2086,473,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,39,1467,9,61,11,265,40,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,237,16099,25,870,15,950,183,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,14,679,2,38,4,291,25,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,132,4743,24,280,21,1022,183,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,119,6490,13,398,49,1621,263,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,73,7060,22,469,45,1719,237,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,319,13797,29,663,25,1219,245,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,36,347,1,15,3,36,7,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,78,3820,8,306,31,1250,210,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,8,987,4,120,5,329,85,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,163,13503,31,768,29,1476,347,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,4,982,4,91,7,426,69,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,81,5625,25,474,41,1446,342,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,341,13142,25,667,42,1771,390,1.62072838209013,0.0871537443231625
