OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,REPORTED_DEATH,GlobalID,LabTestCount
17026,Autauga,01001,East Central,19,1,0.150198352049983,2.1379328255407,1,9b6a1626-47f6-41e0-94df-9138b3584ca8,241
17027,Baldwin,01003,Southwestern,78,0,0.400159431601878,6.69300034847276,1,f6e398bf-2fa2-404b-a37a-9dec9319d51b,1025
17028,Barbour,01005,Southeastern,9,0,0.223267704174077,2.69097505269632,0,f9025739-81f9-47ba-8f17-16d6437ae58a,93
17029,Bibb,01007,West Central,17,0,0.156476914356972,1.8951692775798,0,185fb08e-601e-4b13-a000-c2a2cbba8dfd,190
17030,Blount,01009,Northeastern,15,0,0.164406638341006,2.45274784751908,0,ce04c869-5b3d-4554-b0f5-82b89d6911fd,156
17031,Bullock,01011,East Central,6,0,0.154671563531792,2.06480197165101,0,0feb8d5e-b3b5-4932-b26d-ac51f078f33a,41
17032,Butler,01013,Southeastern,8,0,0.191776547733298,1.83587954870993,0,c729bcbf-48f9-47ad-a30d-122806e8c509,78
17033,Calhoun,01015,Northeastern,61,0,0.154366224232035,2.21070839394633,0,daaff5ef-8e3c-480e-adb1-9ee7d4335aa9,348
17034,Chambers,01017,East Central,212,8,0.150563980768084,1.72306516183319,8,bf379274-0c5f-4248-9ed2-df29ff0281b9,470
17035,Cherokee,01019,Northeastern,9,0,0.151975822791428,1.89808177880757,0,db95638d-40b9-462e-8006-c0924ca0820c,73
17036,Chilton,01021,West Central,33,0,0.174837510280213,2.09165532433194,0,ef3525f5-f9e1-4e34-a3ba-01f72f7313b5,194
17037,Choctaw,01023,Southwestern,10,0,0.227681129400253,2.68700551554037,0,c59bf454-022e-46ae-ba88-fa8629f0da64,45
17038,Clarke,01025,Southwestern,19,0,0.308508819690587,3.78655552072513,0,6fc0bc0a-847f-4a49-b53f-b0143faeda55,168
17039,Clay,01027,Northeastern,14,0,0.151874743437702,2.02332180215824,0,e375536a-625e-456c-a326-9940f9f40e24,88
17040,Cleburne,01029,Northeastern,12,0,0.141259985723536,2.17578212063938,0,51e270dc-5b5a-416f-8da4-0084931b7f49,37
17041,Coffee,01031,Southeastern,36,0,0.167143203828118,1.67989540600381,0,f1905290-143c-4478-bc7f-15da016112cc,205
17042,Colbert,01033,Northern,10,1,0.15857369348987,2.31239229125845,1,1d97f05c-6f91-449f-852d-bb8848995264,329
17043,Conecuh,01035,Southwestern,5,0,0.209509978242295,2.59686142559656,0,de47a47e-7abd-4f03-82bb-d64e25cbf758,61
17044,Coosa,01037,East Central,18,0,0.16640708911109,1.7505584986585,1,fb9c35de-af7b-4d4e-bc9d-5d3dc6941c76,45
17045,Covington,01039,Southeastern,13,0,0.255971892285061,2.38709591035509,0,e99493b9-ea8d-4155-b90f-0447bf329601,146
17046,Crenshaw,01041,Southeastern,3,0,0.150571897113878,2.31806123117494,0,119d2464-2511-493f-b30b-e56a97cd4c02,109
17047,Cullman,01043,Northern,39,0,0.191087821164047,2.50218505547441,1,3042be5e-bd8a-491f-b500-41ca9ec067be,320
17048,Dale,01045,Southeastern,12,0,0.138259666605563,1.65151999951547,0,611ef6cb-4654-4fba-8235-761073d7d46a,133
17049,Dallas,01047,Southwestern,14,0,0.246497505086154,3.13752996820932,0,bbb8aa72-eec7-4d7f-a19c-2ca7c28aa18f,179
17050,DeKalb,01049,Northeastern,28,0,0.197848401841384,2.21695752803772,0,2a4c5b00-6169-457f-8ce1-2deb6be1ed73,254
17051,Elmore,01051,East Central,37,0,0.163505782545826,2.27519521591255,0,a766f406-bdb1-4825-8497-a7f8278b048e,569
17052,Escambia,01053,Southwestern,10,0,0.233446648119298,2.50306921694382,0,1df05ad5-a773-4826-bc9e-e09d94f5aec8,175
17053,Etowah,01055,Northeastern,78,6,0.138757597037284,2.10053621990475,7,d3dfbcb8-ef9d-41f7-95ce-d65f9293e38b,510
17054,Fayette,01057,West Central,4,0,0.158552104918499,1.83779224583562,0,5a4def70-17de-4d46-8df5-aa3694f7096d,123
17055,Franklin,01059,Northern,10,0,0.164243463038702,1.78358559509712,0,3042c1bd-dbeb-4800-bc67-c3fcaa6dac2d,189
17056,Geneva,01061,Southeastern,1,0,0.141768015065281,1.83488097279248,0,3a98cca5-7b67-487f-9580-9762254ad4f4,66
17057,Greene,01063,West Central,18,0,0.164666965815741,3.57766804402764,0,cdedfc11-05be-417d-a182-526a0a9bb242,56
17058,Hale,01065,West Central,15,0,0.163613340422671,2.4799010938001,0,397c120c-d7e9-4fad-8278-b32e57d4e254,106
17059,Henry,01067,Southeastern,13,0,0.139761467476774,1.63725823418183,0,53584d39-cd46-4a61-a3e2-3585c0eccfa8,81
17060,Houston,01069,Southeastern,47,0,0.142463779205855,2.10452810210549,1,70bd8a6d-5cc7-4b89-bcdc-1e5a66029c5e,380
17061,Jackson,01071,Northern,26,2,0.287410215888713,2.67694940746419,2,82452e53-eeab-4334-8c02-a84327e3532d,180
17062,Jefferson,01073,Jefferson,617,8,0.282606031405749,2.91318939557353,15,9fc7c708-7c5a-432d-ab89-eef60eb6278c,5617
17063,Lamar,01075,West Central,7,0,0.15263540616661,1.64069081755141,0,2569cd52-50b8-43de-b4cb-522b6b155947,96
17064,Lauderdale,01077,Northern,22,1,0.184043571131042,2.55716948814366,4,84f2ea05-2434-4c3c-b033-a1d3feffbb61,570
17065,Lawrence,01079,Northern,8,0,0.182392737623559,1.92975383451283,0,00c69707-70db-49bc-99c9-e76a1f03d2a6,161
17066,Lee,01081,East Central,250,6,0.153274187500529,2.0496448391292,9,6f6a70a2-db15-4e0b-b66a-6a7456253241,1254
17067,Limestone,01083,Northern,37,0,0.155003206122046,1.71814668265853,0,20cb37c3-22d4-4367-b66d-3bdd83d1f180,570
17068,Lowndes,01085,East Central,16,0,0.179493868658938,2.34426217715912,0,6641e3aa-0adc-4d5f-99fb-30cbe154edbf,65
17069,Macon,01087,East Central,17,1,0.152225727451423,2.0876916570357,1,c633c24d-b36b-4457-a7c8-ad147e27466d,90
17070,Madison,01089,Northern,188,3,0.207245811581288,2.4192510631746,3,82b9fde4-0d4d-4c83-8944-a911d0d8dbdd,1675
17071,Marengo,01091,Southwestern,24,1,0.243586589216875,2.64368581241414,1,651cffa2-84a9-4c17-be9d-45a9023c8847,227
17072,Marion,01093,Northern,57,3,0.188224455607951,1.90243452461428,4,34233fcc-995f-483a-967e-05208369192a,380
17073,Marshall,01095,Northern,103,1,0.158193819913322,2.22984018931076,2,59cdd0e2-112f-4395-a8b7-27e0676b2570,506
17074,Mobile,01097,Mobile,491,9,0.307697348295278,4.83629332281426,17,ca586d69-9c70-4380-9907-6c205a76590d,2281
17075,Monroe,01099,Southwestern,7,0,0.254517578378227,2.83753802882174,1,7998db6e-b533-4f97-af27-e4390e1d8618,92
17076,Montgomery,01101,East Central,149,1,0.198182172648103,2.60770290702687,5,3c5f82b0-f7c9-4565-be3c-a08a596b7e48,1174
17077,Morgan,01103,Northern,41,0,0.152203319983528,1.80617511452274,0,2635cdbe-9930-4204-b92d-9847543a0d17,422
17078,Perry,01105,West Central,6,0,0.18021159047953,2.14838023913143,0,e0aff720-1c59-4407-b981-5809844cb548,65
17079,Pickens,01107,West Central,23,0,0.22311596802615,2.22345505777214,0,813c7570-9658-429d-a76c-77ad06fb095d,139
17080,Pike,01109,Southeastern,21,0,0.166038209106773,2.23104055343355,0,95b199cf-f9f6-4748-bf03-4111d4f883fa,244
17081,Randolph,01111,Northeastern,40,2,0.14646191250813,1.58584516900329,4,bd91a246-b243-4f11-b1cc-70a033b12dd7,103
17082,Russell,01113,East Central,28,0,0.160426072907967,2.13411394127528,0,ff125232-a2af-4832-92e8-c5334ad9aaf8,191
17083,St. Clair,01115,Northeastern,43,0,0.164611790120262,2.46182521198285,0,3af1289e-b3ca-4a6d-9235-ceeb8fb950d0,368
17084,Shelby,01117,Northeastern,230,5,0.202879219246825,2.52559193618872,5,0d3d9b97-0c58-4cdf-84e3-f62e9eb6f78d,1358
17085,Sumter,01119,West Central,23,0,0.227210820567734,3.07842876540608,0,a4e7493a-388b-446c-be1b-28f63ff7dd66,60
17086,Talladega,01121,Northeastern,38,0,0.190828489604655,2.7296175303427,1,d704d9de-f382-47fe-8667-7a9013da84ee,444
17087,Tallapoosa,01123,East Central,107,2,0.191182308914904,2.16459004269042,7,14c1ae45-81b6-4d71-849e-d1844e3b81dd,326
17088,Tuscaloosa,01125,West Central,120,0,0.338742577944004,2.90058009044742,0,62f4f96f-88e7-4f29-bb12-e930d782dfdb,1881
17089,Walker,01127,West Central,84,0,0.20307720239839,2.39750884765462,0,b0843331-93c9-4ab9-a3a4-0882cedec9ae,377
17090,Washington,01129,Southwestern,12,1,0.26740407070929,2.63236527422465,1,a6ce1dd3-97f2-4b13-9ef4-e9880ca991fb,64
17091,Wilcox,01131,Southwestern,31,0,0.224284362669096,2.68126387368409,0,6fce658a-245e-47e6-a72d-07a3e93138ee,102
17092,Winston,01133,Northern,4,0,0.159972008442992,1.68720534678178,0,ea0ce4f7-0735-43a0-9735-271e1826afae,121
17093,Unknown or Out of State,99999,Unknown,0,0,12.9086340951542,16.2873566339486,0,d3c41408-c28c-41aa-b83e-71c77b0c299b,654
