OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,128,4,1,16,17,24,16,19,15,13,3,0,0 to 89,46,79,49,0,128,0,0,3,123,9,1,4,124,0,0,128,1,3,0,4,0,0,0,0,1,1,2,0,0,0,0,38 to 56,54,3,0,0,1,0,2,2,1,0,1,0,0,0,4,3,1,4,0,0,124,0,128,124,4,0,2,2,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,858,23,35,77,125,119,137,143,93,78,23,5,0 to 118,48,502,317,39,855,3,0,57,689,120,15,42,813,0,3,852,23,19,0,42,0,8,2,5,5,9,4,7,2,0,0,6 to 82,46,28,14,0,0,0,40,2,12,0,8,0,0,1,42,19,23,42,0,0,810,3,858,813,42,1,63,33,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,127,11,5,5,13,23,19,22,16,11,2,0,0 to 118,47,70,50,7,127,0,0,8,118,29,3,1,126,0,0,127,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29 to 29,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,126,0,127,126,1,0,11,9,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,1329,49,37,89,199,210,196,228,153,104,62,2,0 to 118,48,828,462,39,1311,17,1,74,1141,118,51,103,1213,1,12,1299,55,44,0,99,1,1,2,16,11,10,19,18,16,9,0,3 to 96,59,78,11,5,5,7,86,6,31,1,17,0,0,1,103,47,56,98,4,1,1200,13,1329,1213,103,1,287,164,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,62,1,2,6,9,10,8,8,8,9,1,0,0 to 88,49,33,27,2,62,0,0,3,55,4,3,5,57,0,0,62,3,2,0,5,0,0,1,1,0,1,0,1,0,1,0,20 to 88,47,1,4,0,0,0,5,0,4,0,2,0,0,0,5,2,3,5,0,0,57,0,62,57,5,0,27,22,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,11010,143,176,732,1495,1604,1784,1857,1564,1062,552,41,0 to 110,52,6166,4686,158,10898,110,2,177,10485,549,128,1704,9110,112,84,10706,823,816,16,1655,5,9,103,185,217,261,269,286,249,117,3,0 to 104,57,611,176,124,744,201,675,779,355,20,269,13,2,92,1704,842,846,1653,49,2,9051,59,11010,9110,1704,92,681,496,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1977,33,41,129,249,307,347,331,284,186,70,0,0 to 99,51,1162,743,72,1972,5,0,131,1740,185,49,161,1778,1,37,1934,95,64,0,159,0,0,10,13,20,20,32,31,24,11,0,18 to 96,60,93,33,8,25,20,111,28,65,0,48,0,0,7,161,65,96,159,2,0,1775,3,1977,1778,161,7,71,62,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,3600,64,85,245,464,559,650,652,515,270,92,4,0 to 102,50,2198,1390,12,3575,25,0,102,3338,211,81,169,3405,5,21,3549,81,81,0,162,1,1,15,20,37,33,29,26,5,2,0,1 to 94,48,110,14,28,10,44,103,15,55,3,33,2,0,3,169,85,84,162,7,0,3387,18,3600,3405,169,3,361,225,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,222,6,7,22,40,38,44,32,23,7,2,1,0 to 90,43,141,79,2,220,1,1,1,191,17,6,36,186,0,0,221,23,12,0,35,0,0,3,8,8,8,6,2,1,0,0,20 to 81,43,3,7,0,25,0,7,28,0,0,1,0,0,0,36,12,24,34,1,1,186,0,222,186,36,0,40,17,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1974,46,40,268,368,328,331,305,197,68,22,1,0 to 95,43,1125,789,60,1961,12,1,40,1804,106,48,150,1816,2,6,1954,80,64,2,146,0,2,21,33,27,24,27,15,0,1,0,9 to 86,42,64,42,5,35,9,98,39,39,3,17,1,0,0,150,65,83,145,4,1,1808,8,1974,1816,150,0,246,175,1817477697.41779,246081.909627491
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,71,2,2,1,8,15,11,18,6,3,4,1,1 to 95,51,44,26,1,69,2,0,2,45,18,3,12,59,0,0,69,5,6,0,11,0,0,0,1,1,1,1,3,2,3,0,29 to 95,67,4,5,1,1,1,7,3,3,1,3,0,0,1,12,7,5,11,1,0,58,1,71,59,12,1,37,24,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,120,18,7,8,14,16,17,11,15,11,3,0,0 to 89,42,65,53,2,119,1,0,11,91,25,3,14,106,0,0,119,8,5,0,13,2,0,2,2,1,2,2,2,1,0,0,0 to 77,46,5,4,0,4,1,8,4,3,0,1,0,0,0,14,5,9,13,1,0,106,0,120,106,14,0,44,23,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,27,1,2,2,7,5,3,4,2,1,0,0,2 to 76,37,13,12,2,27,0,0,1,25,2,0,2,25,0,0,27,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,25,0,27,25,2,0,6,6,2183538740.41838,308797.501184753
