OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,23,267,1,8,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,North,2,BERGEN,385,10092,18,482,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,54,1155,1,24,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,South,4,CAMDEN,88,1401,3,35,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,17,164,4,9,7976961326.18913,514564.340281693
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,11,187,0,3,13989252050.4917,704221.618565244
7,7,ESSEX,Essex County,North,7,ESSEX,377,7634,16,433,3616983902.62894,344556.35202766
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,44,566,0,9,9372629753.11616,560696.852574102
9,9,HUDSON,Hudson County,North,9,HUDSON,587,7879,43,236,1436707422.2616,381356.570662874
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,13,325,0,11,12191752747.2279,561755.697692183
11,11,MERCER,Mercer County,Central,11,MERCER,107,1646,1,53,6378548120.95474,484092.889323168
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,129,3875,8,127,13539886535.1187,733254.571341134
13,13,OCEAN,Ocean County,Central,15,OCEAN,140,3593,6,141,21129932138.2335,722804.02331507
14,14,PASSAIC,Passaic County,North,16,PASSAIC,270,5950,12,136,5528911617.80997,492850.74933723
15,15,SALEM,Salem County,South,17,SALEM,5,66,1,4,9677192466.65024,664540.959974652
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,83,1809,1,85,8499713898.79497,541586.643839565
17,17,SUSSEX,Sussex County,North,19,SUSSEX,27,508,8,38,14929294846.8201,525986.641842362
18,18,UNION,Union County,North,20,UNION,317,6636,14,217,2937613335.40103,321814.207050551
19,19,WARREN,Warren County,North,21,WARREN,32,416,4,24,10108546134.3227,554859.389116752
20,20,MORRIS,Morris County,North,14,MORRIS,166,3225,11,162,13420104286.1659,750263.075351202
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,284,5987,16,204,8836527089.15266,505626.0316389
