OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,40,3,1,7,4,9,3,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,43,0 to 89,NA,NA,0,0,23,17,0,40,0,0,5,35,0,0,0,0,0,0,0,0,40,0,40,0,0,1,2,0,0,0,0,0,0,0,40,0,40,40,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,314,11,3,25,46,42,46,56,39,34,12,0,0,0,2,0,2,4,0,4,1,0,50,0 to 97,51,22 to 82,13,0,192,115,7,313,1,0,93,209,12,10,1,2,12,0,1,0,308,13,294,1,6,52,20,87,13,6,7,13,0,0,294,1,314,295,13,0,15,14,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,36,0,0,2,4,7,8,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,50,19 to 81,NA,NA,0,0,19,17,0,36,0,0,5,31,0,0,0,0,0,0,0,0,36,0,36,0,0,5,0,0,0,0,0,0,0,0,36,0,36,36,0,0,1,1,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,340,15,14,22,56,58,56,60,36,19,3,1,1,0,2,7,5,6,7,7,8,1,45,0 to 93,54,3 to 87,41,0,196,127,17,335,4,1,61,243,36,23,5,16,36,1,7,1,285,44,241,0,55,44,15,58,44,22,22,40,3,1,240,1,340,241,44,1,153,100,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,15,0,0,2,0,3,1,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,55,19 to 84,73,73 to 73,1,0,9,6,0,15,0,0,1,12,2,0,0,1,0,0,1,0,15,1,14,0,0,2,1,0,1,0,1,1,0,0,14,0,15,14,1,0,2,1,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,3521,54,67,251,501,520,555,556,518,344,139,16,2,2,39,57,76,75,97,117,111,40,51,0 to 104,58,0 to 99,594,0,1975,1493,53,3487,32,2,202,3226,93,62,439,115,129,407,80,22,3449,616,2833,0,72,119,249,143,616,316,291,592,22,2,2823,10,3521,2833,616,22,582,481,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,640,18,21,44,83,90,97,106,102,60,19,0,0,0,2,5,3,5,12,12,6,2,50,0 to 95,58,18 to 95,45,0,353,248,39,636,4,0,56,559,25,20,2,25,31,2,14,2,625,47,578,0,15,57,7,24,47,22,24,45,2,0,576,2,640,578,47,2,64,60,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,1139,30,31,66,132,179,202,211,173,88,27,0,0,0,6,6,10,11,7,10,1,0,50,0 to 95,47,17 to 75,49,0,692,442,5,1125,14,0,80,1014,45,22,16,13,36,7,8,2,1123,51,1071,1,16,74,45,43,51,21,30,49,2,0,1061,10,1139,1071,51,2,181,106,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,48,3,0,2,7,5,15,6,6,3,1,0,0,0,0,0,0,1,0,0,0,0,48,0 to 90,54,54 to 54,1,0,30,18,0,47,0,1,3,42,3,0,1,0,0,1,0,0,48,1,47,0,0,1,3,2,1,1,0,0,0,1,47,0,48,47,1,0,2,2,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,684,23,15,96,126,101,99,107,79,29,9,0,0,0,2,9,10,4,4,3,0,0,43,0 to 95,41,19 to 71,29,0,424,257,3,678,5,1,18,637,29,16,3,13,24,3,5,0,682,32,650,0,2,15,19,20,32,16,16,28,3,1,648,2,684,650,32,0,138,96,1817477697.41779,246081.909627491
