"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/1/2020 12:20:59","359","8","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","4/1/2020 16:51:09","1","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","","","","","",""
"Amador","4/1/2020 16:50:56","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","","","","",""
"Butte","4/1/2020 16:51:23","9","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/1/2020 16:51:34","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","","","","",""
"Colusa","4/1/2020 16:51:47","1","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/1/2020 16:52:01","250","3","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Del Norte","4/1/2020 16:52:23","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","66","7","59","0","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/1/2020 16:52:48","18","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","764","","586","18","","","","","","","","","","","","","","","","","","",""
"Fresno","4/1/2020 16:53:47","82","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","1650","","","","","17","","9","8","19","","","","","","","","","","","","",""
"Glenn","4/1/2020 16:56:09","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","27","2","23","2","","","","","","","","","","","","","","","","","","",""
"Humboldt","4/1/2020 17:34:04","28","0","https://humboldtgov.org/2707/COVID-Test-Results","","741","","","","","","","","","","1","1","","","","","","","","","","",""
"Imperial","4/1/2020 16:57:27","38","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","229","14","177","38","","","","","","","","","","","","","","","","","","",""
"Inyo","4/1/2020 16:57:43","9","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","11","61","8","","","","","","","","","","","","","","","","","","",""
"Kern","4/1/2020 16:58:24","129","1","https://kernpublichealth.com/2019-novel-coronavirus/","3 of the positive cases are non-residents, and they update twice a day.","3640","1396","2115","129","","","","","","","","","","","","","3","","","","","",""
"Kings","4/1/2020 16:58:24","5","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","99","","87","","","","","","","","","","","","","","","8","","","","",""
"Lake","4/1/2020 16:59:28","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","105","","","","","","","","","","","","","","","","","","","",""
"Lassen","4/1/2020 16:59:45","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","","","","","",""
"Los Angeles","4/1/2020 17:00:01","3518","65","http://publichealth.lacounty.gov/media/Coronavirus/","We are getting slightly higher numbers than the LA County Public Health page because our reporters in the South Bay are adding changes throughout the day between LA's scheduled updates.","","","","","","","","","","","","733","cumulative","","","","","","","SCNG","","",""
"Madera","4/1/2020 17:06:01","25","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","","","","","","1","2","currently","","","","","","","","","",""
"Marin","4/1/2020 20:40:23","108","6","https://www.marinhhs.org/coronavirus","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","774","","","","","","","","","","","15","","","","","","","","BANG","","",""
"Mariposa","4/1/2020 17:06:29","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","48","10","38","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/1/2020 17:07:03","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","225","19","202","4","","","","","","","1","","","","","","","","","","","",""
"Merced","4/1/2020 17:07:42","10","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","1","","","","","","","","","","","","","","","","",""
"Modoc","4/1/2020 17:08:31","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","31","7","24","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/1/2020 17:33:16","18","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","84","4","62","18","","","","","","","","","","","","","","","","","","",""
"Monterey","4/1/2020 17:10:23","42","2","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","616","","","","","10","","15","7","10","","8","","","","","","","","","","",""
"Napa","4/1/2020 17:11:10","18","1","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","391","","","","","","","","","","","","","","","","1","41","","BANG","","",""
"Nevada","4/1/2020 17:11:39","26","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Orange","4/1/2020 17:12:07","606","10","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","7271","","","","","","","","","","","67","current","31","current","","","","","SCNG","","",""
"Placer","4/1/2020 17:13:35","78","2","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","","","","",""
"Plumas","4/1/2020 17:14:49","1","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","54","11","42","0","","","","","","","","","","","","","","","","","","",""
"Riverside","4/1/2020 17:15:16","429","13","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","40","","","","","","","","","SCNG","","x",""
"Sacramento","4/1/2020 17:15:30","314","9","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","","","","","",""
"San Benito","4/1/2020 17:16:26","23","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","275","26","226","23","","","","","","","10","","","","","","","","","SCNG","","",""
"San Bernardino","4/1/2020 17:16:40","254","6","http://wp.sbcounty.gov/dph/coronavirus/","","2963","","","","","","","","","","","","","","","","","","","","","",""
"San Diego","4/1/2020 17:17:41","849","15","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","158","","65","","","","","","","","x",""
"San Francisco","4/1/2020 9:39:05","434","7","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","","","","","","","","","","","","58","","","","","","","","BANG","","",""
"San Joaquin","4/1/2020 17:18:16","161","8","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","4/1/2020 17:19:01","83","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","37","10","current","2","current","","","","","","","x",""
"San Mateo","4/1/2020 9:39:22","388","10","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Barbara","4/1/2020 20:42:38","111","1","https://publichealthsbc.org/","","901","147","642","111","1","","","","","","23","17","current","10","current","","","","","","","x",""
"Santa Clara","4/1/2020 17:20:24","956","32","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Cruz","4/1/2020 17:20:37","54","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Shasta","4/1/2020 17:21:03","7","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","236","7","","2","","1","","","","","","","","","","","","","","",""
"Sierra","4/1/2020 17:21:30","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","7","1","6","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/1/2020 17:22:02","3","0","https://www.co.siskiyou.ca.us/publichealth","","89","12","74","3","","","","","","","","","","","","","","","","","","",""
"Solano","4/1/2020 17:22:45","54","0","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","18","cumulative","","","","","","","BANG","","",""
"Sonoma","4/1/2020 17:23:51","91","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","1773","","","","","","","","","","13","17","","","","","","","","BANG","","",""
"Stanislaus","4/1/2020 17:24:52","44","0","http://schsa.org/publichealth/pages/corona-virus/","","","","1196","","","","","","","","","","","","","","","","","","","",""
"Sutter","4/1/2020 17:25:13","14","1","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","3","","","","","","","","","","",""
"Tehama","4/1/2020 17:26:44","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/1/2020 17:26:53","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/1/2020 17:27:23","59","2","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","3","","","","","","","","","","","",""
"Tuolumne","4/1/2020 17:27:49","2","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","216","10","205","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/1/2020 17:28:36","160","5","https://www.vcemergency.com/","","2987","","","","","","","","","","31","34","","","","","","","","","","x",""
"Yolo","4/1/2020 17:29:41","28","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","379","","","","","","","","","","","14","","","","","","","","","","",""
