County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,7239,88,5693,2020-07-24
TULSA,7111,89,5940,2020-07-24
CLEVELAND,1958,40,1568,2020-07-24
TEXAS,1012,7,995,2020-07-24
CANADIAN,786,4,638,2020-07-24
MCCURTAIN,755,19,595,2020-07-24
COMANCHE,618,9,560,2020-07-24
PAYNE,575,2,498,2020-07-24
ROGERS,543,12,376,2020-07-24
WAGONER,537,19,431,2020-07-24
WASHINGTON,516,39,450,2020-07-24
GRADY,347,6,282,2020-07-24
DELAWARE,341,19,261,2020-07-24
MCCLAIN,332,4,281,2020-07-24
CREEK,321,10,241,2020-07-24
MUSKOGEE,304,16,199,2020-07-24
JACKSON,302,3,136,2020-07-24
BRYAN,284,1,211,2020-07-24
OSAGE,277,10,237,2020-07-24
OKMULGEE,272,0,193,2020-07-24
POTTAWATOMIE,259,6,181,2020-07-24
CADDO,258,12,208,2020-07-24
OTTAWA,248,2,195,2020-07-24
CARTER,236,3,201,2020-07-24
MAYES,227,5,140,2020-07-24
GARFIELD,220,2,140,2020-07-24
ADAIR,215,4,155,2020-07-24
CHEROKEE,195,1,139,2020-07-24
KAY,169,9,128,2020-07-24
GARVIN,166,3,136,2020-07-24
CHOCTAW,150,1,130,2020-07-24
LOGAN,138,1,113,2020-07-24
CUSTER,134,0,100,2020-07-24
STEPHENS,132,1,109,2020-07-24
SEQUOYAH,126,3,72,2020-07-24
PITTSBURG,123,3,92,2020-07-24
PONTOTOC,122,2,97,2020-07-24
MCINTOSH,119,1,93,2020-07-24
SEMINOLE,119,5,74,2020-07-24
LE FLORE,114,1,76,2020-07-24
PAWNEE,94,3,75,2020-07-24
GREER,77,7,61,2020-07-24
KINGFISHER,74,0,58,2020-07-24
LINCOLN,71,2,48,2020-07-24
NOBLE,69,2,50,2020-07-24
LOVE,60,0,53,2020-07-24
MARSHALL,59,0,47,2020-07-24
ATOKA,55,0,45,2020-07-24
PUSHMATAHA,51,0,36,2020-07-24
CRAIG,47,0,35,2020-07-24
MURRAY,47,0,36,2020-07-24
HUGHES,44,1,17,2020-07-24
NOWATA,44,1,40,2020-07-24
TILLMAN,39,1,28,2020-07-24
LATIMER,36,1,19,2020-07-24
BEAVER,34,0,32,2020-07-24
OKFUSKEE,31,0,21,2020-07-24
JOHNSTON,27,0,17,2020-07-24
BECKHAM,27,0,25,2020-07-24
WOODWARD,27,0,18,2020-07-24
BLAINE,26,0,20,2020-07-24
HASKELL,23,0,20,2020-07-24
JEFFERSON,23,0,20,2020-07-24
KIOWA,21,1,16,2020-07-24
MAJOR,21,1,16,2020-07-24
COAL,20,0,12,2020-07-24
COTTON,14,2,10,2020-07-24
WASHITA,14,0,10,2020-07-24
WOODS,14,0,10,2020-07-24
GRANT,6,0,4,2020-07-24
ROGER MILLS,6,0,2,2020-07-24
HARMON,5,0,3,2020-07-24
DEWEY,4,0,4,2020-07-24
HARPER,2,0,2,2020-07-24
ELLIS,2,0,1,2020-07-24
CIMARRON,1,0,1,2020-07-24
ALFALFA,1,0,1,2020-07-24
