ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1008,26,33,118,129,138,147,146,117,93,61,0,0 to 118,49,572,428,8,1008,0,0,38,738,2,295,6,290,717,0,1,1007,260,30,0,0,141,149,0,290,10,13,41,42,40,41,36,20,24,23,0,0 to 100,44,214,17,22,37,42,203,45,16,0,5,0,0,0,290,149,141,290,0,0,2904,0,3200,2904,290,0,417,400,44,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4253,94,186,482,642,549,644,674,475,323,172,12,0 to 118,47,2557,1634,62,4245,8,0,199,3702,133,809,22,1108,3142,1,2,4242,643,465,0,0,562,519,27,1108,24,92,206,188,164,152,126,77,52,26,1,0 to 100,37,514,298,136,160,199,715,194,210,0,122,0,0,13,1108,519,562,1108,0,0,9346,8,10471,9354,1108,13,259,190,37,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1183,39,43,130,184,164,162,189,158,82,28,4,0 to 118,46,674,486,23,1175,8,0,39,804,3,434,28,249,934,0,0,1175,213,34,2,0,137,110,0,247,0,12,45,55,40,35,32,12,14,4,0,5 to 91,38,121,86,24,16,29,195,23,43,0,13,0,0,3,249,110,139,247,2,0,2318,6,2575,2324,249,3,606,506,38,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8897,208,231,918,1424,1303,1160,1266,952,786,606,43,0 to 119,47,5245,3559,93,8740,156,1,347,7247,137,1076,107,2202,6672,0,23,8718,2039,138,20,5,1163,971,43,2177,28,74,401,467,349,281,255,170,102,72,3,0 to 103,38,1092,191,196,698,315,1048,814,175,3,104,1,0,16,2202,983,1176,2176,25,1,20543,131,22905,20674,2202,16,2076,1645,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,773,10,19,77,84,113,107,131,108,82,42,0,0 to 99,52,454,305,14,773,0,0,26,476,4,207,9,242,530,0,1,772,226,16,0,0,143,99,0,242,1,6,29,28,23,31,36,32,32,24,0,1 to 99,55,188,18,16,20,13,200,29,34,0,22,0,0,7,242,99,143,242,0,0,1699,0,1947,1699,242,7,432,370,55,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,89803,1435,2413,8201,12224,11646,12858,14424,12122,8316,4535,1629,0 to 119,51,48673,40800,330,88903,898,2,5581,73870,465,17940,536,29004,60420,171,208,88529,28493,252,253,6,14649,13998,98,28745,482,1078,4259,5482,4776,4376,3669,2192,1486,1172,32,0 to 105,41,10608,4427,4181,9529,8001,10354,10390,3282,42,2396,27,15,744,29004,14132,14770,28743,259,2,201627,635,231777,202262,29004,744,8074,7809,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,14119,241,394,1193,1886,1917,2208,2315,1979,1261,687,38,0 to 119,51,8150,5689,280,13967,152,0,881,10957,188,2976,102,4153,9743,5,218,13744,4022,110,21,0,2250,1831,51,4132,76,179,565,741,686,674,525,365,200,136,6,0 to 104,42,1260,761,468,1643,769,1420,1943,367,2,274,2,1,95,4153,1842,2260,4132,21,0,30983,128,35309,31111,4153,95,2619,2604,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,19021,362,510,1862,2569,2691,3023,3102,2605,1574,693,30,0 to 119,49,10750,8182,89,18930,91,0,1087,15050,223,3882,187,5526,13439,2,54,18874,5379,121,25,1,2803,2659,38,5500,88,168,867,1004,884,875,690,498,287,163,2,0 to 105,42,3154,354,627,1365,980,2785,1735,626,9,397,4,1,65,5526,2672,2816,5500,26,0,50981,65,56608,51046,5526,65,3737,3185,42,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3719,79,163,354,628,631,627,543,431,171,89,3,0 to 119,45,2440,1258,21,3698,20,1,91,3138,46,653,24,1090,2628,1,0,3698,1032,51,7,0,628,445,10,1083,26,68,158,202,203,179,116,75,44,18,1,0 to 98,39,292,372,83,336,180,502,401,158,0,92,0,0,12,1090,445,635,1082,7,1,8161,13,9301,8174,1090,12,691,496,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,16049,239,451,2676,2728,2279,2301,2398,1851,718,364,44,0 to 119,43,8361,7541,147,15781,267,1,590,13986,201,1642,129,3568,12458,2,21,15759,3455,47,63,3,1844,1629,29,3502,40,141,1305,711,436,374,321,152,50,26,12,0 to 105,27,985,1036,239,1242,240,1531,1731,243,14,91,11,7,13,3568,1662,1877,3501,66,1,44735,200,48597,44935,3568,13,1588,1172,27,2.42861632663576,0.170704044186268
