"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","","",""
"San Luis Obispo","21","0","https://www.emergencyslo.org/en/covid19.aspx","","","","","","","","","","","","","","","","","","","","",""
"San Mateo County","110","1","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","9","0","https://publichealthsbc.org/","","214","139","66","9","","","","","","","","","","","","","","","",""
"Santa Clara","263","8","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx","","","","","","","22","","70","77","","","93","","","","","","","",""
"Santa Cruz","15","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","1","0","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","","","","","","","1","","","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","2","2","","","","","","","","","","","","","","","","","",""
"Siskiyou County","0","0","https://www.co.siskiyou.ca.us/publichealth","","24","17","7","","","","","","","","","","","","","","","","",""
"Solano County","14","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","","","","","","","","",""
"Sonoma","21","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","","","37","341","22","","","","","","","","","","","","","","","",""
"Stanislaus County","5","0","http://schsa.org/publichealth/pages/corona-virus/","","","","","","","","","","","","","","","","","","","","",""
"Sutter","0","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","11","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/","","","","","","","","","","","","","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","78","15","63","0","","","","","","","","","","","","","","","",""
"Ventura","19","0","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","6","0","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","0","0","https://www.yuba.org/departments/emergency_services/coronavirus.php","","","","","","","","","","","","","","","","","","","","",""
