ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,787,17,18,91,105,111,119,119,100,70,36,1,0 to 118,49,440,336,11,787,0,0,11,679,2,122,2,109,677,0,1,786,89,20,0,0,29,80,0,109,4,6,17,20,19,20,16,4,2,0,1,0 to 83,38,77,10,15,7,29,69,11,5,0,0,0,0,0,109,80,29,109,0,0,2283,0,2395,2283,109,0,205,188,39,38,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3700,77,136,381,544,462,574,611,439,301,162,13,0 to 118,49,2272,1372,56,3690,10,0,92,3358,133,347,22,489,3208,1,2,3687,252,235,1,1,244,225,18,487,9,43,92,90,69,69,53,34,20,8,2,0 to 98,35,215,187,38,47,75,318,94,58,0,36,0,0,6,489,226,245,487,2,0,6582,8,7080,6590,489,6,194,125,40,35,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,930,33,20,85,144,121,115,168,143,74,23,4,0 to 118,49,516,383,31,923,7,0,17,765,3,183,28,91,837,1,1,921,72,18,1,0,38,52,0,90,0,2,18,30,15,4,11,4,7,0,0,6 to 84,33,54,9,19,8,26,55,9,18,0,7,0,0,1,91,52,39,90,1,0,1365,6,1464,1371,91,1,238,136,32,33,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,7455,168,165,628,1125,1074,976,1115,845,744,575,40,0 to 119,50,4476,2937,42,7308,146,1,201,6591,137,574,85,820,6633,0,2,7307,675,130,10,5,422,383,0,805,8,29,128,172,135,107,99,66,50,26,0,0 to 99,40,528,69,68,140,182,441,182,110,3,64,1,0,8,820,391,429,804,15,1,13703,131,14669,13834,820,8,1150,718,43,40,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,571,5,4,46,56,82,81,98,86,73,40,0,0 to 99,56,342,213,16,571,0,0,8,451,4,75,5,97,474,0,0,571,79,18,0,0,66,31,0,97,0,0,9,11,7,6,10,10,22,22,0,15 to 99,71,69,13,6,9,8,71,18,14,0,8,0,0,6,97,31,66,97,0,0,850,0,949,850,97,6,152,90,78,71,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,75074,1157,1765,5944,9405,9212,10568,12533,11031,7715,4138,1606,0 to 119,53,40928,33854,292,74277,795,2,3075,65549,465,10315,397,15324,59393,187,170,73925,15010,159,149,6,7560,7574,35,15169,258,537,2130,2754,2478,2239,1954,1248,952,765,9,0 to 105,42,6279,2584,2361,3945,5028,5918,4223,2542,38,1863,24,14,536,15324,7663,7625,15167,155,2,135405,637,151609,136042,15324,536,5033,4768,44,42,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,11274,198,243,843,1419,1424,1749,1927,1748,1124,564,35,0 to 119,53,6489,4581,204,11128,146,0,566,9372,188,1707,77,1983,9197,5,89,11034,1889,83,11,0,1070,894,8,1972,43,59,267,351,301,338,259,180,106,75,4,0 to 99,43,684,320,179,789,385,675,912,245,1,177,2,1,50,1983,899,1076,1972,11,0,21606,135,23735,21741,1983,50,1161,1146,46,43,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,15732,306,391,1382,2034,2171,2480,2671,2306,1379,582,30,0 to 119,51,9047,6630,55,15653,79,0,451,13823,223,1607,133,2443,13251,2,36,15615,2369,60,13,1,1246,1177,6,2429,46,72,440,490,410,363,283,217,91,31,0,0 to 99,38,1265,171,231,762,424,1124,881,287,5,151,4,1,23,2443,1185,1252,2429,14,0,35173,65,37694,35238,2443,23,2428,1876,43,38,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3040,53,104,231,506,514,534,473,393,147,83,2,0 to 119,47,2097,932,11,3022,17,1,45,2712,46,396,17,428,2610,1,1,3021,412,12,4,0,295,129,0,424,4,18,38,83,87,83,45,37,21,12,0,0 to 98,42,155,165,20,84,52,275,97,90,0,66,0,0,7,428,129,299,423,4,1,5653,13,6104,5666,428,7,460,266,43,42,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,13872,195,331,2045,2292,1985,2050,2159,1751,685,347,32,0 to 119,45,7162,6557,153,13623,248,1,258,12783,201,901,104,1466,12393,3,10,13611,1404,16,45,1,712,681,27,1420,8,43,685,277,146,122,107,54,16,8,0,0 to 93,24,384,395,53,588,72,726,622,123,11,53,9,7,8,1466,704,735,1419,46,1,29426,202,31154,29628,1466,8,954,534,30,24,2.42861632663576,0.170704044186268
