County,Cases,Deaths,Recovered,ReportDate
TULSA,3792,72,2833,2020-07-03
OKLAHOMA,3263,70,2348,2020-07-03
CLEVELAND,1003,40,737,2020-07-03
TEXAS,990,6,976,2020-07-03
MCCURTAIN,522,7,357,2020-07-03
COMANCHE,427,7,378,2020-07-03
PAYNE,407,1,294,2020-07-03
WASHINGTON,401,39,354,2020-07-03
CANADIAN,307,3,233,2020-07-03
WAGONER,289,19,204,2020-07-03
ROGERS,202,6,146,2020-07-03
MCCLAIN,191,4,141,2020-07-03
CADDO,191,11,169,2020-07-03
OSAGE,176,8,147,2020-07-03
DELAWARE,165,16,116,2020-07-03
CREEK,158,7,124,2020-07-03
GRADY,153,5,122,2020-07-03
MUSKOGEE,133,11,84,2020-07-03
CARTER,120,1,75,2020-07-03
ADAIR,119,4,108,2020-07-03
CHOCTAW,114,1,104,2020-07-03
BRYAN,113,1,75,2020-07-03
POTTAWATOMIE,112,4,86,2020-07-03
KAY,106,7,81,2020-07-03
CHEROKEE,87,1,70,2020-07-03
MAYES,86,5,67,2020-07-03
GARVIN,81,1,54,2020-07-03
OTTAWA,77,2,46,2020-07-03
GARFIELD,74,2,60,2020-07-03
OKMULGEE,68,0,52,2020-07-03
GREER,66,7,57,2020-07-03
MCINTOSH,64,1,47,2020-07-03
STEPHENS,64,1,51,2020-07-03
CUSTER,63,0,53,2020-07-03
PITTSBURG,61,3,49,2020-07-03
PAWNEE,57,2,48,2020-07-03
LOGAN,54,1,33,2020-07-03
SEQUOYAH,44,3,27,2020-07-03
PONTOTOC,43,2,29,2020-07-03
JACKSON,43,3,28,2020-07-03
SEMINOLE,43,3,32,2020-07-03
NOBLE,40,1,31,2020-07-03
NOWATA,36,1,31,2020-07-03
LE FLORE,34,1,28,2020-07-03
MARSHALL,33,0,27,2020-07-03
LINCOLN,32,2,26,2020-07-03
LOVE,31,0,28,2020-07-03
BEAVER,30,0,30,2020-07-03
KINGFISHER,29,0,23,2020-07-03
ATOKA,24,0,13,2020-07-03
TILLMAN,24,1,22,2020-07-03
CRAIG,21,0,19,2020-07-03
MURRAY,18,0,16,2020-07-03
PUSHMATAHA,16,0,10,2020-07-03
OKFUSKEE,15,0,10,2020-07-03
BLAINE,14,0,12,2020-07-03
LATIMER,14,1,7,2020-07-03
HUGHES,13,0,8,2020-07-03
JOHNSTON,13,0,10,2020-07-03
WOODWARD,12,0,11,2020-07-03
HASKELL,11,0,8,2020-07-03
KIOWA,11,1,6,2020-07-03
BECKHAM,11,0,8,2020-07-03
JEFFERSON,10,0,5,2020-07-03
MAJOR,8,1,7,2020-07-03
COAL,8,0,7,2020-07-03
WOODS,6,0,5,2020-07-03
COTTON,6,2,3,2020-07-03
WASHITA,5,0,3,2020-07-03
DEWEY,4,0,4,2020-07-03
GRANT,2,0,2,2020-07-03
HARPER,1,0,1,2020-07-03
CIMARRON,1,0,1,2020-07-03
ALFALFA,1,0,1,2020-07-03
HARMON,1,0,0,2020-07-03
ELLIS,1,0,1,2020-07-03
