ï»¿FID,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,37,2120,1,156,16,581,231,116,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,2,BERGEN,92,18158,6,1553,63,3020,1503,900,10,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,43,4476,2,277,26,1258,642,226,4,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,4,CAMDEN,67,6292,5,318,26,1098,367,233,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,11,602,0,48,8,188,136,38,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,48,2146,0,65,7,276,173,31,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,7,ESSEX,117,17450,5,1628,46,2029,907,535,19,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,37,2165,3,143,14,447,217,110,2,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,9,HUDSON,80,18226,6,1161,15,705,466,194,7,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,2,974,1,58,4,207,164,33,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,11,MERCER,67,6670,4,462,23,1053,506,289,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,56,8012,3,578,53,1562,717,422,5,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,15,OCEAN,65,8577,7,711,49,1705,770,412,2,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,16,PASSAIC,74,15959,4,903,25,1099,653,327,13,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,17,SALEM,10,592,2,34,5,111,60,25,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,18,4522,2,410,32,963,570,282,7,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,19,SUSSEX,9,1104,1,147,5,247,118,101,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,20,UNION,61,15475,5,1047,29,1296,580,450,10,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,21,WARREN,2,1146,0,129,7,401,114,106,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,14,MORRIS,59,6354,5,605,42,1342,615,446,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,84,15633,4,968,42,1470,745,475,7,1.62072838209013,0.0871537443231625
