"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Alameda","220","4","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","",""
"Alpine","0","0","http://alpinecountyca.gov/Index.aspx?NID=516","","","","","","","","","","","","","","","","","","","","",""
"Amador","2","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","",""
"Butte","5","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","",""
"Calaveras","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","",""
"Colusa","1","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","147","1","https://cchealth.org/coronavirus/","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","0","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","48","9","39","0","","","","","","","","","","","","","","","",""
"El Dorado","12","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","","","66","2","","","","","","","","","","","","","","","",""
"Fresno","31","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","","","","","","","14","","3","3","7","","","","","","","","","",""
"Glenn","1","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","10","0","9","1","","","","","","","","","","","","","","","",""
"Humboldt","14","0","https://humboldtgov.org/2707/COVID-Test-Results","","408","","","","","","","","","","1","1","","","","","","","",""
"Imperial","21","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","170","9","140","21","","","","","","","","","","","","","","","",""
"Inyo","5","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","60","35","24","1","","","","","","","","","","","","","","","",""
"Kern","41","1","https://kernpublichealth.com/2019-novel-coronavirus/","1 of the positive cases is a non-resident","1777","971","765","42","","","","","","","","","","","1","0","","","",""
"Kings","1","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","85","","77","","","","","","","","","","","","","8","","","",""
"Lake","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","60","","","","","","","","","","","","","","","","",""
"Lassen","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","","",""
"Los Angeles","1482","26","http://publichealth.lacounty.gov/media/Coronavirus/","We are getting slightly higher numbers than the LA County Public Health page because our reporters in the South Bay are adding changes throughout the day between LA's scheduled updates.","","","","","","","","","","","","90","","","","","","","",""
"Madera","11","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","1","","7","2","","1","1","","","","","","","",""
"Marin","68","1","https://www.marinhhs.org/coronavirus","","681","","","","","","","","","","","9","","","","","","","",""
"Mariposa","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","37","15","22","0","","","","","","","","","","","","","","","",""
"Mendocino","2","0","https://www.mendocinocounty.org/community/novel-coronavirus","","185","45","138","2","","","","","","","","","","","","","","","",""
"Merced","4","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","46","13","32","1","","1","","","","","","","","","","","","","",""
"Modoc","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","9","6","3","0","","","","","","","","","","","","","","","",""
"Mono","8","0","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","67","11","48","8","","","","","","","","","","","","","","","",""
"Monterey","27","1","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","403","","","","","9","","5","4","5","","","","","","","","","",""
"Napa County","3","0","https://insight.livestories.com/s/v2/new-story/c0872bae-6127-4036-aea4-ad779a801a71","One of the positive cases is from the Grand Princess, two are residents.","116","","","","","","","","","","","","","","1","41","","","",""
"Nevada","8","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","",""
"Orange","321","3","http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus","","3605","","","","","62","","17","57","51","","","","","","","","","",""
"Placer","41","1","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","",""
"Plumas","0","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","","40","7","33","0","","","","","","","","","","","","","","","",""
"Riverside","185","8","https://www.rivcoph.org/coronavirus","","","","","","","4","24","","","79","","","","","","","","","",""
"Sacramento","164","6","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","","",""
"San Benito County","14","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","90","19","65","","","2","","5","3","2","2","","","","","","","","",""
"San Bernardino","64","3","http://wp.sbcounty.gov/dph/coronavirus/","","673","","619","","","","","","","","","","","","","","","","",""
"San Diego County","417","5","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","85","38","","","","","","",""
"San Francisco","279","3","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","","",""
"San Joaquin","93","4","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","59","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","11","7","1","","","","","","",""
"San Mateo County","239","6","https://www.smchealth.org/coronavirus","cases are noted as ""provisional"" today","","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","47","0","https://publichealthsbc.org/","","526","247","278","32","1","","","","","","","","","","","","","","",""
"Santa Clara","574","20","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","",""
