OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,PUI_FLRes,PUI_NonRes,C_AllResTypes,C_FLResOnly,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUIFLResOut,PUINotFLRes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths1,EverMon,MonNow,Shape__Area,Shape__Length
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,1473,26,26,94,212,238,227,247,188,112,102,1,0,1,4,6,17,19,16,9,14,13,0,0 to 98,51,13 to 91,1373,1,99,93,853,603,17,1460,13,0,11,72,16,13,64,22,3,1473,99,1373,1,126,99,45,48,93,6,0,1367,7,1705,1374,99,3,119,91,0.200425275894077,3.27411455353061
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,9,0,0,1,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19 to 86,54,NA,9,0,0,0,5,4,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0.132542672340151,1.87054630069585
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,28,0,2,1,3,3,5,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8 to 77,51,NA,28,0,0,0,15,13,0,26,2,0,0,0,0,0,0,0,0,28,0,28,0,12,0,0,0,0,0,0,26,2,29,28,0,0,2,1,0.137366647973977,2.48127035884172
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,30,1,1,1,5,7,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 84,46,NA,30,0,0,0,16,14,0,30,0,0,0,0,0,0,0,0,0,30,0,30,0,6,0,0,0,0,0,0,30,0,31,30,0,0,1,0,0.0605152418579564,1.26448361984134
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,41,0,0,4,4,2,6,7,7,7,4,0,0,0,0,0,0,0,0,1,0,0,0,19 to 92,59,69 to 69,40,0,1,1,27,14,0,41,0,0,0,1,0,0,0,1,0,41,1,40,0,7,1,1,0,1,0,0,40,0,42,40,1,0,13,13,0.0725862816580047,1.60231094057636
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,34,0,2,2,3,6,9,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7 to 93,48,NA,34,0,0,0,22,12,0,34,0,0,0,0,0,0,0,0,0,34,0,34,0,4,0,0,0,0,0,0,34,0,34,34,0,0,14,13,0.147928217269509,2.72889764415906
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,374,5,9,16,49,51,53,84,54,36,16,1,1,0,1,3,2,3,7,2,1,0,0,1 to 97,53,1 to 76,354,0,20,19,222,148,4,373,1,0,12,2,6,18,0,2,0,374,20,354,0,41,20,14,6,19,1,0,354,0,389,354,20,0,81,54,0.247147786915775,7.43388258408546
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,558,11,8,49,73,63,95,105,87,51,16,0,0,1,2,3,4,5,5,3,4,1,0,0 to 97,51,8 to 88,530,0,28,28,327,228,3,554,4,0,12,1,15,14,1,13,0,558,28,530,0,71,28,14,14,28,0,0,526,4,622,530,28,0,60,32,0.477444147538563,3.74731907462886
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,424,5,12,30,80,82,63,67,51,28,5,1,0,0,7,11,8,12,9,6,3,0,0,0 to 97,46,18 to 80,368,0,56,53,250,173,1,418,6,0,25,6,25,32,6,18,0,424,56,368,0,100,56,27,29,53,3,0,365,3,499,368,56,0,87,53,0.357928281930981,3.3752685802766
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,44,2,0,2,6,6,4,7,7,9,1,0,0,0,0,1,1,0,1,0,3,0,0,1 to 89,53,30 to 78,37,1,6,6,30,12,2,44,0,0,2,2,2,3,2,1,1,44,6,37,1,5,6,1,4,6,0,0,37,0,66,37,6,1,22,20,0.261466143529105,2.84124661922134
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,1082,14,17,59,118,145,170,178,219,120,40,2,0,1,5,6,11,7,15,24,22,3,1,1 to 97,54,10 to 94,987,0,95,89,640,434,8,1072,9,1,38,31,26,44,25,26,5,1082,95,987,0,37,95,57,38,89,5,1,983,4,1101,987,95,5,282,241,0.191375285049844,5.53875412301
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,831,5,9,52,101,81,125,144,143,127,44,0,0,0,7,14,3,10,17,10,20,4,0,0 to 94,55,17 to 93,746,0,85,74,478,348,5,794,37,0,35,30,20,64,12,9,0,831,85,746,0,100,85,48,37,74,11,0,720,26,886,746,85,0,145,140,0.469024645858553,5.510854351744
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,6014,86,125,432,1084,1090,1101,918,647,356,166,9,2,9,62,170,167,179,124,95,47,12,2,0 to 101,47,3 to 99,5140,5,869,849,3133,2844,37,5955,58,1,72,546,251,251,529,89,2,6014,869,5140,5,212,869,516,350,849,19,1,5104,39,6117,5143,869,2,988,837,0.459639407437294,5.08399988209391
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,124,1,1,7,16,17,22,25,22,7,6,0,0,0,3,0,1,7,3,2,3,0,0,4 to 92,52,19 to 80,105,0,19,17,73,51,0,117,7,0,4,11,4,13,2,4,0,124,19,105,0,18,19,11,8,17,2,0,100,5,171,105,19,0,42,39,0.23593160859366,13.2628040867439
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,175,8,6,11,25,33,27,20,32,10,3,0,2,0,2,0,0,2,1,4,2,0,0,0 to 90,46,0 to 81,162,0,13,13,108,67,0,175,0,0,4,2,7,7,0,6,1,175,13,162,0,21,13,9,4,13,0,0,162,0,177,162,13,1,240,218,0.24455885946486,3.55202924270698
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,87,3,2,9,8,12,21,17,9,4,2,0,0,0,3,0,1,3,3,1,3,0,0,2 to 97,47,20 to 79,73,0,14,7,51,36,0,78,9,0,8,1,5,9,1,4,0,87,14,73,0,14,14,6,8,7,7,0,71,2,91,73,14,0,5,1,0.254870622162116,3.60138877906906
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,57,0,0,9,11,7,7,12,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,20 to 80,47,33 to 33,56,0,1,0,35,22,0,55,2,0,1,0,0,1,0,0,0,57,1,56,0,17,1,1,0,0,1,0,55,1,64,56,1,0,7,4,0.2310932807261,2.21646510886719
