ï»¿FID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,28,19,0,2020/06/12 15:45:13,USA,11811,407,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,49,32,0,2020/06/12 15:45:13,USA,6040,275,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,112,35,0,2020/06/12 15:45:13,USA,17153,751,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,38,22,0,2020/06/12 15:45:13,USA,9253,514,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,121,90,4,2020/06/12 15:45:13,USA,13832,979,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,16,9,0,2020/06/12 15:45:13,USA,14908,871,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,24,24,0,2020/06/12 15:45:13,USA,20029,1066,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,12,10,0,2020/06/12 15:45:13,USA,9187,490,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,12,11,0,2020/06/12 15:45:13,USA,10518,567,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,6,4,0,2020/06/12 15:45:13,USA,10569,673,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,4,3,0,2020/06/12 15:45:13,USA,7453,389,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,346,159,0,2020/06/12 15:45:13,USA,34909,1982,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,62,23,1,2020/06/12 15:45:13,USA,13840,754,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,59,23,0,2020/06/12 15:45:13,USA,16134,751,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,13,5,0,2020/06/12 15:45:13,USA,8929,395,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,26,14,0,2020/06/12 15:45:13,USA,10712,825,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,39,24,1,2020/06/12 15:45:13,USA,42647,3311,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,15,9,0,2020/06/12 15:45:13,USA,11964,593,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,20,17,1,2020/06/12 15:45:13,USA,15761,1228,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,35,29,3,2020/06/12 15:45:13,USA,17556,895,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,28,27,0,2020/06/12 15:45:13,USA,19660,1066,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,190,106,4,2020/06/12 15:45:13,USA,25095,1664,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,55,34,0,2020/06/12 15:45:13,USA,11321,706,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1434,297,4,2020/06/12 15:45:13,USA,19874,5914,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,30,4,0,2020/06/12 15:45:13,USA,6740,414,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,30,19,1,2020/06/12 15:45:13,USA,9547,545,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,276,89,0,2020/06/12 15:45:13,USA,12690,2090,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,74,65,6,2020/06/12 15:45:13,USA,24947,1749,1.47509845559349,0.125164627007619
29,35,19069,Franklin,IA,43,11,0,2020/06/12 15:45:13,USA,10124,796,1.64758090698267,0.165817716686447
30,12,19023,Butler,IA,19,13,2,2020/06/12 15:45:13,USA,14539,1050,1.64581994704863,0.165677440567865
31,31,19061,Dubuque,IA,380,217,21,2020/06/12 15:45:13,USA,96854,6595,1.9659850064536,0.174834340738589
32,28,19055,Delaware,IA,27,17,1,2020/06/12 15:45:13,USA,17069,848,1.65320344218239,0.164157256355936
33,94,19187,Webster,IA,94,40,1,2020/06/12 15:45:13,USA,36277,3079,1.89365250486713,0.203631378398526
34,10,19019,Buchanan,IA,34,30,1,2020/06/12 15:45:13,USA,21199,1134,1.66302867060044,0.162502933178709
35,7,19013,Black Hawk,IA,1822,1085,53,2020/06/12 15:45:13,USA,132408,11506,1.6690521466628,0.162374630605809
36,97,19193,Woodbury,IA,2976,2363,39,2020/06/12 15:45:13,USA,102539,13570,2.42636247129416,0.248549990860172
37,47,19093,Ida,IA,17,16,0,2020/06/12 15:45:13,USA,6841,411,1.53905385133514,0.122291609116611
38,81,19161,Sac,IA,36,21,0,2020/06/12 15:45:13,USA,9719,922,1.76241111854249,0.163752090137135
39,13,19025,Calhoun,IA,17,3,0,2020/06/12 15:45:13,USA,9699,549,1.73628628486417,0.161997583069679
