"county","as of - if there were changes","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","",""
"San Benito","3/27/2020 17:09:24","14","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","90","19","65","","","2","","5","3","2","2","","","","","","","",""
"San Bernardino","3/28/2020 16:06:08","76","3","http://wp.sbcounty.gov/dph/coronavirus/","","673","","619","","","","","","","","","","","","","","","",""
"San Diego","3/29/2020 13:51:25","488","7","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","85","38","","","","","",""
"San Francisco","3/29/2020 11:00:11","340","5","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","","","","","","","",""
"San Joaquin","3/29/2020 13:51:36","113","4","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","3/28/2020 16:07:02","67","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","13","9","2","","","","","",""
"San Mateo","3/29/2020 11:00:23","277","6","https://www.smchealth.org/coronavirus","cases are noted as ""provisional"" today","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","3/29/2020 13:52:29","64","0","https://publichealthsbc.org/","","680","182","433","64","1","","","","","","","","","","","","","",""
"Santa Clara","3/29/2020 13:40:33","646","25","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz","3/29/2020 11:00:57","41","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","",""
"Shasta","3/28/2020 16:08:24","4","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","6","82","3","","2","","1","","","","","","","","","","",""
"Sierra","3/27/2020 17:31:35","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","5","2","3","0","","","","","","","","","","","","","","",""
"Siskiyou","3/28/2020 16:09:11","3","0","https://www.co.siskiyou.ca.us/publichealth","","65","7","55","3","","","","","","","","","","","","","","",""
"Solano","3/27/2020 17:05:59","34","0","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","9","","","","","","",""
"Sonoma","3/29/2020 11:02:25","58","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","","1339","58","","9","","7","11","12","13","13","","","","","","",""
"Stanislaus","3/28/2020 17:26:28","29","0","http://schsa.org/publichealth/pages/corona-virus/","","","","783","","","","","","","","","","","","","","","",""
"Sutter","3/29/2020 13:53:24","6","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent.","","","","","","","","","","","","","","","","","","",""
"Tehama","3/27/2020 17:34:00","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","",""
"Trinity","3/27/2020 17:34:11","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","",""
"Tulare","3/29/2020 13:54:05","35","1","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","15","","3","","6","1","","","","","","","",""
"Tuolumne","3/27/2020 17:35:11","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","145","20","125","0","","","","","","","","","","","","","","",""
"Ventura","3/28/2020 16:11:59","98","3","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","",""
"Yolo","3/27/2020 17:35:40","16","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","",""
"Yuba","3/27/2020 17:36:22","3","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","",""
