County,Cases,Deaths,Recovered,ReportDate
TULSA,6285,84,4960,2020-07-19
OKLAHOMA,6271,77,4693,2020-07-19
CLEVELAND,1678,40,1307,2020-07-19
TEXAS,1007,7,993,2020-07-19
MCCURTAIN,681,13,543,2020-07-19
CANADIAN,667,4,501,2020-07-19
COMANCHE,591,9,481,2020-07-19
PAYNE,526,2,464,2020-07-19
WASHINGTON,490,39,424,2020-07-19
WAGONER,460,19,346,2020-07-19
ROGERS,435,10,306,2020-07-19
GRADY,304,5,221,2020-07-19
DELAWARE,290,19,216,2020-07-19
MCCLAIN,288,4,238,2020-07-19
CREEK,269,9,202,2020-07-19
MUSKOGEE,246,14,159,2020-07-19
OSAGE,246,9,199,2020-07-19
BRYAN,239,1,161,2020-07-19
CADDO,225,11,188,2020-07-19
OTTAWA,219,2,147,2020-07-19
OKMULGEE,218,0,128,2020-07-19
CARTER,213,3,174,2020-07-19
JACKSON,211,3,68,2020-07-19
POTTAWATOMIE,204,5,139,2020-07-19
MAYES,178,5,104,2020-07-19
GARFIELD,173,2,114,2020-07-19
ADAIR,170,4,135,2020-07-19
CHEROKEE,149,1,120,2020-07-19
KAY,146,9,113,2020-07-19
GARVIN,145,3,118,2020-07-19
CHOCTAW,141,1,121,2020-07-19
STEPHENS,125,1,81,2020-07-19
LOGAN,120,1,84,2020-07-19
CUSTER,111,0,77,2020-07-19
PONTOTOC,100,2,67,2020-07-19
MCINTOSH,99,1,83,2020-07-19
LE FLORE,87,1,51,2020-07-19
PITTSBURG,87,3,69,2020-07-19
PAWNEE,84,3,66,2020-07-19
SEMINOLE,84,4,48,2020-07-19
SEQUOYAH,83,3,66,2020-07-19
GREER,71,7,58,2020-07-19
KINGFISHER,62,0,43,2020-07-19
NOBLE,59,1,46,2020-07-19
LINCOLN,58,2,39,2020-07-19
LOVE,55,0,48,2020-07-19
MARSHALL,50,0,42,2020-07-19
ATOKA,45,0,36,2020-07-19
NOWATA,41,1,37,2020-07-19
PUSHMATAHA,39,0,20,2020-07-19
CRAIG,37,0,26,2020-07-19
BEAVER,32,0,32,2020-07-19
TILLMAN,32,1,25,2020-07-19
MURRAY,29,0,26,2020-07-19
BECKHAM,27,0,18,2020-07-19
LATIMER,25,1,15,2020-07-19
BLAINE,23,0,17,2020-07-19
OKFUSKEE,23,0,16,2020-07-19
JOHNSTON,23,0,15,2020-07-19
HUGHES,22,1,14,2020-07-19
HASKELL,21,0,15,2020-07-19
JEFFERSON,20,0,17,2020-07-19
KIOWA,18,1,15,2020-07-19
WOODWARD,18,0,14,2020-07-19
COAL,16,0,11,2020-07-19
MAJOR,16,1,13,2020-07-19
COTTON,12,2,7,2020-07-19
WASHITA,12,0,6,2020-07-19
WOODS,12,0,8,2020-07-19
DEWEY,6,0,4,2020-07-19
GRANT,4,0,2,2020-07-19
HARMON,4,0,2,2020-07-19
ROGER MILLS,3,0,0,2020-07-19
HARPER,2,0,1,2020-07-19
ELLIS,1,0,1,2020-07-19
CIMARRON,1,0,1,2020-07-19
ALFALFA,1,0,1,2020-07-19
