ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,921,31,29,107,122,128,138,133,111,82,40,0,0 to 118,49,517,395,9,921,0,0,29,704,2,241,4,217,704,0,0,921,191,26,0,0,94,122,1,217,9,10,32,36,34,35,28,16,14,3,0,0 to 94,40,150,17,18,32,34,143,40,14,0,4,0,0,0,217,122,94,217,0,0,2727,0,2949,2727,217,0,362,345,40,1.42926667229121,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4136,91,182,458,626,529,622,664,464,316,171,13,0 to 118,48,2491,1580,65,4128,8,0,156,3634,133,736,22,962,3170,1,3,4124,546,416,0,0,476,456,30,962,21,88,177,172,140,122,113,63,42,22,2,0 to 100,36,457,268,103,134,174,631,157,179,0,103,0,0,8,962,456,476,962,0,0,8813,8,9789,8821,962,8,255,186,36,2.24642787374222,0.19954202112213
3,3,62,123,TAYLOR,Taylor,FL,1111,34,36,122,171,154,151,183,153,77,26,4,0 to 118,47,634,452,25,1103,8,0,34,792,3,361,28,206,905,0,0,1103,169,35,2,0,112,92,0,204,0,8,43,49,35,25,25,9,10,2,0,6 to 91,35,97,72,21,14,27,156,21,36,0,10,0,0,2,206,92,114,204,2,0,2040,6,2253,2046,206,2,495,395,35,2.58429378620819,0.251180544250225
4,4,46,091,OKALOOSA,Okaloosa,FL,8495,231,195,844,1338,1223,1114,1224,914,770,599,43,0 to 119,48,5033,3368,94,8343,151,1,311,7070,137,949,102,1813,6657,0,25,8319,1657,136,15,5,966,788,39,1793,22,51,337,386,280,238,212,135,86,63,3,0 to 103,38,940,165,137,551,280,858,655,162,3,95,1,0,15,1813,797,977,1792,20,1,19253,131,21222,19384,1813,15,1862,1431,38,3.21429590024741,0.223073367593869
5,5,7,013,CALHOUN,Calhoun,FL,739,12,16,70,74,109,106,129,105,78,40,0,0 to 99,53,440,284,15,739,0,0,21,476,4,191,9,222,514,0,3,736,206,16,0,0,139,83,0,222,1,6,29,24,21,28,34,29,27,23,0,1 to 99,55,173,17,17,15,12,188,22,29,0,20,0,0,7,222,83,139,222,0,0,1574,0,1802,1574,222,7,394,332,55,1.88103049327488,0.139649278946295
6,6,50,099,PALM BEACH,Palm Beach,FL,86259,1417,2264,7684,11569,11073,12287,13942,11821,8157,4419,1626,0 to 119,51,46803,39130,326,85372,885,2,4670,72392,465,15480,488,25785,60102,175,197,85005,25314,225,240,6,12964,12485,90,25539,436,959,3781,4881,4248,3855,3246,1948,1348,1055,28,0 to 105,41,9377,3991,3565,8606,7195,9181,9163,3103,42,2242,27,14,679,25785,12613,13078,25537,246,2,185571,635,212399,186206,25785,679,7305,7040,41,4.37197700721313,0.517626395458035
7,7,56,111,ST. LUCIE,St. Lucie,FL,13555,258,332,1100,1794,1816,2124,2245,1931,1240,675,40,0 to 119,51,7855,5427,273,13406,149,0,821,10671,188,2760,98,3627,9704,6,218,13182,3503,107,17,0,1969,1597,44,3610,62,137,488,661,600,604,464,314,175,114,8,0 to 104,42,1144,655,393,1418,691,1263,1656,339,2,259,2,1,80,3627,1607,1976,3610,17,0,28945,129,32742,29074,3627,80,2369,2354,42,2.4043656096016,0.13681239009026
8,8,51,101,PASCO,Pasco,FL,18405,365,486,1779,2485,2593,2918,3023,2548,1517,662,29,0 to 119,49,10415,7884,106,18315,90,0,943,14846,223,3304,170,4945,13406,2,52,18261,4802,116,24,1,2478,2389,51,4918,79,148,795,924,798,778,611,443,235,131,1,0 to 105,41,2754,318,511,1335,824,2465,1629,556,9,350,4,1,44,4943,2402,2490,4918,25,0,47803,65,52849,47868,4943,44,3494,2942,41,2.21152384171728,0.18173091103068
9,9,20,039,GADSDEN,Gadsden,FL,3428,70,143,292,571,593,585,510,410,163,89,2,0 to 119,45,2299,1111,18,3408,19,1,73,2943,46,560,22,808,2618,1,1,3407,773,29,6,0,495,299,8,802,18,52,97,149,168,133,84,54,35,18,0,0 to 98,39,236,304,46,216,115,422,265,133,0,81,0,0,10,808,299,501,801,6,1,7255,13,8098,7268,808,10,597,402,39,2.03339191693402,0.128633605861004
10,10,37,073,LEON,Leon,FL,15446,229,410,2527,2604,2190,2224,2335,1819,709,357,42,0 to 119,43,8036,7266,144,15184,261,1,428,13827,201,1372,118,3005,12425,2,14,15169,2907,39,56,3,1547,1373,26,2946,24,115,1169,590,346,299,269,123,42,18,10,0 to 105,27,833,857,144,1112,186,1281,1479,184,13,76,11,7,10,3005,1403,1576,2945,59,1,40951,198,44235,41149,3005,10,1328,911,27,2.42861632663576,0.170704044186268
11,11,33,065,JEFFERSON,Jefferson,FL,670,20,17,40,64,89,96,127,128,68,20,1,0 to 101,55,392,274,4,663,7,0,18,514,41,150,11,113,556,0,1,662,72,37,4,0,58,51,0,109,3,3,15,18,14,17,15,14,7,7,0,0 to 95,48,52,42,11,4,10,93,6,25,2,17,0,0,4,113,54,59,109,4,0,1638,2,1754,1640,113,4,149,111,48,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1478,75,76,160,179,193,207,210,199,116,57,6,0 to 99,48,933,540,5,1451,27,0,55,970,53,586,37,444,1032,0,2,1449,270,167,7,0,268,169,0,437,27,32,61,60,67,74,62,30,12,19,0,0 to 98,41,102,298,24,13,26,372,39,80,0,21,0,1,4,444,171,273,437,7,0,3655,20,4138,3675,444,4,603,503,41,2.16969163731198,0.174026330045279
