OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
1,1,21,041,GILCHRIST,2000-05-16T00:00:00.000Z,9908353355.45099,487300.011359113,21,Gilchrist,FL,1,21,41,67,4,1,9,8,13,8,8,7,7,2,0,0,0,0,0,0,0,0,0,0,0,45,0 to 89,NA,NA,0,0,39,28,0,67,0,0,5,62,0,0,0,0,0,0,0,0,67,0,67,0,0,1,2,0,0,0,0,0,0,0,67,0,67,67,0,0,1,1,920490830.042053,148547.348006441
2,2,54,107,PUTNAM,2000-05-16T00:00:00.000Z,23058687375.9514,762967.677232753,54,Putnam,FL,2,54,107,551,16,16,44,80,77,83,100,61,53,18,3,0,1,2,0,2,6,2,5,1,0,48,0 to 97,51,14 to 82,19,0,324,202,25,550,1,0,99,440,12,13,1,5,13,0,6,1,546,19,526,1,5,53,20,92,19,9,10,19,0,0,526,1,551,527,19,1,49,44,2142439482.67719,232574.925675008
3,3,62,123,TAYLOR,2000-05-16T00:00:00.000Z,28917470565.3829,877252.709451284,62,Taylor,FL,3,62,123,58,0,0,2,8,11,9,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,52,19 to 82,NA,NA,0,0,32,24,2,58,0,0,5,52,1,0,0,0,0,0,0,0,58,0,58,0,0,6,0,0,0,0,0,0,0,0,58,0,58,58,0,0,4,4,2685252568.13834,267348.178950349
4,4,46,091,OKALOOSA,2000-05-16T00:00:00.000Z,25621585036.2256,1087058.00438284,46,Okaloosa,FL,4,46,91,606,26,22,41,109,105,89,97,66,37,12,2,1,0,2,12,10,8,10,9,10,3,45,0 to 102,53,3 to 88,62,0,361,227,18,601,4,1,87,475,44,37,4,24,55,0,10,1,566,65,501,0,40,65,24,79,65,33,32,61,3,1,500,1,606,501,65,1,249,152,2369222670.29688,330553.160278386
5,5,7,013,CALHOUN,2000-05-16T00:00:00.000Z,16048085397.4672,631344.00909672,7,Calhoun,FL,5,7,13,36,0,1,3,6,6,3,4,6,6,1,0,0,0,0,1,0,0,0,1,0,1,52,14 to 88,62,26 to 88,3,0,19,16,1,36,0,0,2,31,3,1,0,2,1,0,2,0,36,3,33,0,0,2,2,2,3,1,2,3,0,0,33,0,36,33,3,0,8,7,1487626835.10838,192207.890331272
6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,5999,89,100,408,846,874,953,932,871,604,303,19,3,3,63,110,130,160,165,194,178,75,51,0 to 110,57,0 to 104,1048,0,3364,2546,89,5941,56,2,382,5506,111,95,751,236,198,708,176,51,5895,1082,4811,2,104,153,672,240,1082,554,520,1046,34,2,4790,21,5999,4811,1082,51,668,538,5710098601.29486,464192.459734082
7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,1261,25,33,81,149,184,221,211,186,122,49,0,0,0,5,7,14,15,24,25,12,5,51,0 to 98,58,18 to 95,105,0,726,477,58,1256,5,0,107,1120,34,42,21,44,55,21,31,5,1240,107,1132,1,21,92,16,46,107,48,58,105,2,0,1130,3,1261,1133,107,5,69,64,1499679486.67142,252832.323289834
8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,2451,42,62,160,302,395,434,451,362,177,63,3,1,1,11,14,27,20,20,18,2,0,50,0 to 102,47,1 to 82,110,0,1498,944,9,2432,19,0,133,2252,66,44,33,37,80,11,23,2,2435,114,2320,1,16,93,65,82,114,59,55,110,4,0,2305,15,2451,2320,114,2,288,197,1975344274.45807,225211.500752162
9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,93,4,0,6,14,11,25,12,13,6,1,1,0,0,1,2,0,1,0,0,1,0,48,0 to 90,45,24 to 81,5,0,61,30,2,92,0,1,5,83,5,2,3,0,3,2,0,0,93,5,88,0,0,2,5,4,5,2,3,4,0,1,88,0,93,88,5,0,16,16,1367889846.39806,205127.330650714
10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,1205,37,26,173,219,187,186,186,125,51,15,0,0,0,6,16,11,8,10,7,0,1,43,0 to 95,44,19 to 86,59,0,687,473,45,1202,2,1,37,1135,33,25,10,24,40,8,11,0,1202,59,1143,0,3,30,19,32,59,31,26,58,0,1,1141,2,1205,1143,59,0,166,115,1817477697.41779,246081.909627491
