OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,199,3,5,19,40,34,40,29,17,8,3,1,0 to 93,44,109,88,2,198,1,0,7,180,20,1,13,186,0,0,198,9,4,0,13,0,0,1,5,1,5,0,1,0,0,0,24 to 65,35,5,8,0,0,0,13,0,5,0,5,0,0,1,13,4,9,13,0,0,185,1,199,186,13,1,41,21,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,3376,48,60,200,440,476,511,713,566,260,101,1,0 to 103,54,1989,1335,52,3368,8,0,76,3223,180,45,173,3198,3,2,3363,83,83,0,166,1,3,9,21,27,27,39,21,19,6,0,1 to 94,54,115,30,10,11,25,129,12,62,2,39,2,0,6,173,85,88,166,7,0,3197,1,3376,3198,173,6,201,165,2687643838.87906,793218.333609179
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,4437,102,91,338,641,662,738,718,624,368,153,2,0 to 101,50,2578,1761,98,4419,18,0,208,4063,287,106,287,4138,3,9,4407,151,130,0,281,1,5,13,40,40,49,54,43,30,12,0,3 to 97,53,172,53,30,26,87,158,36,137,3,90,1,0,10,287,132,155,281,6,0,4126,12,4437,4138,287,10,320,212,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,2933,38,73,243,529,575,521,458,295,154,41,6,0 to 97,45,1687,1233,13,2919,14,0,265,2358,397,151,361,2503,1,68,2852,174,179,0,353,2,2,27,45,56,80,76,50,21,2,0,0 to 94,50,171,25,139,18,185,116,52,164,4,103,5,0,5,361,185,176,353,8,0,2499,4,2933,2503,361,5,286,83,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,500,11,2,30,71,66,74,85,80,58,21,2,0 to 95,54,290,190,20,490,10,0,21,438,35,15,64,434,2,0,488,30,33,0,63,1,1,4,10,5,8,12,11,11,1,0,0 to 85,58,28,18,15,2,22,33,8,29,1,21,1,0,6,64,34,30,63,1,0,425,9,500,434,64,6,64,24,2866885704.30579,296636.719911829
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,6062,84,74,410,870,922,1082,1058,876,499,183,4,0 to 100,51,3591,2366,105,6018,43,1,187,5437,434,114,677,5354,2,29,5989,320,311,17,648,5,7,43,80,100,111,112,116,76,27,0,0 to 100,54,272,38,15,323,78,244,326,149,10,128,9,1,23,677,325,334,647,29,1,5341,13,6062,5354,677,23,783,396,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,3780,34,52,231,472,519,570,640,634,454,172,2,0 to 103,55,2176,1590,14,3635,145,0,188,3369,396,134,396,3367,0,17,3618,168,168,0,336,3,3,23,51,45,56,80,60,56,19,0,0 to 101,57,236,10,29,61,99,169,68,81,16,47,7,2,5,396,203,193,336,60,0,3282,85,3780,3367,396,5,573,460,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,46427,440,587,2897,7755,7966,8982,7691,5619,2952,1429,108,-50 to 119,48,24121,21529,777,46220,206,1,908,43835,2226,529,8063,38071,93,200,45931,3801,4123,67,7991,28,53,558,1369,1319,1655,1345,959,514,246,17,0 to 103,49,3441,963,320,3267,3213,1406,3372,1407,19,693,9,1,155,8063,4171,3824,7990,72,1,37940,131,46427,38071,8063,155,2097,1599,5114451079.58835,540836.793924443
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,851,9,7,51,102,133,154,186,139,51,18,1,0 to 97,53,468,378,5,826,25,0,179,602,104,63,66,733,0,52,775,29,31,0,60,0,1,6,10,9,12,12,10,6,0,0,14 to 80,52,33,3,0,24,8,29,23,13,1,9,0,0,3,66,34,32,60,6,0,715,18,851,733,66,3,178,113,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,1722,95,90,165,289,296,276,240,176,74,20,1,0 to 102,42,1012,700,10,1719,3,0,54,1592,93,41,115,1605,1,1,1717,35,80,0,115,2,0,13,17,21,23,17,15,5,2,0,0 to 89,47,79,17,0,19,4,92,19,16,0,15,0,0,4,115,80,35,115,0,0,1602,3,1722,1605,115,4,469,81,2596863920.94926,364280.718031263
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,366,19,8,32,33,62,74,63,46,18,11,0,0 to 97,48,193,158,15,354,12,0,18,335,50,29,29,335,1,1,352,15,6,0,21,0,0,3,3,4,6,4,3,5,1,0,20 to 90,52,21,0,0,0,1,19,1,6,2,4,2,0,0,29,10,19,21,8,0,331,4,366,335,29,0,30,21,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,213,4,2,19,38,33,39,33,24,17,4,0,0 to 94,48,125,84,4,206,7,0,18,186,20,16,6,207,0,0,206,5,0,0,5,0,0,0,3,2,1,0,0,0,0,0,28 to 47,35,2,3,0,0,0,5,0,2,0,0,0,0,0,6,1,5,5,1,0,201,6,213,207,6,0,28,20,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,114,1,1,3,17,23,19,22,17,7,4,0,3 to 103,50,60,37,17,114,0,0,25,82,27,6,5,107,0,2,112,2,3,0,5,0,0,0,2,0,2,1,0,0,0,0,25 to 55,49,5,0,0,0,0,5,0,0,0,1,0,0,0,5,3,2,5,0,0,107,0,114,107,5,0,25,20,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,2000-05-16T00:00:00.000Z,17668341931.5773,1275144.97327404,45,Nassau,FL,54,45,89,753,11,12,70,113,120,125,132,97,58,15,0,0 to 99,48,435,274,44,748,5,0,23,707,26,19,38,715,0,0,748,24,13,0,37,0,0,3,4,6,5,6,9,4,0,0,20 to 84,58,25,6,1,5,0,31,6,15,0,9,0,0,0,37,13,24,37,0,0,711,5,753,716,37,0,21,18,1641620662.32831,388721.737801268
55,55,22,043,GLADES,2000-05-16T00:00:00.000Z,27470534483.1281,776973.436241095,22,Glades,FL,55,22,43,32,1,0,1,6,4,5,5,4,3,3,0,1 to 90,54,13,19,0,32,0,0,2,27,5,0,5,27,0,0,32,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,27,0,32,27,5,1,13,9,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,1181,11,12,64,120,133,162,214,219,153,91,2,0 to 98,59,683,472,26,1168,13,0,59,1073,89,12,124,1049,2,6,1161,73,49,1,123,0,0,4,9,4,16,23,30,18,20,0,16 to 96,67,88,15,2,18,3,93,27,25,0,25,0,0,6,124,50,73,123,1,0,1038,11,1181,1049,124,6,80,67,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,2596,34,31,132,250,300,361,434,446,356,251,1,0 to 115,59,1470,1097,29,2546,50,0,342,2090,501,79,253,2340,1,2,2543,133,105,0,238,2,1,8,20,24,36,38,57,43,24,0,0 to 102,64,191,12,20,15,30,177,31,103,11,80,8,0,17,253,114,139,238,15,0,2305,35,2596,2340,253,17,221,125,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,351,8,3,13,60,46,56,58,52,37,18,0,0 to 92,53,183,143,25,350,1,0,8,315,61,3,22,329,0,0,350,8,14,0,22,0,0,0,5,0,2,7,3,3,2,0,27 to 92,62,18,0,0,4,4,11,7,8,0,7,0,0,3,22,14,8,22,0,0,328,1,351,329,22,3,3,0,1654926851.96404,168390.780925558
